,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.355e-05,2.365e-05,2.331e-05,2.363e-05,74075.0,2020-02-10 15:00:00
1,1581343200000,2.297e-05,2.355e-05,2.282e-05,2.355e-05,169264.0,2020-02-10 14:00:00
2,1581339600000,2.29e-05,2.308e-05,2.255e-05,2.298e-05,81764.0,2020-02-10 13:00:00
3,1581336000000,2.265e-05,2.306e-05,2.258e-05,2.29e-05,40247.0,2020-02-10 12:00:00
4,1581332400000,2.269e-05,2.295e-05,2.247e-05,2.264e-05,86256.0,2020-02-10 11:00:00
5,1581328800000,2.191e-05,2.289e-05,2.189e-05,2.268e-05,178793.0,2020-02-10 10:00:00
6,1581325200000,2.253e-05,2.26e-05,2.185e-05,2.193e-05,154947.0,2020-02-10 09:00:00
7,1581321600000,2.257e-05,2.306e-05,2.232e-05,2.249e-05,189329.0,2020-02-10 08:00:00
8,1581318000000,2.257e-05,2.266e-05,2.248e-05,2.252e-05,61297.0,2020-02-10 07:00:00
9,1581314400000,2.248e-05,2.294e-05,2.23e-05,2.264e-05,210279.0,2020-02-10 06:00:00
10,1581310800000,2.277e-05,2.302e-05,2.246e-05,2.246e-05,107662.0,2020-02-10 05:00:00
11,1581307200000,2.265e-05,2.277e-05,2.252e-05,2.277e-05,69109.0,2020-02-10 04:00:00
12,1581303600000,2.298e-05,2.303e-05,2.259e-05,2.265e-05,71011.0,2020-02-10 03:00:00
13,1581300000000,2.293e-05,2.312e-05,2.278e-05,2.289e-05,127546.0,2020-02-10 02:00:00
14,1581296400000,2.305e-05,2.314e-05,2.28e-05,2.293e-05,49809.0,2020-02-10 01:00:00
15,1581292800000,2.326e-05,2.326e-05,2.298e-05,2.307e-05,183038.0,2020-02-10 00:00:00
16,1581289200000,2.262e-05,2.338e-05,2.259e-05,2.326e-05,195520.0,2020-02-09 23:00:00
17,1581285600000,2.251e-05,2.273e-05,2.218e-05,2.265e-05,230869.0,2020-02-09 22:00:00
18,1581282000000,2.293e-05,2.302e-05,2.228e-05,2.253e-05,200462.0,2020-02-09 21:00:00
19,1581278400000,2.318e-05,2.318e-05,2.273e-05,2.292e-05,74204.0,2020-02-09 20:00:00
20,1581274800000,2.326e-05,2.33e-05,2.301e-05,2.305e-05,64562.0,2020-02-09 19:00:00
21,1581271200000,2.304e-05,2.328e-05,2.277e-05,2.326e-05,66508.0,2020-02-09 18:00:00
22,1581267600000,2.322e-05,2.338e-05,2.242e-05,2.291e-05,350742.0,2020-02-09 17:00:00
23,1581264000000,2.19e-05,2.38e-05,2.186e-05,2.312e-05,1561990.0,2020-02-09 16:00:00
24,1581260400000,2.172e-05,2.191e-05,2.153e-05,2.191e-05,59083.0,2020-02-09 15:00:00
25,1581256800000,2.17e-05,2.192e-05,2.159e-05,2.159e-05,47885.0,2020-02-09 14:00:00
26,1581253200000,2.178e-05,2.21e-05,2.164e-05,2.169e-05,262636.0,2020-02-09 13:00:00
27,1581249600000,2.162e-05,2.177e-05,2.144e-05,2.177e-05,33420.0,2020-02-09 12:00:00
28,1581246000000,2.149e-05,2.162e-05,2.136e-05,2.162e-05,58598.0,2020-02-09 11:00:00
29,1581242400000,2.151e-05,2.156e-05,2.14e-05,2.15e-05,15780.0,2020-02-09 10:00:00
30,1581238800000,2.163e-05,2.174e-05,2.151e-05,2.151e-05,46780.0,2020-02-09 09:00:00
31,1581235200000,2.201e-05,2.209e-05,2.157e-05,2.158e-05,95428.0,2020-02-09 08:00:00
32,1581231600000,2.169e-05,2.205e-05,2.165e-05,2.201e-05,37470.0,2020-02-09 07:00:00
33,1581228000000,2.205e-05,2.218e-05,2.157e-05,2.168e-05,151270.0,2020-02-09 06:00:00
34,1581224400000,2.142e-05,2.233e-05,2.14e-05,2.22e-05,254162.0,2020-02-09 05:00:00
