,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.000574,0.000587,0.000574,0.000586,89349.94,2020-02-10 15:00:00
1,1581343200000,0.000618,0.000618,0.000566,0.000575,329602.12,2020-02-10 14:00:00
2,1581339600000,0.000636,0.000638,0.000611,0.000617,312209.06,2020-02-10 13:00:00
3,1581336000000,0.000639,0.000641,0.000634,0.000638,119811.35,2020-02-10 12:00:00
4,1581332400000,0.000637,0.000651,0.000637,0.000639,178860.06,2020-02-10 11:00:00
5,1581328800000,0.000626,0.000646,0.000626,0.000636,409575.91,2020-02-10 10:00:00
6,1581325200000,0.000634,0.000646,0.000621,0.000626,216053.87,2020-02-10 09:00:00
7,1581321600000,0.000679,0.000679,0.00063,0.000634,282513.91,2020-02-10 08:00:00
8,1581318000000,0.000642,0.000682,0.000638,0.000679,485686.9,2020-02-10 07:00:00
9,1581314400000,0.000623,0.000648,0.000602,0.000638,245529.2,2020-02-10 06:00:00
10,1581310800000,0.000601,0.00064,0.000598,0.000625,232958.82,2020-02-10 05:00:00
11,1581307200000,0.000607,0.000617,0.000601,0.000603,149327.22,2020-02-10 04:00:00
12,1581303600000,0.000603,0.000609,0.000595,0.000608,108762.01,2020-02-10 03:00:00
13,1581300000000,0.000615,0.000619,0.000602,0.000606,150736.64,2020-02-10 02:00:00
14,1581296400000,0.000631,0.000646,0.000612,0.000615,413413.07,2020-02-10 01:00:00
15,1581292800000,0.000618,0.000659,0.000615,0.000631,580528.74,2020-02-10 00:00:00
16,1581289200000,0.000576,0.000626,0.000576,0.000618,476113.61,2020-02-09 23:00:00
17,1581285600000,0.00057,0.000579,0.000568,0.000577,185790.7,2020-02-09 22:00:00
18,1581282000000,0.000577,0.000577,0.000568,0.000571,201422.89,2020-02-09 21:00:00
19,1581278400000,0.000579,0.000582,0.000574,0.000576,91319.7,2020-02-09 20:00:00
20,1581274800000,0.000566,0.000599,0.000563,0.000579,365770.11,2020-02-09 19:00:00
21,1581271200000,0.000572,0.000574,0.00056,0.000561,115413.43,2020-02-09 18:00:00
22,1581267600000,0.000574,0.000581,0.00057,0.000572,115508.61,2020-02-09 17:00:00
23,1581264000000,0.000565,0.000587,0.000556,0.000573,200339.92,2020-02-09 16:00:00
24,1581260400000,0.00059,0.00059,0.000554,0.000567,238248.75,2020-02-09 15:00:00
25,1581256800000,0.000592,0.000611,0.000578,0.00059,367506.9,2020-02-09 14:00:00
26,1581253200000,0.000572,0.000614,0.000563,0.000589,461286.27,2020-02-09 13:00:00
27,1581249600000,0.000544,0.000591,0.000543,0.00057,799172.34,2020-02-09 12:00:00
28,1581246000000,0.000539,0.000544,0.000532,0.000543,234218.66,2020-02-09 11:00:00
29,1581242400000,0.00052,0.000542,0.00052,0.00054,297056.8,2020-02-09 10:00:00
