,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.01358,0.01358,0.01332,0.0134,17607.0,2020-02-10 15:00:00
1,1581343200000,0.01316,0.01374,0.01316,0.01359,71354.2,2020-02-10 14:00:00
2,1581339600000,0.01299,0.01351,0.01299,0.01314,155665.6,2020-02-10 13:00:00
3,1581336000000,0.01286,0.013,0.01282,0.01294,19544.8,2020-02-10 12:00:00
4,1581332400000,0.01286,0.01299,0.01279,0.01288,11577.5,2020-02-10 11:00:00
5,1581328800000,0.01301,0.01316,0.01279,0.0129,47562.0,2020-02-10 10:00:00
6,1581325200000,0.01299,0.01316,0.01276,0.01301,91132.3,2020-02-10 09:00:00
7,1581321600000,0.01323,0.01323,0.01265,0.01298,76505.7,2020-02-10 08:00:00
8,1581318000000,0.01311,0.01333,0.01305,0.01325,47666.7,2020-02-10 07:00:00
9,1581314400000,0.01371,0.01393,0.01311,0.01311,143625.0,2020-02-10 06:00:00
10,1581310800000,0.01385,0.01396,0.01364,0.01371,46010.3,2020-02-10 05:00:00
11,1581307200000,0.01404,0.01408,0.01375,0.01385,50115.0,2020-02-10 04:00:00
12,1581303600000,0.01411,0.0142,0.01385,0.01404,71369.5,2020-02-10 03:00:00
13,1581300000000,0.01427,0.01442,0.01412,0.01412,47449.6,2020-02-10 02:00:00
14,1581296400000,0.01429,0.0148,0.01412,0.01429,79920.8,2020-02-10 01:00:00
15,1581292800000,0.01401,0.01453,0.01401,0.01419,38465.3,2020-02-10 00:00:00
16,1581289200000,0.01417,0.0144,0.01393,0.01404,48434.8,2020-02-09 23:00:00
17,1581285600000,0.01407,0.01453,0.01407,0.01417,50555.1,2020-02-09 22:00:00
18,1581282000000,0.01392,0.01414,0.0138,0.01403,23277.7,2020-02-09 21:00:00
19,1581278400000,0.01412,0.01414,0.01392,0.01393,5775.5,2020-02-09 20:00:00
20,1581274800000,0.01396,0.01411,0.0138,0.01411,22991.8,2020-02-09 19:00:00
21,1581271200000,0.01386,0.01399,0.01382,0.01397,16889.8,2020-02-09 18:00:00
22,1581267600000,0.01402,0.01402,0.01365,0.01384,36555.7,2020-02-09 17:00:00
23,1581264000000,0.01412,0.01454,0.01386,0.01405,107802.1,2020-02-09 16:00:00
24,1581260400000,0.01439,0.01439,0.01403,0.01409,54781.9,2020-02-09 15:00:00
25,1581256800000,0.01454,0.01464,0.01432,0.01438,25877.4,2020-02-09 14:00:00
26,1581253200000,0.01487,0.01489,0.01439,0.0145,65689.3,2020-02-09 13:00:00
27,1581249600000,0.01429,0.0152,0.01429,0.01487,200915.5,2020-02-09 12:00:00
28,1581246000000,0.01373,0.01456,0.01371,0.01429,124511.7,2020-02-09 11:00:00
29,1581242400000,0.01377,0.01386,0.01373,0.01375,9396.1,2020-02-09 10:00:00
30,1581238800000,0.01361,0.01382,0.01357,0.01375,16437.9,2020-02-09 09:00:00
31,1581235200000,0.01363,0.01379,0.01358,0.01363,17675.1,2020-02-09 08:00:00
32,1581231600000,0.01345,0.0137,0.01341,0.01362,19523.0,2020-02-09 07:00:00
33,1581228000000,0.01324,0.01353,0.01324,0.01346,14687.9,2020-02-09 06:00:00
34,1581224400000,0.01319,0.0133,0.01317,0.01324,23108.9,2020-02-09 05:00:00
35,1581220800000,0.01322,0.01334,0.0131,0.01322,27605.5,2020-02-09 04:00:00
36,1581217200000,0.01411,0.01411,0.01325,0.01325,55690.5,2020-02-09 03:00:00
37,1581210000000,0.01409,0.01414,0.01408,0.01412,12722.4,2020-02-09 01:00:00
38,1581206400000,0.01406,0.01409,0.01385,0.01409,27548.8,2020-02-09 00:00:00
39,1581202800000,0.01404,0.01414,0.0136,0.0141,69997.0,2020-02-08 23:00:00
40,1581199200000,0.01423,0.01423,0.01402,0.01404,21633.9,2020-02-08 22:00:00
41,1581195600000,0.01441,0.01445,0.01423,0.01426,11712.9,2020-02-08 21:00:00
42,1581192000000,0.01447,0.01452,0.0144,0.01442,8364.9,2020-02-08 20:00:00
43,1581188400000,0.01426,0.01463,0.01425,0.01449,28070.6,2020-02-08 19:00:00
44,1581184800000,0.01459,0.0146,0.01427,0.01427,10304.2,2020-02-08 18:00:00
45,1581181200000,0.01453,0.0146,0.01425,0.01455,25249.2,2020-02-08 17:00:00
46,1581177600000,0.01433,0.0147,0.01428,0.01453,19057.8,2020-02-08 16:00:00
47,1581174000000,0.01423,0.01444,0.01423,0.01436,23272.5,2020-02-08 15:00:00
48,1581170400000,0.01409,0.01427,0.01403,0.01423,10539.1,2020-02-08 14:00:00
49,1581166800000,0.0141,0.01416,0.01402,0.01407,9616.8,2020-02-08 13:00:00
50,1581163200000,0.01417,0.01419,0.01406,0.01406,5466.9,2020-02-08 12:00:00
51,1581159600000,0.01427,0.01427,0.01412,0.01417,16624.1,2020-02-08 11:00:00
52,1581156000000,0.01431,0.01448,0.01423,0.01427,7791.9,2020-02-08 10:00:00
53,1581152400000,0.01441,0.01441,0.01425,0.01431,11742.0,2020-02-08 09:00:00
54,1581148800000,0.0141,0.01446,0.0141,0.01446,12867.1,2020-02-08 08:00:00
55,1581145200000,0.01404,0.01409,0.01403,0.01409,5334.0,2020-02-08 07:00:00
56,1581141600000,0.01404,0.01421,0.014,0.01407,11167.3,2020-02-08 06:00:00
57,1581138000000,0.01425,0.0144,0.0139,0.01406,19777.4,2020-02-08 05:00:00
58,1581134400000,0.01416,0.01433,0.01411,0.01425,16262.6,2020-02-08 04:00:00
59,1581130800000,0.01402,0.01431,0.0139,0.01416,15761.1,2020-02-08 03:00:00
60,1581127200000,0.01418,0.01421,0.01397,0.014,9999.3,2020-02-08 02:00:00
61,1581123600000,0.01436,0.01444,0.01416,0.01418,33548.0,2020-02-08 01:00:00
62,1581120000000,0.01417,0.01435,0.01417,0.01435,10049.8,2020-02-08 00:00:00
63,1581116400000,0.0142,0.0143,0.01407,0.01416,9706.7,2020-02-07 23:00:00
64,1581112800000,0.01425,0.01441,0.01409,0.01419,21422.6,2020-02-07 22:00:00
65,1581109200000,0.01392,0.01423,0.01391,0.01423,9134.8,2020-02-07 21:00:00
66,1581105600000,0.01409,0.01417,0.0139,0.01394,15988.9,2020-02-07 20:00:00
67,1581102000000,0.01437,0.01441,0.0141,0.0141,26725.5,2020-02-07 19:00:00
68,1581098400000,0.01457,0.01473,0.01437,0.01438,38958.4,2020-02-07 18:00:00
69,1581094800000,0.0142,0.01457,0.01411,0.01457,23095.8,2020-02-07 17:00:00
70,1581091200000,0.01417,0.01425,0.01387,0.01421,19727.8,2020-02-07 16:00:00
71,1581087600000,0.0139,0.01433,0.01379,0.01415,28660.9,2020-02-07 15:00:00
72,1581084000000,0.0137,0.01408,0.01363,0.01391,26182.3,2020-02-07 14:00:00
73,1581080400000,0.01369,0.01383,0.01346,0.01367,28170.5,2020-02-07 13:00:00
74,1581076800000,0.01375,0.0138,0.01351,0.01365,24580.6,2020-02-07 12:00:00
75,1581073200000,0.01351,0.01411,0.01348,0.01379,116225.2,2020-02-07 11:00:00
76,1581069600000,0.01404,0.01413,0.01352,0.01353,25924.9,2020-02-07 10:00:00
77,1581066000000,0.01405,0.01429,0.01394,0.01405,33561.6,2020-02-07 09:00:00
78,1581062400000,0.01372,0.01429,0.01372,0.01407,81816.8,2020-02-07 08:00:00
79,1581058800000,0.01334,0.01373,0.01334,0.0137,28914.2,2020-02-07 07:00:00
80,1581055200000,0.01351,0.01351,0.01329,0.01333,7873.6,2020-02-07 06:00:00
81,1581051600000,0.01358,0.01358,0.01349,0.01356,11304.2,2020-02-07 05:00:00
82,1581048000000,0.01379,0.01384,0.01358,0.01358,17784.3,2020-02-07 04:00:00
83,1581044400000,0.01385,0.01385,0.01363,0.01378,52158.2,2020-02-07 03:00:00
84,1581040800000,0.01382,0.01391,0.01382,0.01384,7860.5,2020-02-07 02:00:00
85,1581037200000,0.01402,0.01402,0.01378,0.0138,14148.3,2020-02-07 01:00:00
86,1581033600000,0.01396,0.0141,0.01396,0.01405,7459.0,2020-02-07 00:00:00
87,1581030000000,0.01431,0.01431,0.01389,0.01395,14149.8,2020-02-06 23:00:00
88,1581026400000,0.01421,0.01432,0.01416,0.01431,14841.7,2020-02-06 22:00:00
89,1581022800000,0.01396,0.0142,0.01396,0.0142,12384.6,2020-02-06 21:00:00
90,1581019200000,0.01399,0.014,0.01391,0.01397,7631.7,2020-02-06 20:00:00
91,1581015600000,0.01392,0.01405,0.01389,0.01401,12280.5,2020-02-06 19:00:00
92,1581012000000,0.01399,0.01399,0.01387,0.01395,6444.9,2020-02-06 18:00:00
93,1581008400000,0.01389,0.01407,0.01388,0.01401,14247.9,2020-02-06 17:00:00
94,1581004800000,0.01386,0.01399,0.01371,0.01387,20417.0,2020-02-06 16:00:00
95,1581001200000,0.0141,0.01416,0.01387,0.01387,30071.9,2020-02-06 15:00:00
96,1580997600000,0.01406,0.0141,0.0139,0.01409,15096.8,2020-02-06 14:00:00
97,1580994000000,0.01427,0.01446,0.01399,0.01409,33713.2,2020-02-06 13:00:00
98,1580990400000,0.01424,0.0145,0.01421,0.01426,16728.5,2020-02-06 12:00:00
99,1580986800000,0.01417,0.01429,0.01406,0.01424,20384.4,2020-02-06 11:00:00
100,1580983200000,0.01414,0.01429,0.01413,0.01423,13036.6,2020-02-06 10:00:00
101,1580979600000,0.01438,0.01438,0.0141,0.01411,8174.2,2020-02-06 09:00:00
102,1580976000000,0.01425,0.01444,0.01419,0.01444,28019.9,2020-02-06 08:00:00
103,1580972400000,0.01437,0.01438,0.01419,0.01425,13502.2,2020-02-06 07:00:00
104,1580968800000,0.01449,0.01454,0.01436,0.01437,11697.1,2020-02-06 06:00:00
105,1580965200000,0.01452,0.01473,0.01448,0.01449,23050.3,2020-02-06 05:00:00
106,1580961600000,0.01431,0.01453,0.01429,0.01449,12378.3,2020-02-06 04:00:00
107,1580958000000,0.01435,0.01435,0.01423,0.01429,11834.6,2020-02-06 03:00:00
108,1580954400000,0.01426,0.01437,0.01426,0.01436,4908.1,2020-02-06 02:00:00
109,1580950800000,0.01437,0.01437,0.01423,0.01426,7204.4,2020-02-06 01:00:00
110,1580947200000,0.0143,0.0144,0.01428,0.01437,8358.9,2020-02-06 00:00:00
111,1580943600000,0.01431,0.01444,0.01427,0.01431,12327.8,2020-02-05 23:00:00
112,1580940000000,0.01429,0.01437,0.01429,0.01432,7482.2,2020-02-05 22:00:00
113,1580936400000,0.0143,0.01432,0.01424,0.01432,14923.2,2020-02-05 21:00:00
114,1580932800000,0.01433,0.01433,0.01422,0.01431,17888.9,2020-02-05 20:00:00
115,1580929200000,0.01412,0.01435,0.01411,0.01434,12106.9,2020-02-05 19:00:00
116,1580925600000,0.01432,0.01434,0.01408,0.01415,19052.7,2020-02-05 18:00:00
117,1580922000000,0.01419,0.01447,0.01416,0.01431,41100.3,2020-02-05 17:00:00
118,1580918400000,0.01447,0.01449,0.01419,0.01419,10467.0,2020-02-05 16:00:00
119,1580914800000,0.01464,0.0147,0.01436,0.01446,24024.3,2020-02-05 15:00:00
120,1580911200000,0.01432,0.01468,0.01427,0.01462,41462.1,2020-02-05 14:00:00
121,1580907600000,0.01435,0.01435,0.01421,0.01432,6825.3,2020-02-05 13:00:00
122,1580904000000,0.01416,0.01439,0.01412,0.01433,13044.0,2020-02-05 12:00:00
123,1580900400000,0.01391,0.01422,0.0139,0.01416,32862.8,2020-02-05 11:00:00
124,1580896800000,0.01437,0.01442,0.01394,0.01394,37879.5,2020-02-05 10:00:00
125,1580893200000,0.01452,0.01455,0.01429,0.01436,20495.2,2020-02-05 09:00:00
126,1580889600000,0.01451,0.01456,0.0145,0.01453,15851.9,2020-02-05 08:00:00
127,1580886000000,0.01457,0.01457,0.01448,0.01451,10801.7,2020-02-05 07:00:00
128,1580882400000,0.01449,0.01457,0.01447,0.01457,10856.7,2020-02-05 06:00:00
129,1580878800000,0.01474,0.01476,0.01442,0.01445,15883.0,2020-02-05 05:00:00
130,1580875200000,0.01493,0.01493,0.01474,0.01474,4694.2,2020-02-05 04:00:00
131,1580871600000,0.01482,0.01496,0.01482,0.01492,7771.1,2020-02-05 03:00:00
132,1580868000000,0.01514,0.01514,0.0148,0.01484,21170.5,2020-02-05 02:00:00
133,1580864400000,0.01513,0.01521,0.01509,0.0152,9767.5,2020-02-05 01:00:00
134,1580860800000,0.01544,0.01552,0.01512,0.01512,12620.5,2020-02-05 00:00:00
135,1580857200000,0.01544,0.01554,0.01541,0.01546,16719.8,2020-02-04 23:00:00
136,1580853600000,0.01546,0.01561,0.01535,0.01535,14021.1,2020-02-04 22:00:00
137,1580850000000,0.0154,0.01544,0.01536,0.01544,4494.0,2020-02-04 21:00:00
138,1580846400000,0.01541,0.01544,0.01532,0.01541,10302.3,2020-02-04 20:00:00
139,1580842800000,0.01542,0.01555,0.01527,0.01541,48159.0,2020-02-04 19:00:00
140,1580839200000,0.01513,0.01608,0.01509,0.01542,50421.1,2020-02-04 18:00:00
141,1580835600000,0.01499,0.0152,0.01499,0.01511,6754.2,2020-02-04 17:00:00
142,1580832000000,0.01513,0.01513,0.01489,0.01495,15949.4,2020-02-04 16:00:00
143,1580828400000,0.01551,0.01554,0.0151,0.01514,11537.9,2020-02-04 15:00:00
144,1580824800000,0.01514,0.01552,0.01513,0.01551,15158.4,2020-02-04 14:00:00
145,1580821200000,0.01523,0.01526,0.01512,0.01515,6489.0,2020-02-04 13:00:00
146,1580817600000,0.01526,0.01526,0.015,0.01522,14399.1,2020-02-04 12:00:00
147,1580814000000,0.01514,0.01538,0.01512,0.01531,17136.2,2020-02-04 11:00:00
148,1580810400000,0.015,0.0153,0.015,0.01514,18547.7,2020-02-04 10:00:00
149,1580806800000,0.01569,0.01574,0.01497,0.015,51753.7,2020-02-04 09:00:00
150,1580803200000,0.01496,0.01569,0.01496,0.01568,159117.9,2020-02-04 08:00:00
151,1580799600000,0.01452,0.01508,0.01451,0.01491,27495.7,2020-02-04 07:00:00
152,1580796000000,0.0143,0.01455,0.0143,0.01448,16365.7,2020-02-04 06:00:00
153,1580792400000,0.01425,0.0143,0.01412,0.01427,28269.3,2020-02-04 05:00:00
154,1580788800000,0.01411,0.01438,0.01409,0.01424,15665.9,2020-02-04 04:00:00
155,1580785200000,0.01431,0.01436,0.0141,0.0141,10993.9,2020-02-04 03:00:00
156,1580781600000,0.01437,0.01437,0.01424,0.0143,8810.1,2020-02-04 02:00:00
157,1580778000000,0.01438,0.01449,0.01438,0.0144,26281.0,2020-02-04 01:00:00
158,1580774400000,0.01429,0.01446,0.01429,0.01438,21157.2,2020-02-04 00:00:00
159,1580770800000,0.01422,0.01429,0.01422,0.01426,10124.3,2020-02-03 23:00:00
160,1580767200000,0.01438,0.01441,0.0142,0.01424,13490.3,2020-02-03 22:00:00
161,1580763600000,0.01429,0.01442,0.01429,0.01438,43204.1,2020-02-03 21:00:00
162,1580760000000,0.01411,0.01429,0.01406,0.01429,32545.5,2020-02-03 20:00:00
163,1580756400000,0.01407,0.0141,0.01403,0.0141,11416.4,2020-02-03 19:00:00
164,1580752800000,0.01409,0.01419,0.01407,0.01409,10734.0,2020-02-03 18:00:00
165,1580749200000,0.01403,0.01409,0.01402,0.01408,5376.0,2020-02-03 17:00:00
166,1580745600000,0.014,0.01413,0.01395,0.01402,13648.8,2020-02-03 16:00:00
167,1580742000000,0.0142,0.0142,0.01399,0.01408,17064.6,2020-02-03 15:00:00
168,1580738400000,0.01408,0.01424,0.014,0.01417,45947.8,2020-02-03 14:00:00
169,1580734800000,0.0138,0.01414,0.0138,0.01412,86280.1,2020-02-03 13:00:00
170,1580731200000,0.01365,0.01383,0.01365,0.01383,30622.4,2020-02-03 12:00:00
171,1580727600000,0.01367,0.01369,0.01364,0.01367,8232.0,2020-02-03 11:00:00
172,1580724000000,0.01372,0.01379,0.01363,0.01364,10970.6,2020-02-03 10:00:00
173,1580720400000,0.01372,0.01372,0.01364,0.01371,10408.7,2020-02-03 09:00:00
174,1580716800000,0.01368,0.01373,0.01365,0.0137,11379.3,2020-02-03 08:00:00
175,1580713200000,0.01366,0.01374,0.01365,0.01366,12074.6,2020-02-03 07:00:00
176,1580709600000,0.01384,0.01384,0.01363,0.01363,12759.7,2020-02-03 06:00:00
177,1580706000000,0.01377,0.01384,0.01377,0.01383,6558.5,2020-02-03 05:00:00
178,1580702400000,0.01374,0.01378,0.01371,0.01376,17302.3,2020-02-03 04:00:00
179,1580698800000,0.01364,0.01374,0.01364,0.01371,7637.9,2020-02-03 03:00:00
180,1580695200000,0.01356,0.01382,0.01355,0.01364,12244.4,2020-02-03 02:00:00
181,1580691600000,0.01379,0.01383,0.01357,0.01362,15480.4,2020-02-03 01:00:00
182,1580688000000,0.01372,0.01381,0.01368,0.01379,11121.2,2020-02-03 00:00:00
183,1580684400000,0.01368,0.01372,0.01367,0.01369,9952.0,2020-02-02 23:00:00
184,1580680800000,0.01354,0.01368,0.01354,0.01362,23213.6,2020-02-02 22:00:00
185,1580677200000,0.01358,0.01359,0.01355,0.01355,2662.3,2020-02-02 21:00:00
186,1580673600000,0.01358,0.01364,0.01358,0.0136,7041.4,2020-02-02 20:00:00
187,1580670000000,0.01368,0.01368,0.01357,0.0136,4329.0,2020-02-02 19:00:00
188,1580666400000,0.0137,0.01376,0.01364,0.01364,14027.6,2020-02-02 18:00:00
189,1580662800000,0.01376,0.01376,0.01359,0.01369,13808.2,2020-02-02 17:00:00
190,1580659200000,0.01386,0.0139,0.01375,0.01379,13835.1,2020-02-02 16:00:00
191,1580655600000,0.01394,0.014,0.01387,0.01387,8742.2,2020-02-02 15:00:00
192,1580652000000,0.01383,0.01409,0.01381,0.01394,31235.4,2020-02-02 14:00:00
193,1580648400000,0.01379,0.0139,0.01377,0.01381,14350.6,2020-02-02 13:00:00
