,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.418e-05,3.426e-05,3.384e-05,3.408e-05,212524.0,2020-02-10 15:00:00
1,1581343200000,3.339e-05,3.479e-05,3.339e-05,3.419e-05,1074981.0,2020-02-10 14:00:00
2,1581339600000,3.266e-05,3.488e-05,3.266e-05,3.339e-05,1760856.0,2020-02-10 13:00:00
3,1581336000000,3.193e-05,3.271e-05,3.189e-05,3.265e-05,393508.0,2020-02-10 12:00:00
4,1581332400000,3.218e-05,3.218e-05,3.189e-05,3.196e-05,417587.0,2020-02-10 11:00:00
5,1581328800000,3.232e-05,3.254e-05,3.182e-05,3.211e-05,481415.0,2020-02-10 10:00:00
6,1581325200000,3.279e-05,3.287e-05,3.153e-05,3.229e-05,1349460.0,2020-02-10 09:00:00
7,1581321600000,3.298e-05,3.308e-05,3.231e-05,3.277e-05,673630.0,2020-02-10 08:00:00
8,1581318000000,3.245e-05,3.32e-05,3.23e-05,3.298e-05,842350.0,2020-02-10 07:00:00
9,1581314400000,3.258e-05,3.376e-05,3.239e-05,3.24e-05,1103968.0,2020-02-10 06:00:00
10,1581310800000,3.278e-05,3.297e-05,3.229e-05,3.269e-05,579658.0,2020-02-10 05:00:00
11,1581307200000,3.326e-05,3.349e-05,3.258e-05,3.28e-05,662999.0,2020-02-10 04:00:00
12,1581303600000,3.352e-05,3.382e-05,3.281e-05,3.324e-05,576398.0,2020-02-10 03:00:00
13,1581300000000,3.409e-05,3.409e-05,3.343e-05,3.347e-05,434576.0,2020-02-10 02:00:00
14,1581296400000,3.398e-05,3.465e-05,3.365e-05,3.406e-05,436396.0,2020-02-10 01:00:00
15,1581292800000,3.356e-05,3.454e-05,3.337e-05,3.396e-05,701512.0,2020-02-10 00:00:00
16,1581289200000,3.334e-05,3.401e-05,3.321e-05,3.37e-05,274090.0,2020-02-09 23:00:00
17,1581285600000,3.341e-05,3.419e-05,3.334e-05,3.335e-05,757875.0,2020-02-09 22:00:00
18,1581282000000,3.293e-05,3.364e-05,3.273e-05,3.341e-05,365385.0,2020-02-09 21:00:00
19,1581278400000,3.337e-05,3.344e-05,3.291e-05,3.294e-05,229184.0,2020-02-09 20:00:00
20,1581274800000,3.266e-05,3.334e-05,3.261e-05,3.334e-05,253389.0,2020-02-09 19:00:00
21,1581271200000,3.27e-05,3.287e-05,3.268e-05,3.27e-05,165236.0,2020-02-09 18:00:00
22,1581267600000,3.292e-05,3.301e-05,3.24e-05,3.27e-05,468867.0,2020-02-09 17:00:00
23,1581264000000,3.242e-05,3.361e-05,3.241e-05,3.291e-05,690813.0,2020-02-09 16:00:00
24,1581260400000,3.271e-05,3.29e-05,3.202e-05,3.245e-05,626993.0,2020-02-09 15:00:00
25,1581256800000,3.288e-05,3.339e-05,3.26e-05,3.271e-05,646574.0,2020-02-09 14:00:00
26,1581253200000,3.373e-05,3.383e-05,3.27e-05,3.287e-05,1076213.0,2020-02-09 13:00:00
27,1581249600000,3.253e-05,3.442e-05,3.245e-05,3.378e-05,2027344.0,2020-02-09 12:00:00
28,1581246000000,3.119e-05,3.309e-05,3.113e-05,3.253e-05,1991628.0,2020-02-09 11:00:00
29,1581242400000,3.136e-05,3.14e-05,3.099e-05,3.126e-05,137817.0,2020-02-09 10:00:00
30,1581238800000,3.096e-05,3.14e-05,3.089e-05,3.139e-05,123898.0,2020-02-09 09:00:00
31,1581235200000,3.129e-05,3.142e-05,3.09e-05,3.096e-05,133652.0,2020-02-09 08:00:00
32,1581231600000,3.108e-05,3.157e-05,3.101e-05,3.125e-05,229073.0,2020-02-09 07:00:00
33,1581228000000,3.057e-05,3.136e-05,3.055e-05,3.102e-05,214987.0,2020-02-09 06:00:00
34,1581224400000,3.053e-05,3.067e-05,3.044e-05,3.057e-05,150930.0,2020-02-09 05:00:00
35,1581220800000,3.073e-05,3.084e-05,3.042e-05,3.053e-05,169023.0,2020-02-09 04:00:00
36,1581217200000,3.142e-05,3.149e-05,3.046e-05,3.08e-05,393381.0,2020-02-09 03:00:00
37,1581210000000,3.146e-05,3.157e-05,3.134e-05,3.148e-05,124580.0,2020-02-09 01:00:00
38,1581206400000,3.102e-05,3.144e-05,3.082e-05,3.14e-05,224576.0,2020-02-09 00:00:00
39,1581202800000,3.095e-05,3.116e-05,3.082e-05,3.101e-05,305760.0,2020-02-08 23:00:00
40,1581199200000,3.122e-05,3.126e-05,3.081e-05,3.09e-05,327238.0,2020-02-08 22:00:00
