,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.338,0.3383,0.3356,0.337,31025.33,2020-02-10 15:00:00
1,1581343200000,0.3281,0.3424,0.328,0.338,42090.27,2020-02-10 14:00:00
2,1581339600000,0.3217,0.334,0.3217,0.3267,51428.65,2020-02-10 13:00:00
3,1581336000000,0.313,0.321,0.313,0.321,30189.79,2020-02-10 12:00:00
4,1581332400000,0.3158,0.316,0.313,0.313,18664.33,2020-02-10 11:00:00
5,1581328800000,0.3196,0.32,0.3134,0.316,13557.97,2020-02-10 10:00:00
6,1581325200000,0.3218,0.3221,0.3091,0.315,28549.28,2020-02-10 09:00:00
7,1581321600000,0.328,0.328,0.3228,0.324,19842.25,2020-02-10 08:00:00
8,1581318000000,0.323,0.331,0.3224,0.328,21251.38,2020-02-10 07:00:00
9,1581314400000,0.3228,0.3344,0.3228,0.3228,26431.72,2020-02-10 06:00:00
10,1581310800000,0.3277,0.331,0.32,0.32,21412.46,2020-02-10 05:00:00
11,1581307200000,0.335,0.337,0.3281,0.331,21712.5,2020-02-10 04:00:00
12,1581303600000,0.3403,0.3405,0.3317,0.335,17180.54,2020-02-10 03:00:00
13,1581300000000,0.345,0.345,0.3389,0.3397,15507.43,2020-02-10 02:00:00
14,1581296400000,0.3451,0.3511,0.342,0.345,19991.99,2020-02-10 01:00:00
15,1581292800000,0.3401,0.351,0.34,0.3451,32621.59,2020-02-10 00:00:00
16,1581289200000,0.338,0.3429,0.3368,0.3411,20632.94,2020-02-09 23:00:00
17,1581285600000,0.338,0.3454,0.338,0.3389,27520.69,2020-02-09 22:00:00
18,1581282000000,0.33,0.3385,0.33,0.3381,26604.83,2020-02-09 21:00:00
19,1581278400000,0.3354,0.336,0.3309,0.332,14514.5,2020-02-09 20:00:00
20,1581274800000,0.3298,0.335,0.329,0.335,21705.86,2020-02-09 19:00:00
21,1581271200000,0.33,0.3311,0.3298,0.3299,14207.44,2020-02-09 18:00:00
22,1581267600000,0.333,0.333,0.3285,0.33,19361.26,2020-02-09 17:00:00
23,1581264000000,0.3327,0.338,0.3327,0.3335,12654.97,2020-02-09 16:00:00
24,1581260400000,0.33,0.3314,0.323,0.33,21950.78,2020-02-09 15:00:00
