,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.338,0.3391,0.3351,0.3374,449043.55,2020-02-10 15:00:00
1,1581343200000,0.3281,0.3438,0.3281,0.338,1154352.49,2020-02-10 14:00:00
2,1581339600000,0.3215,0.3353,0.3215,0.3284,1824155.84,2020-02-10 13:00:00
3,1581336000000,0.3134,0.3222,0.313,0.3207,967992.89,2020-02-10 12:00:00
4,1581332400000,0.317,0.317,0.3121,0.3136,690626.84,2020-02-10 11:00:00
5,1581328800000,0.3179,0.321,0.3106,0.3169,759366.12,2020-02-10 10:00:00
6,1581325200000,0.3252,0.3252,0.3075,0.3177,1880973.15,2020-02-10 09:00:00
7,1581321600000,0.3279,0.3302,0.3186,0.3238,729879.61,2020-02-10 08:00:00
8,1581318000000,0.3225,0.3311,0.3215,0.3282,1048699.21,2020-02-10 07:00:00
9,1581314400000,0.3208,0.3351,0.3195,0.3225,1068803.26,2020-02-10 06:00:00
10,1581310800000,0.3297,0.3315,0.3186,0.3209,866356.44,2020-02-10 05:00:00
11,1581307200000,0.3355,0.3375,0.327,0.3304,1155701.51,2020-02-10 04:00:00
12,1581303600000,0.3388,0.3423,0.3306,0.3355,860305.64,2020-02-10 03:00:00
13,1581300000000,0.3451,0.3452,0.3381,0.3392,498699.78,2020-02-10 02:00:00
14,1581296400000,0.3459,0.3519,0.3412,0.3452,639394.44,2020-02-10 01:00:00
15,1581292800000,0.3406,0.3514,0.34,0.3459,1285575.808,2020-02-10 00:00:00
16,1581289200000,0.3381,0.344,0.3364,0.3411,333285.61,2020-02-09 23:00:00
17,1581285600000,0.3374,0.345,0.3361,0.3379,811298.88,2020-02-09 22:00:00
18,1581282000000,0.3315,0.3393,0.33,0.3374,413523.34,2020-02-09 21:00:00
19,1581278400000,0.336,0.3366,0.3311,0.3311,186591.12,2020-02-09 20:00:00
20,1581274800000,0.3294,0.336,0.3287,0.336,228850.53,2020-02-09 19:00:00
21,1581271200000,0.3307,0.3311,0.3287,0.329,212522.5,2020-02-09 18:00:00
22,1581267600000,0.3336,0.3336,0.3274,0.3307,349780.12,2020-02-09 17:00:00
23,1581264000000,0.328,0.34,0.3274,0.3336,514870.37,2020-02-09 16:00:00
24,1581260400000,0.3297,0.3329,0.3215,0.3278,788869.92,2020-02-09 15:00:00
25,1581256800000,0.3323,0.3375,0.3282,0.3298,446868.09,2020-02-09 14:00:00
26,1581253200000,0.3417,0.3428,0.3313,0.3323,763451.17,2020-02-09 13:00:00
27,1581249600000,0.3283,0.349,0.3281,0.3414,2419523.72,2020-02-09 12:00:00
28,1581246000000,0.3162,0.3346,0.3152,0.3283,2215854.67,2020-02-09 11:00:00
29,1581242400000,0.3162,0.3165,0.3133,0.3162,122908.85,2020-02-09 10:00:00
30,1581238800000,0.3127,0.3172,0.3126,0.3161,241330.39,2020-02-09 09:00:00
31,1581235200000,0.3163,0.3185,0.3125,0.3126,426120.08,2020-02-09 08:00:00
32,1581231600000,0.3135,0.3199,0.3135,0.3163,212783.15,2020-02-09 07:00:00
33,1581228000000,0.3086,0.3169,0.3086,0.3134,284634.59,2020-02-09 06:00:00
34,1581224400000,0.3082,0.3088,0.3069,0.3086,249235.01,2020-02-09 05:00:00
35,1581220800000,0.3094,0.311,0.3071,0.3083,312111.43,2020-02-09 04:00:00
36,1581217200000,0.3124,0.3124,0.3045,0.3093,571751.59,2020-02-09 03:00:00
37,1581210000000,0.3125,0.3133,0.3117,0.3128,160199.61,2020-02-09 01:00:00
38,1581206400000,0.3074,0.3125,0.3044,0.3124,256528.58,2020-02-09 00:00:00
39,1581202800000,0.3064,0.3086,0.3053,0.3074,188738.65,2020-02-08 23:00:00
40,1581199200000,0.3096,0.3096,0.3055,0.3063,250832.59,2020-02-08 22:00:00
41,1581195600000,0.3135,0.3136,0.3095,0.3096,238490.31,2020-02-08 21:00:00
42,1581192000000,0.315,0.3151,0.313,0.3136,41956.09,2020-02-08 20:00:00
43,1581188400000,0.3098,0.3177,0.3094,0.3149,168572.52,2020-02-08 19:00:00
44,1581184800000,0.3151,0.3151,0.3093,0.3101,102770.94,2020-02-08 18:00:00
45,1581181200000,0.3165,0.3165,0.3095,0.315,364936.22,2020-02-08 17:00:00
46,1581177600000,0.3113,0.3207,0.3097,0.3169,601408.8,2020-02-08 16:00:00
47,1581174000000,0.3118,0.3152,0.3112,0.3113,242005.21,2020-02-08 15:00:00
48,1581170400000,0.3083,0.3124,0.307,0.3115,253317.05,2020-02-08 14:00:00
49,1581166800000,0.3089,0.3111,0.3063,0.3087,292937.33,2020-02-08 13:00:00
50,1581163200000,0.3102,0.3116,0.3083,0.3088,211577.24,2020-02-08 12:00:00
51,1581159600000,0.3131,0.3139,0.3095,0.3104,371468.85,2020-02-08 11:00:00
52,1581156000000,0.3147,0.3196,0.313,0.3134,646101.44,2020-02-08 10:00:00
53,1581152400000,0.3201,0.3201,0.3131,0.3147,223957.57,2020-02-08 09:00:00
54,1581148800000,0.307,0.321,0.307,0.3201,538429.2,2020-02-08 08:00:00
55,1581145200000,0.3056,0.3072,0.305,0.3072,93207.57,2020-02-08 07:00:00
56,1581141600000,0.306,0.3099,0.3054,0.3061,378271.22,2020-02-08 06:00:00
57,1581138000000,0.3084,0.3104,0.3007,0.306,613371.52,2020-02-08 05:00:00
58,1581134400000,0.3023,0.3099,0.3011,0.3083,426561.13,2020-02-08 04:00:00
59,1581130800000,0.296,0.303,0.2896,0.3023,1282760.26,2020-02-08 03:00:00
60,1581127200000,0.3055,0.3058,0.296,0.2962,819197.23,2020-02-08 02:00:00
61,1581123600000,0.3081,0.3084,0.3009,0.306,462800.43,2020-02-08 01:00:00
62,1581120000000,0.3123,0.3144,0.3081,0.3081,350016.17,2020-02-08 00:00:00
63,1581116400000,0.3137,0.3162,0.305,0.3124,472130.33,2020-02-07 23:00:00
64,1581112800000,0.3136,0.3177,0.3095,0.3134,399809.19,2020-02-07 22:00:00
65,1581109200000,0.307,0.3136,0.3065,0.3135,179883.56,2020-02-07 21:00:00
66,1581105600000,0.315,0.315,0.3063,0.3071,289402.7,2020-02-07 20:00:00
67,1581102000000,0.3154,0.3158,0.3134,0.3149,287595.05,2020-02-07 19:00:00
68,1581098400000,0.3181,0.3223,0.314,0.3154,847583.13,2020-02-07 18:00:00
69,1581094800000,0.31,0.3187,0.31,0.3181,357591.84,2020-02-07 17:00:00
70,1581091200000,0.3101,0.3117,0.3034,0.31,587724.25,2020-02-07 16:00:00
71,1581087600000,0.307,0.314,0.3043,0.3101,636179.59,2020-02-07 15:00:00
72,1581084000000,0.302,0.3105,0.3019,0.3071,583177.05,2020-02-07 14:00:00
73,1581080400000,0.2979,0.3043,0.2956,0.3019,602675.07,2020-02-07 13:00:00
74,1581076800000,0.302,0.3025,0.2944,0.2979,895234.74,2020-02-07 12:00:00
75,1581073200000,0.3009,0.32,0.3002,0.302,2050081.04,2020-02-07 11:00:00
76,1581069600000,0.3026,0.3077,0.3,0.3008,600442.09,2020-02-07 10:00:00
77,1581066000000,0.2989,0.307,0.2989,0.3028,988114.44,2020-02-07 09:00:00
78,1581062400000,0.2927,0.3054,0.2922,0.2987,2059266.61,2020-02-07 08:00:00
79,1581058800000,0.2837,0.2933,0.2836,0.2931,1051573.12,2020-02-07 07:00:00
80,1581055200000,0.2832,0.2837,0.2807,0.2837,337717.05,2020-02-07 06:00:00
81,1581051600000,0.2847,0.2852,0.2831,0.2831,303949.96,2020-02-07 05:00:00
82,1581048000000,0.2877,0.2883,0.2846,0.2848,371888.19,2020-02-07 04:00:00
83,1581044400000,0.2877,0.2889,0.2867,0.2877,143375.33,2020-02-07 03:00:00
84,1581040800000,0.287,0.2898,0.2868,0.288,221052.71,2020-02-07 02:00:00
85,1581037200000,0.2896,0.2899,0.285,0.287,317470.36,2020-02-07 01:00:00
86,1581033600000,0.2883,0.2904,0.288,0.2896,418241.9,2020-02-07 00:00:00
87,1581030000000,0.2925,0.2929,0.2867,0.2884,804441.15,2020-02-06 23:00:00
88,1581026400000,0.2925,0.2933,0.291,0.2926,604760.56,2020-02-06 22:00:00
89,1581022800000,0.288,0.2926,0.2878,0.2921,515800.24,2020-02-06 21:00:00
90,1581019200000,0.2878,0.288,0.2865,0.288,357257.76,2020-02-06 20:00:00
91,1581015600000,0.2863,0.288,0.2851,0.2878,365867.57,2020-02-06 19:00:00
92,1581012000000,0.2861,0.2862,0.285,0.2862,116858.38,2020-02-06 18:00:00
93,1581008400000,0.2868,0.2878,0.2858,0.2864,434295.36,2020-02-06 17:00:00
94,1581004800000,0.2844,0.2868,0.2838,0.2868,386990.4,2020-02-06 16:00:00
95,1581001200000,0.2865,0.2867,0.2824,0.2839,243592.25,2020-02-06 15:00:00
96,1580997600000,0.2821,0.287,0.2791,0.2865,596562.05,2020-02-06 14:00:00
97,1580994000000,0.2902,0.291,0.279,0.2821,1292718.15,2020-02-06 13:00:00
98,1580990400000,0.2835,0.293,0.2835,0.2905,819747.47,2020-02-06 12:00:00
99,1580986800000,0.2831,0.2839,0.2803,0.2834,236078.52,2020-02-06 11:00:00
100,1580983200000,0.2793,0.284,0.2793,0.2831,379887.45,2020-02-06 10:00:00
101,1580979600000,0.281,0.2814,0.2782,0.2788,146951.96,2020-02-06 09:00:00
102,1580976000000,0.278,0.2821,0.2771,0.281,448722.22,2020-02-06 08:00:00
103,1580972400000,0.2787,0.2789,0.2773,0.2773,191218.73,2020-02-06 07:00:00
104,1580968800000,0.2794,0.2803,0.2776,0.2783,237783.27,2020-02-06 06:00:00
105,1580965200000,0.2809,0.284,0.2794,0.2795,316244.24,2020-02-06 05:00:00
