,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,8.577e-05,8.58e-05,8.563e-05,8.58e-05,5009.0,2020-02-10 15:00:00
1,1581343200000,8.768e-05,8.768e-05,8.656e-05,8.656e-05,1681.0,2020-02-10 14:00:00
2,1581339600000,8.656e-05,8.765e-05,8.656e-05,8.765e-05,14146.0,2020-02-10 13:00:00
3,1581336000000,8.637e-05,8.655e-05,8.637e-05,8.655e-05,6069.0,2020-02-10 12:00:00
4,1581332400000,8.566e-05,8.577e-05,8.452e-05,8.511e-05,45452.0,2020-02-10 11:00:00
5,1581328800000,8.562e-05,8.577e-05,8.461e-05,8.568e-05,399263.0,2020-02-10 10:00:00
6,1581325200000,8.558e-05,8.685e-05,8.448e-05,8.562e-05,51393.0,2020-02-10 09:00:00
7,1581321600000,8.55e-05,8.558e-05,8.472e-05,8.558e-05,22987.0,2020-02-10 08:00:00
8,1581318000000,8.498e-05,8.569e-05,8.424e-05,8.424e-05,24468.0,2020-02-10 07:00:00
9,1581314400000,8.577e-05,8.611e-05,8.466e-05,8.611e-05,11759.0,2020-02-10 06:00:00
10,1581310800000,8.62e-05,8.62e-05,8.62e-05,8.62e-05,0.0,2020-02-10 05:00:00
11,1581307200000,8.62e-05,8.62e-05,8.62e-05,8.62e-05,0.0,2020-02-10 04:00:00
12,1581303600000,8.62e-05,8.62e-05,8.62e-05,8.62e-05,0.0,2020-02-10 03:00:00
13,1581300000000,8.621e-05,8.621e-05,8.62e-05,8.62e-05,2564.0,2020-02-10 02:00:00
14,1581296400000,8.621e-05,8.621e-05,8.62e-05,8.62e-05,4470.0,2020-02-10 01:00:00
15,1581292800000,8.656e-05,8.656e-05,8.656e-05,8.656e-05,0.0,2020-02-10 00:00:00
16,1581289200000,8.656e-05,8.656e-05,8.656e-05,8.656e-05,122.0,2020-02-09 23:00:00
17,1581285600000,8.781e-05,8.781e-05,8.781e-05,8.781e-05,81.0,2020-02-09 22:00:00
18,1581282000000,8.634e-05,8.784e-05,8.577e-05,8.783e-05,37234.0,2020-02-09 21:00:00
19,1581278400000,8.618e-05,8.721e-05,8.618e-05,8.721e-05,24239.0,2020-02-09 20:00:00
20,1581274800000,8.507e-05,8.507e-05,8.506e-05,8.506e-05,2000.0,2020-02-09 19:00:00
21,1581271200000,8.569e-05,8.569e-05,8.569e-05,8.569e-05,128.0,2020-02-09 18:00:00
22,1581267600000,8.534e-05,8.631e-05,8.534e-05,8.631e-05,25427.0,2020-02-09 17:00:00
23,1581264000000,8.486e-05,8.515e-05,8.486e-05,8.515e-05,35475.0,2020-02-09 16:00:00
24,1581260400000,8.506e-05,8.506e-05,8.379e-05,8.486e-05,16688.0,2020-02-09 15:00:00
25,1581256800000,8.354e-05,8.506e-05,8.343e-05,8.506e-05,39153.0,2020-02-09 14:00:00
26,1581253200000,8.325e-05,8.354e-05,8.285e-05,8.354e-05,28174.0,2020-02-09 13:00:00
27,1581249600000,8.25e-05,8.338e-05,8.25e-05,8.325e-05,32274.0,2020-02-09 12:00:00
28,1581246000000,8.316e-05,8.317e-05,8.316e-05,8.317e-05,346.0,2020-02-09 11:00:00
29,1581242400000,8.318e-05,8.318e-05,8.188e-05,8.314e-05,6437.0,2020-02-09 10:00:00
30,1581238800000,8.291e-05,8.352e-05,8.197e-05,8.3e-05,48403.0,2020-02-09 09:00:00
31,1581235200000,8.187e-05,8.291e-05,8.187e-05,8.28e-05,9524.0,2020-02-09 08:00:00
32,1581231600000,8.156e-05,8.194e-05,8.156e-05,8.163e-05,10460.0,2020-02-09 07:00:00
33,1581228000000,8.156e-05,8.156e-05,8.083e-05,8.156e-05,11049.0,2020-02-09 06:00:00
34,1581224400000,7.969e-05,8.143e-05,7.969e-05,8.051e-05,124985.0,2020-02-09 05:00:00
35,1581220800000,7.985e-05,7.985e-05,7.985e-05,7.985e-05,2659.0,2020-02-09 04:00:00
36,1581217200000,8.141e-05,8.141e-05,7.705e-05,7.967e-05,485733.0,2020-02-09 03:00:00
37,1581210000000,8.366e-05,8.366e-05,8.106e-05,8.258e-05,111341.0,2020-02-09 01:00:00
38,1581206400000,8.373e-05,8.374e-05,8.214e-05,8.374e-05,19563.0,2020-02-09 00:00:00
39,1581202800000,8.322e-05,8.372e-05,8.322e-05,8.372e-05,22004.0,2020-02-08 23:00:00
40,1581199200000,8.258e-05,8.339e-05,8.258e-05,8.339e-05,27075.0,2020-02-08 22:00:00
41,1581195600000,8.688e-05,8.688e-05,8.11e-05,8.21e-05,591184.0,2020-02-08 21:00:00
42,1581192000000,8.616e-05,8.616e-05,8.616e-05,8.616e-05,132.0,2020-02-08 20:00:00
43,1581188400000,8.657e-05,8.657e-05,8.656e-05,8.656e-05,249.0,2020-02-08 19:00:00
44,1581184800000,8.676e-05,8.784e-05,8.676e-05,8.784e-05,10499.0,2020-02-08 18:00:00
45,1581181200000,8.734e-05,8.757e-05,8.734e-05,8.757e-05,4139.0,2020-02-08 17:00:00
46,1581177600000,8.563e-05,8.802e-05,8.561e-05,8.627e-05,47781.0,2020-02-08 16:00:00
47,1581174000000,8.559e-05,8.563e-05,8.559e-05,8.563e-05,5970.0,2020-02-08 15:00:00
48,1581170400000,8.656e-05,8.656e-05,8.464e-05,8.576e-05,34348.0,2020-02-08 14:00:00
49,1581166800000,8.7e-05,8.7e-05,8.517e-05,8.656e-05,64394.0,2020-02-08 13:00:00
