,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.51e-06,3.54e-06,3.51e-06,3.54e-06,25430.0,2020-02-10 15:00:00
1,1581343200000,3.52e-06,3.56e-06,3.5e-06,3.52e-06,42897.0,2020-02-10 14:00:00
2,1581339600000,3.5e-06,3.55e-06,3.48e-06,3.52e-06,91005.0,2020-02-10 13:00:00
3,1581336000000,3.46e-06,3.5e-06,3.46e-06,3.5e-06,110146.0,2020-02-10 12:00:00
4,1581332400000,3.49e-06,3.51e-06,3.46e-06,3.46e-06,97298.0,2020-02-10 11:00:00
5,1581328800000,3.52e-06,3.52e-06,3.46e-06,3.49e-06,88795.0,2020-02-10 10:00:00
6,1581325200000,3.53e-06,3.54e-06,3.46e-06,3.52e-06,156161.0,2020-02-10 09:00:00
7,1581321600000,3.52e-06,3.55e-06,3.52e-06,3.52e-06,89142.0,2020-02-10 08:00:00
8,1581318000000,3.51e-06,3.53e-06,3.49e-06,3.51e-06,33728.0,2020-02-10 07:00:00
9,1581314400000,3.52e-06,3.52e-06,3.47e-06,3.51e-06,113164.0,2020-02-10 06:00:00
10,1581310800000,3.52e-06,3.53e-06,3.5e-06,3.52e-06,40218.0,2020-02-10 05:00:00
11,1581307200000,3.51e-06,3.54e-06,3.5e-06,3.52e-06,37588.0,2020-02-10 04:00:00
12,1581303600000,3.54e-06,3.54e-06,3.51e-06,3.53e-06,15018.0,2020-02-10 03:00:00
13,1581300000000,3.55e-06,3.55e-06,3.5e-06,3.53e-06,40719.0,2020-02-10 02:00:00
14,1581296400000,3.54e-06,3.55e-06,3.5e-06,3.53e-06,128656.0,2020-02-10 01:00:00
15,1581292800000,3.54e-06,3.58e-06,3.52e-06,3.54e-06,73702.0,2020-02-10 00:00:00
16,1581289200000,3.56e-06,3.56e-06,3.52e-06,3.56e-06,83053.0,2020-02-09 23:00:00
17,1581285600000,3.56e-06,3.58e-06,3.54e-06,3.57e-06,11976.0,2020-02-09 22:00:00
18,1581282000000,3.6e-06,3.6e-06,3.53e-06,3.58e-06,145061.0,2020-02-09 21:00:00
19,1581278400000,3.61e-06,3.62e-06,3.58e-06,3.6e-06,36977.0,2020-02-09 20:00:00
20,1581274800000,3.6e-06,3.61e-06,3.58e-06,3.61e-06,14285.0,2020-02-09 19:00:00
21,1581271200000,3.59e-06,3.63e-06,3.59e-06,3.6e-06,185642.0,2020-02-09 18:00:00
22,1581267600000,3.59e-06,3.59e-06,3.58e-06,3.59e-06,25598.0,2020-02-09 17:00:00
23,1581264000000,3.55e-06,3.59e-06,3.54e-06,3.58e-06,37498.0,2020-02-09 16:00:00
24,1581260400000,3.58e-06,3.58e-06,3.54e-06,3.54e-06,77574.0,2020-02-09 15:00:00
25,1581256800000,3.52e-06,3.58e-06,3.52e-06,3.58e-06,120019.0,2020-02-09 14:00:00
26,1581253200000,3.51e-06,3.54e-06,3.5e-06,3.5e-06,86927.0,2020-02-09 13:00:00
27,1581249600000,3.5e-06,3.55e-06,3.5e-06,3.51e-06,69366.0,2020-02-09 12:00:00
28,1581246000000,3.49e-06,3.51e-06,3.48e-06,3.49e-06,86326.0,2020-02-09 11:00:00
29,1581242400000,3.42e-06,3.5e-06,3.42e-06,3.5e-06,156954.0,2020-02-09 10:00:00
