,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.626e-05,1.627e-05,1.576e-05,1.606e-05,153758.0,2020-02-10 15:00:00
1,1581343200000,1.59e-05,1.633e-05,1.59e-05,1.629e-05,169050.0,2020-02-10 14:00:00
2,1581339600000,1.578e-05,1.622e-05,1.572e-05,1.593e-05,567080.0,2020-02-10 13:00:00
3,1581336000000,1.562e-05,1.581e-05,1.55e-05,1.574e-05,121464.0,2020-02-10 12:00:00
4,1581332400000,1.56e-05,1.567e-05,1.555e-05,1.563e-05,66569.0,2020-02-10 11:00:00
5,1581328800000,1.548e-05,1.566e-05,1.539e-05,1.564e-05,133270.0,2020-02-10 10:00:00
6,1581325200000,1.568e-05,1.57e-05,1.515e-05,1.545e-05,324362.0,2020-02-10 09:00:00
7,1581321600000,1.6e-05,1.603e-05,1.563e-05,1.568e-05,453846.0,2020-02-10 08:00:00
8,1581318000000,1.565e-05,1.6e-05,1.558e-05,1.598e-05,242071.0,2020-02-10 07:00:00
9,1581314400000,1.589e-05,1.593e-05,1.56e-05,1.562e-05,367488.0,2020-02-10 06:00:00
10,1581310800000,1.576e-05,1.605e-05,1.576e-05,1.598e-05,150856.0,2020-02-10 05:00:00
11,1581307200000,1.576e-05,1.582e-05,1.565e-05,1.578e-05,137290.0,2020-02-10 04:00:00
12,1581303600000,1.578e-05,1.59e-05,1.572e-05,1.578e-05,210244.0,2020-02-10 03:00:00
13,1581300000000,1.578e-05,1.58e-05,1.564e-05,1.569e-05,144147.0,2020-02-10 02:00:00
14,1581296400000,1.58e-05,1.583e-05,1.576e-05,1.581e-05,9798.0,2020-02-10 01:00:00
15,1581292800000,1.586e-05,1.586e-05,1.574e-05,1.58e-05,215747.0,2020-02-10 00:00:00
16,1581289200000,1.578e-05,1.591e-05,1.576e-05,1.585e-05,184358.0,2020-02-09 23:00:00
17,1581285600000,1.585e-05,1.585e-05,1.572e-05,1.579e-05,98119.0,2020-02-09 22:00:00
18,1581282000000,1.58e-05,1.596e-05,1.565e-05,1.587e-05,327678.0,2020-02-09 21:00:00
19,1581278400000,1.579e-05,1.586e-05,1.576e-05,1.579e-05,69485.0,2020-02-09 20:00:00
20,1581274800000,1.568e-05,1.582e-05,1.561e-05,1.579e-05,443106.0,2020-02-09 19:00:00
21,1581271200000,1.565e-05,1.576e-05,1.557e-05,1.568e-05,115753.0,2020-02-09 18:00:00
22,1581267600000,1.551e-05,1.566e-05,1.548e-05,1.561e-05,123594.0,2020-02-09 17:00:00
23,1581264000000,1.539e-05,1.555e-05,1.538e-05,1.552e-05,22089.0,2020-02-09 16:00:00
24,1581260400000,1.561e-05,1.567e-05,1.529e-05,1.538e-05,373799.0,2020-02-09 15:00:00
25,1581256800000,1.549e-05,1.567e-05,1.544e-05,1.561e-05,338765.0,2020-02-09 14:00:00
26,1581253200000,1.553e-05,1.559e-05,1.544e-05,1.549e-05,306102.0,2020-02-09 13:00:00
27,1581249600000,1.552e-05,1.56e-05,1.549e-05,1.558e-05,238616.0,2020-02-09 12:00:00
28,1581246000000,1.548e-05,1.558e-05,1.538e-05,1.55e-05,250347.0,2020-02-09 11:00:00
29,1581242400000,1.541e-05,1.56e-05,1.54e-05,1.548e-05,105953.0,2020-02-09 10:00:00
30,1581238800000,1.531e-05,1.55e-05,1.528e-05,1.545e-05,78540.0,2020-02-09 09:00:00
31,1581235200000,1.523e-05,1.538e-05,1.521e-05,1.526e-05,75864.0,2020-02-09 08:00:00
32,1581231600000,1.535e-05,1.542e-05,1.52e-05,1.523e-05,197299.0,2020-02-09 07:00:00
33,1581228000000,1.522e-05,1.536e-05,1.519e-05,1.533e-05,47412.0,2020-02-09 06:00:00
