,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.734,4.734,4.734,4.734,0.0,2020-02-10 15:00:00
1,1581343200000,4.672,4.734,4.672,4.734,12.051,2020-02-10 14:00:00
2,1581339600000,4.75,4.75,4.683,4.683,45.408,2020-02-10 13:00:00
3,1581336000000,4.584,4.757,4.584,4.694,113.102,2020-02-10 12:00:00
4,1581332400000,4.579,4.579,4.579,4.579,0.0,2020-02-10 11:00:00
5,1581328800000,4.579,4.579,4.579,4.579,0.0,2020-02-10 10:00:00
6,1581325200000,4.608,4.608,4.576,4.579,148.085,2020-02-10 09:00:00
7,1581321600000,4.707,4.707,4.707,4.707,13.932,2020-02-10 08:00:00
8,1581318000000,4.666,4.7,4.666,4.7,156.54,2020-02-10 07:00:00
9,1581314400000,4.601,4.662,4.601,4.662,392.7,2020-02-10 06:00:00
10,1581310800000,4.666,4.666,4.526,4.528,1011.803,2020-02-10 05:00:00
11,1581307200000,4.641,4.641,4.632,4.632,18.277,2020-02-10 04:00:00
12,1581303600000,4.666,4.666,4.666,4.666,19.016,2020-02-10 03:00:00
13,1581300000000,4.744,4.744,4.744,4.744,0.0,2020-02-10 02:00:00
14,1581296400000,4.744,4.744,4.744,4.744,0.0,2020-02-10 01:00:00
15,1581292800000,4.744,4.744,4.744,4.744,44.23,2020-02-10 00:00:00
16,1581289200000,4.737,4.753,4.737,4.753,27.697,2020-02-09 23:00:00
17,1581285600000,4.721,4.721,4.721,4.721,0.0,2020-02-09 22:00:00
18,1581282000000,4.721,4.721,4.721,4.721,0.0,2020-02-09 21:00:00
19,1581278400000,4.721,4.721,4.721,4.721,0.0,2020-02-09 20:00:00
20,1581274800000,4.721,4.721,4.721,4.721,2.12,2020-02-09 19:00:00
21,1581271200000,4.623,4.623,4.623,4.623,0.0,2020-02-09 18:00:00
22,1581267600000,4.623,4.623,4.623,4.623,0.0,2020-02-09 17:00:00
23,1581264000000,4.623,4.623,4.623,4.623,0.0,2020-02-09 16:00:00
24,1581260400000,4.627,4.627,4.623,4.623,39.912,2020-02-09 15:00:00
25,1581256800000,4.69,4.69,4.664,4.664,35.69,2020-02-09 14:00:00
26,1581253200000,4.717,4.717,4.717,4.717,0.0,2020-02-09 13:00:00
27,1581249600000,4.75,4.75,4.717,4.717,40.224,2020-02-09 12:00:00
28,1581246000000,4.717,4.74,4.717,4.74,157.011,2020-02-09 11:00:00
