,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.737,4.76,4.732,4.747,18992.624,2020-02-10 15:00:00
1,1581343200000,4.715,4.75,4.65,4.729,62587.45,2020-02-10 14:00:00
2,1581339600000,4.767,4.769,4.682,4.717,52165.032,2020-02-10 13:00:00
3,1581336000000,4.628,4.769,4.615,4.756,103304.796,2020-02-10 12:00:00
4,1581332400000,4.668,4.668,4.6,4.628,60471.507,2020-02-10 11:00:00
5,1581328800000,4.627,4.727,4.624,4.666,70772.525,2020-02-10 10:00:00
6,1581325200000,4.651,4.654,4.571,4.63,102552.827,2020-02-10 09:00:00
7,1581321600000,4.707,4.732,4.638,4.653,64705.42,2020-02-10 08:00:00
8,1581318000000,4.635,4.742,4.635,4.707,75214.1,2020-02-10 07:00:00
9,1581314400000,4.558,4.65,4.552,4.642,109591.33,2020-02-10 06:00:00
10,1581310800000,4.658,4.666,4.433,4.562,116903.643,2020-02-10 05:00:00
11,1581307200000,4.66,4.666,4.61,4.66,28487.201,2020-02-10 04:00:00
12,1581303600000,4.685,4.692,4.63,4.659,99726.704,2020-02-10 03:00:00
13,1581300000000,4.701,4.722,4.678,4.684,39466.706,2020-02-10 02:00:00
14,1581296400000,4.721,4.728,4.693,4.701,14300.76,2020-02-10 01:00:00
15,1581292800000,4.757,4.774,4.712,4.726,53340.705,2020-02-10 00:00:00
16,1581289200000,4.727,4.775,4.714,4.757,43889.478,2020-02-09 23:00:00
17,1581285600000,4.696,4.727,4.689,4.727,15065.003,2020-02-09 22:00:00
18,1581282000000,4.683,4.695,4.678,4.687,9183.976,2020-02-09 21:00:00
19,1581278400000,4.704,4.704,4.675,4.682,14522.578,2020-02-09 20:00:00
20,1581274800000,4.706,4.715,4.695,4.707,5040.831,2020-02-09 19:00:00
21,1581271200000,4.71,4.714,4.675,4.7,20875.535,2020-02-09 18:00:00
22,1581267600000,4.716,4.72,4.68,4.71,51431.324,2020-02-09 17:00:00
23,1581264000000,4.687,4.718,4.673,4.718,34730.421,2020-02-09 16:00:00
24,1581260400000,4.651,4.705,4.612,4.687,62071.98,2020-02-09 15:00:00
25,1581256800000,4.691,4.719,4.65,4.65,37239.56,2020-02-09 14:00:00
26,1581253200000,4.729,4.732,4.684,4.693,22530.458,2020-02-09 13:00:00
27,1581249600000,4.781,4.788,4.716,4.727,36256.442,2020-02-09 12:00:00
28,1581246000000,4.728,4.785,4.698,4.776,52574.212,2020-02-09 11:00:00
29,1581242400000,4.692,4.732,4.683,4.731,37915.527,2020-02-09 10:00:00
30,1581238800000,4.708,4.727,4.69,4.693,46919.754,2020-02-09 09:00:00
31,1581235200000,4.743,4.743,4.674,4.708,60329.738,2020-02-09 08:00:00
32,1581231600000,4.754,4.783,4.734,4.745,25647.985,2020-02-09 07:00:00
33,1581228000000,4.75,4.776,4.746,4.759,29769.255,2020-02-09 06:00:00
34,1581224400000,4.676,4.771,4.668,4.746,68741.086,2020-02-09 05:00:00
