,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.501e-05,3.501e-05,3.45e-05,3.45e-05,32889.0,2020-02-10 15:00:00
1,1581343200000,3.519e-05,3.537e-05,3.485e-05,3.502e-05,42245.0,2020-02-10 14:00:00
2,1581339600000,3.502e-05,3.525e-05,3.48e-05,3.52e-05,80520.0,2020-02-10 13:00:00
3,1581336000000,3.424e-05,3.58e-05,3.357e-05,3.502e-05,282875.0,2020-02-10 12:00:00
4,1581332400000,3.39e-05,3.456e-05,3.358e-05,3.424e-05,81657.0,2020-02-10 11:00:00
5,1581328800000,3.326e-05,3.43e-05,3.32e-05,3.406e-05,60145.0,2020-02-10 10:00:00
6,1581325200000,3.404e-05,3.447e-05,3.317e-05,3.337e-05,107260.0,2020-02-10 09:00:00
7,1581321600000,3.4e-05,3.412e-05,3.372e-05,3.381e-05,32887.0,2020-02-10 08:00:00
8,1581318000000,3.395e-05,3.402e-05,3.368e-05,3.4e-05,21757.0,2020-02-10 07:00:00
9,1581314400000,3.41e-05,3.494e-05,3.371e-05,3.383e-05,100283.0,2020-02-10 06:00:00
10,1581310800000,3.414e-05,3.424e-05,3.372e-05,3.423e-05,28344.0,2020-02-10 05:00:00
11,1581307200000,3.377e-05,3.454e-05,3.352e-05,3.398e-05,162685.0,2020-02-10 04:00:00
12,1581303600000,3.482e-05,3.502e-05,3.35e-05,3.377e-05,181425.0,2020-02-10 03:00:00
13,1581300000000,3.513e-05,3.515e-05,3.44e-05,3.481e-05,58106.0,2020-02-10 02:00:00
14,1581296400000,3.603e-05,3.635e-05,3.501e-05,3.515e-05,91930.0,2020-02-10 01:00:00
15,1581292800000,3.538e-05,3.667e-05,3.526e-05,3.61e-05,144073.0,2020-02-10 00:00:00
16,1581289200000,3.521e-05,3.54e-05,3.485e-05,3.525e-05,31786.0,2020-02-09 23:00:00
17,1581285600000,3.476e-05,3.525e-05,3.468e-05,3.521e-05,43987.0,2020-02-09 22:00:00
18,1581282000000,3.567e-05,3.594e-05,3.45e-05,3.481e-05,155699.0,2020-02-09 21:00:00
19,1581278400000,3.64e-05,3.688e-05,3.53e-05,3.548e-05,171181.0,2020-02-09 20:00:00
20,1581274800000,3.753e-05,3.768e-05,3.639e-05,3.64e-05,100758.0,2020-02-09 19:00:00
21,1581271200000,3.639e-05,3.743e-05,3.614e-05,3.743e-05,129699.0,2020-02-09 18:00:00
22,1581267600000,3.654e-05,3.759e-05,3.615e-05,3.615e-05,168742.0,2020-02-09 17:00:00
23,1581264000000,3.571e-05,3.837e-05,3.571e-05,3.654e-05,382493.0,2020-02-09 16:00:00
24,1581260400000,3.55e-05,3.596e-05,3.434e-05,3.57e-05,297961.0,2020-02-09 15:00:00
25,1581256800000,3.73e-05,3.891e-05,3.55e-05,3.55e-05,1361138.0,2020-02-09 14:00:00
26,1581253200000,3.286e-05,3.769e-05,3.27e-05,3.727e-05,1358873.0,2020-02-09 13:00:00
27,1581249600000,3.332e-05,3.34e-05,3.247e-05,3.285e-05,159940.0,2020-02-09 12:00:00
28,1581246000000,3.324e-05,3.375e-05,3.298e-05,3.335e-05,174811.0,2020-02-09 11:00:00
29,1581242400000,3.334e-05,3.39e-05,3.317e-05,3.326e-05,88390.0,2020-02-09 10:00:00
30,1581238800000,3.11e-05,3.4e-05,3.097e-05,3.322e-05,344532.0,2020-02-09 09:00:00
31,1581235200000,3.149e-05,3.151e-05,3.11e-05,3.121e-05,9036.0,2020-02-09 08:00:00
32,1581231600000,3.202e-05,3.206e-05,3.139e-05,3.151e-05,33032.0,2020-02-09 07:00:00
33,1581228000000,3.235e-05,3.278e-05,3.173e-05,3.198e-05,118087.0,2020-02-09 06:00:00
34,1581224400000,3.161e-05,3.297e-05,3.141e-05,3.235e-05,121771.0,2020-02-09 05:00:00
35,1581220800000,3.127e-05,3.2e-05,3.085e-05,3.154e-05,110883.0,2020-02-09 04:00:00
36,1581217200000,3.112e-05,3.131e-05,3.066e-05,3.127e-05,83528.0,2020-02-09 03:00:00
37,1581210000000,3.023e-05,3.124e-05,3.023e-05,3.111e-05,87806.0,2020-02-09 01:00:00
38,1581206400000,3.054e-05,3.056e-05,3.021e-05,3.023e-05,47596.0,2020-02-09 00:00:00
39,1581202800000,3.063e-05,3.064e-05,3.025e-05,3.056e-05,81243.0,2020-02-08 23:00:00
40,1581199200000,3.061e-05,3.091e-05,3.045e-05,3.062e-05,50256.0,2020-02-08 22:00:00
41,1581195600000,3.119e-05,3.119e-05,3.034e-05,3.061e-05,81243.0,2020-02-08 21:00:00
