,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.3465,0.3466,0.3428,0.3431,3099.2,2020-02-10 15:00:00
1,1581343200000,0.3455,0.3495,0.3431,0.3465,30997.49,2020-02-10 14:00:00
2,1581339600000,0.3439,0.3475,0.3423,0.3473,21514.67,2020-02-10 13:00:00
3,1581336000000,0.3353,0.3523,0.3295,0.344,78295.13,2020-02-10 12:00:00
4,1581332400000,0.3344,0.3385,0.3306,0.338,69322.67,2020-02-10 11:00:00
5,1581328800000,0.3265,0.3376,0.3265,0.3333,34285.41,2020-02-10 10:00:00
6,1581325200000,0.3355,0.3386,0.3226,0.3286,138385.91,2020-02-10 09:00:00
7,1581321600000,0.3386,0.3386,0.3355,0.3359,18612.94,2020-02-10 08:00:00
8,1581318000000,0.3364,0.3401,0.3355,0.3386,19893.83,2020-02-10 07:00:00
9,1581314400000,0.335,0.3471,0.3318,0.3364,91474.8,2020-02-10 06:00:00
10,1581310800000,0.341,0.344,0.335,0.335,31395.64,2020-02-10 05:00:00
11,1581307200000,0.3415,0.3474,0.338,0.3416,110629.66,2020-02-10 04:00:00
12,1581303600000,0.354,0.354,0.3367,0.3415,127116.79,2020-02-10 03:00:00
13,1581300000000,0.3555,0.3569,0.3494,0.3546,81577.81,2020-02-10 02:00:00
14,1581296400000,0.3685,0.3702,0.3544,0.3555,95402.92,2020-02-10 01:00:00
15,1581292800000,0.3584,0.3749,0.3583,0.3686,128384.05,2020-02-10 00:00:00
16,1581289200000,0.3559,0.3584,0.354,0.3583,14818.49,2020-02-09 23:00:00
17,1581285600000,0.3509,0.3569,0.3509,0.3559,16861.45,2020-02-09 22:00:00
18,1581282000000,0.3589,0.3635,0.35,0.35,98363.95,2020-02-09 21:00:00
19,1581278400000,0.3688,0.371,0.3546,0.3585,141393.09,2020-02-09 20:00:00
20,1581274800000,0.3775,0.3798,0.3665,0.3665,60579.92,2020-02-09 19:00:00
21,1581271200000,0.367,0.3776,0.3633,0.3774,47842.04,2020-02-09 18:00:00
22,1581267600000,0.3702,0.3814,0.364,0.367,43226.81,2020-02-09 17:00:00
23,1581264000000,0.3618,0.3876,0.3618,0.3702,146653.85,2020-02-09 16:00:00
24,1581260400000,0.3575,0.3627,0.349,0.3608,173804.1,2020-02-09 15:00:00
25,1581256800000,0.3763,0.3944,0.3575,0.3584,483306.83,2020-02-09 14:00:00
26,1581253200000,0.3342,0.38,0.3342,0.3763,445228.69,2020-02-09 13:00:00
27,1581249600000,0.337,0.3381,0.3302,0.3342,94783.87,2020-02-09 12:00:00
28,1581246000000,0.3361,0.345,0.3352,0.3361,71703.15,2020-02-09 11:00:00
29,1581242400000,0.336,0.3408,0.335,0.3361,45870.59,2020-02-09 10:00:00
30,1581238800000,0.3161,0.345,0.3124,0.3367,398318.54,2020-02-09 09:00:00
31,1581235200000,0.3187,0.3197,0.3151,0.3151,15245.11,2020-02-09 08:00:00
32,1581231600000,0.3231,0.3237,0.3159,0.319,24524.16,2020-02-09 07:00:00
33,1581228000000,0.3294,0.3306,0.321,0.3216,53055.49,2020-02-09 06:00:00
34,1581224400000,0.3185,0.3313,0.3184,0.3294,181982.51,2020-02-09 05:00:00
35,1581220800000,0.3148,0.323,0.3121,0.3183,43592.1,2020-02-09 04:00:00
36,1581217200000,0.3073,0.3148,0.3058,0.3148,51505.74,2020-02-09 03:00:00
37,1581210000000,0.3009,0.32,0.3,0.3088,87318.18,2020-02-09 01:00:00
38,1581206400000,0.3023,0.3028,0.2989,0.3028,31291.49,2020-02-09 00:00:00
