,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.647e-05,2.675e-05,2.63e-05,2.675e-05,592785.0,2020-02-10 15:00:00
1,1581343200000,2.622e-05,2.655e-05,2.611e-05,2.645e-05,1016561.0,2020-02-10 14:00:00
2,1581339600000,2.63e-05,2.631e-05,2.612e-05,2.62e-05,626794.0,2020-02-10 13:00:00
3,1581336000000,2.636e-05,2.637e-05,2.616e-05,2.627e-05,799375.0,2020-02-10 12:00:00
4,1581332400000,2.589e-05,2.636e-05,2.585e-05,2.635e-05,1894677.0,2020-02-10 11:00:00
5,1581328800000,2.594e-05,2.602e-05,2.568e-05,2.586e-05,1085002.0,2020-02-10 10:00:00
6,1581325200000,2.644e-05,2.645e-05,2.581e-05,2.597e-05,1610783.0,2020-02-10 09:00:00
7,1581321600000,2.651e-05,2.661e-05,2.631e-05,2.641e-05,1224038.0,2020-02-10 08:00:00
8,1581318000000,2.616e-05,2.651e-05,2.608e-05,2.647e-05,622803.0,2020-02-10 07:00:00
9,1581314400000,2.642e-05,2.649e-05,2.59e-05,2.615e-05,1201098.0,2020-02-10 06:00:00
10,1581310800000,2.619e-05,2.654e-05,2.615e-05,2.643e-05,934340.0,2020-02-10 05:00:00
11,1581307200000,2.625e-05,2.636e-05,2.605e-05,2.62e-05,641328.0,2020-02-10 04:00:00
12,1581303600000,2.637e-05,2.645e-05,2.612e-05,2.627e-05,619205.0,2020-02-10 03:00:00
13,1581300000000,2.66e-05,2.662e-05,2.63e-05,2.638e-05,631036.0,2020-02-10 02:00:00
14,1581296400000,2.682e-05,2.685e-05,2.646e-05,2.658e-05,792360.0,2020-02-10 01:00:00
15,1581292800000,2.688e-05,2.697e-05,2.668e-05,2.678e-05,870579.0,2020-02-10 00:00:00
16,1581289200000,2.703e-05,2.704e-05,2.678e-05,2.689e-05,827681.0,2020-02-09 23:00:00
17,1581285600000,2.704e-05,2.727e-05,2.688e-05,2.703e-05,1828203.0,2020-02-09 22:00:00
18,1581282000000,2.701e-05,2.734e-05,2.686e-05,2.703e-05,1828842.0,2020-02-09 21:00:00
19,1581278400000,2.651e-05,2.724e-05,2.651e-05,2.7e-05,2691335.0,2020-02-09 20:00:00
20,1581274800000,2.647e-05,2.658e-05,2.641e-05,2.651e-05,409638.0,2020-02-09 19:00:00
21,1581271200000,2.651e-05,2.673e-05,2.631e-05,2.647e-05,1786887.0,2020-02-09 18:00:00
22,1581267600000,2.595e-05,2.671e-05,2.595e-05,2.65e-05,2862269.0,2020-02-09 17:00:00
23,1581264000000,2.544e-05,2.6e-05,2.542e-05,2.595e-05,1028204.0,2020-02-09 16:00:00
24,1581260400000,2.552e-05,2.567e-05,2.532e-05,2.543e-05,1076605.0,2020-02-09 15:00:00
25,1581256800000,2.526e-05,2.554e-05,2.524e-05,2.552e-05,597941.0,2020-02-09 14:00:00
26,1581253200000,2.542e-05,2.556e-05,2.523e-05,2.526e-05,922251.0,2020-02-09 13:00:00
27,1581249600000,2.519e-05,2.545e-05,2.512e-05,2.542e-05,1276609.0,2020-02-09 12:00:00
28,1581246000000,2.538e-05,2.541e-05,2.501e-05,2.519e-05,1315034.0,2020-02-09 11:00:00
29,1581242400000,2.544e-05,2.556e-05,2.536e-05,2.539e-05,616624.0,2020-02-09 10:00:00
30,1581238800000,2.546e-05,2.554e-05,2.541e-05,2.544e-05,346787.0,2020-02-09 09:00:00
31,1581235200000,2.535e-05,2.558e-05,2.53e-05,2.548e-05,817427.0,2020-02-09 08:00:00
32,1581231600000,2.534e-05,2.547e-05,2.51e-05,2.534e-05,1511606.0,2020-02-09 07:00:00
33,1581228000000,2.514e-05,2.536e-05,2.511e-05,2.536e-05,766184.0,2020-02-09 06:00:00
34,1581224400000,2.516e-05,2.547e-05,2.494e-05,2.514e-05,1027603.0,2020-02-09 05:00:00
35,1581220800000,2.566e-05,2.57e-05,2.503e-05,2.513e-05,1535870.0,2020-02-09 04:00:00
36,1581217200000,2.591e-05,2.592e-05,2.551e-05,2.57e-05,1423295.0,2020-02-09 03:00:00
37,1581210000000,2.6e-05,2.608e-05,2.587e-05,2.599e-05,354156.0,2020-02-09 01:00:00
38,1581206400000,2.584e-05,2.605e-05,2.579e-05,2.597e-05,431100.0,2020-02-09 00:00:00
39,1581202800000,2.578e-05,2.587e-05,2.572e-05,2.587e-05,444726.0,2020-02-08 23:00:00
40,1581199200000,2.574e-05,2.59e-05,2.559e-05,2.576e-05,1073939.0,2020-02-08 22:00:00
41,1581195600000,2.612e-05,2.619e-05,2.564e-05,2.573e-05,602201.0,2020-02-08 21:00:00
42,1581192000000,2.612e-05,2.621e-05,2.607e-05,2.616e-05,307137.0,2020-02-08 20:00:00
43,1581188400000,2.621e-05,2.636e-05,2.611e-05,2.616e-05,631278.0,2020-02-08 19:00:00
44,1581184800000,2.627e-05,2.631e-05,2.615e-05,2.621e-05,568448.0,2020-02-08 18:00:00
45,1581181200000,2.643e-05,2.647e-05,2.621e-05,2.623e-05,499140.0,2020-02-08 17:00:00
46,1581177600000,2.631e-05,2.644e-05,2.62e-05,2.643e-05,497637.0,2020-02-08 16:00:00
47,1581174000000,2.647e-05,2.653e-05,2.63e-05,2.631e-05,320642.0,2020-02-08 15:00:00
48,1581170400000,2.629e-05,2.652e-05,2.612e-05,2.648e-05,712390.0,2020-02-08 14:00:00
49,1581166800000,2.628e-05,2.635e-05,2.611e-05,2.629e-05,554696.0,2020-02-08 13:00:00
50,1581163200000,2.642e-05,2.645e-05,2.625e-05,2.628e-05,329131.0,2020-02-08 12:00:00
51,1581159600000,2.635e-05,2.646e-05,2.613e-05,2.641e-05,371699.0,2020-02-08 11:00:00
52,1581156000000,2.639e-05,2.653e-05,2.633e-05,2.635e-05,288692.0,2020-02-08 10:00:00
53,1581152400000,2.645e-05,2.655e-05,2.637e-05,2.641e-05,528458.0,2020-02-08 09:00:00
54,1581148800000,2.636e-05,2.647e-05,2.624e-05,2.646e-05,676522.0,2020-02-08 08:00:00
55,1581145200000,2.638e-05,2.64e-05,2.629e-05,2.637e-05,313329.0,2020-02-08 07:00:00
56,1581141600000,2.627e-05,2.641e-05,2.626e-05,2.638e-05,394429.0,2020-02-08 06:00:00
57,1581138000000,2.64e-05,2.644e-05,2.607e-05,2.626e-05,717090.0,2020-02-08 05:00:00
