,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,8.69e-05,8.81e-05,8.64e-05,8.77e-05,30107.47,2020-02-10 15:00:00
1,1581343200000,8.65e-05,8.75e-05,8.57e-05,8.69e-05,70076.14,2020-02-10 14:00:00
2,1581339600000,8.66e-05,8.73e-05,8.57e-05,8.65e-05,44912.56,2020-02-10 13:00:00
3,1581336000000,8.39e-05,8.8e-05,8.39e-05,8.65e-05,99247.31,2020-02-10 12:00:00
4,1581332400000,8.42e-05,8.53e-05,8.36e-05,8.41e-05,45712.06,2020-02-10 11:00:00
5,1581328800000,8.47e-05,8.55e-05,8.34e-05,8.46e-05,25764.96,2020-02-10 10:00:00
6,1581325200000,8.56e-05,8.59e-05,8.32e-05,8.48e-05,167886.72,2020-02-10 09:00:00
7,1581321600000,8.7e-05,8.73e-05,8.44e-05,8.56e-05,58416.44,2020-02-10 08:00:00
8,1581318000000,8.6e-05,8.77e-05,8.57e-05,8.67e-05,59305.19,2020-02-10 07:00:00
9,1581314400000,8.64e-05,8.68e-05,8.52e-05,8.57e-05,106786.66,2020-02-10 06:00:00
10,1581310800000,8.67e-05,8.7e-05,8.52e-05,8.64e-05,127821.49,2020-02-10 05:00:00
11,1581307200000,8.77e-05,8.79e-05,8.65e-05,8.66e-05,65012.48,2020-02-10 04:00:00
12,1581303600000,8.96e-05,9.01e-05,8.64e-05,8.77e-05,94003.63,2020-02-10 03:00:00
13,1581300000000,8.99e-05,9.04e-05,8.64e-05,8.95e-05,243571.74,2020-02-10 02:00:00
14,1581296400000,8.17e-05,9.05e-05,8.16e-05,9.02e-05,558182.95,2020-02-10 01:00:00
15,1581292800000,8.15e-05,8.22e-05,8.14e-05,8.14e-05,28287.63,2020-02-10 00:00:00
16,1581289200000,8.21e-05,8.21e-05,8.1e-05,8.18e-05,25411.37,2020-02-09 23:00:00
17,1581285600000,8.22e-05,8.29e-05,8.17e-05,8.21e-05,22691.69,2020-02-09 22:00:00
18,1581282000000,8.18e-05,8.23e-05,8.15e-05,8.22e-05,16222.85,2020-02-09 21:00:00
19,1581278400000,8.28e-05,8.37e-05,8.16e-05,8.18e-05,56642.71,2020-02-09 20:00:00
20,1581274800000,8.3e-05,8.33e-05,8.23e-05,8.27e-05,34708.47,2020-02-09 19:00:00
21,1581271200000,8.15e-05,8.34e-05,8.12e-05,8.34e-05,85670.53,2020-02-09 18:00:00
22,1581267600000,8.13e-05,8.18e-05,8.12e-05,8.12e-05,23438.65,2020-02-09 17:00:00
23,1581264000000,8e-05,8.18e-05,7.98e-05,8.13e-05,26590.59,2020-02-09 16:00:00
24,1581260400000,8.07e-05,8.12e-05,7.94e-05,8.02e-05,31242.93,2020-02-09 15:00:00
25,1581256800000,8.04e-05,8.19e-05,8e-05,8.07e-05,30426.5,2020-02-09 14:00:00
26,1581253200000,8.03e-05,8.1e-05,8.02e-05,8.04e-05,18671.59,2020-02-09 13:00:00
27,1581249600000,8.01e-05,8.04e-05,7.96e-05,8.04e-05,20198.75,2020-02-09 12:00:00
28,1581246000000,7.95e-05,8.01e-05,7.94e-05,7.97e-05,7427.28,2020-02-09 11:00:00
29,1581242400000,7.99e-05,8.01e-05,7.94e-05,7.95e-05,14207.17,2020-02-09 10:00:00
30,1581238800000,8e-05,8.02e-05,7.96e-05,8e-05,23246.83,2020-02-09 09:00:00
