,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.8646,0.8725,0.8563,0.869,44389.58,2020-02-10 15:00:00
1,1581343200000,0.8523,0.865,0.8444,0.8595,17566.84,2020-02-10 14:00:00
2,1581339600000,0.8538,0.8597,0.8407,0.8523,27698.14,2020-02-10 13:00:00
3,1581336000000,0.8279,0.8648,0.8245,0.856,64470.39,2020-02-10 12:00:00
4,1581332400000,0.834,0.8354,0.8174,0.8279,52917.36,2020-02-10 11:00:00
5,1581328800000,0.833,0.8391,0.8243,0.8339,53209.67,2020-02-10 10:00:00
6,1581325200000,0.845,0.8488,0.8173,0.833,153132.56,2020-02-10 09:00:00
7,1581321600000,0.8667,0.8697,0.835,0.8482,85259.68,2020-02-10 08:00:00
8,1581318000000,0.8543,0.8764,0.8505,0.8667,52092.45,2020-02-10 07:00:00
9,1581314400000,0.8502,0.8664,0.8488,0.85,117731.36,2020-02-10 06:00:00
10,1581310800000,0.8752,0.8765,0.8491,0.8491,121283.93,2020-02-10 05:00:00
11,1581307200000,0.8838,0.8883,0.8689,0.8703,47754.7,2020-02-10 04:00:00
12,1581303600000,0.9064,0.91,0.8745,0.8822,101172.01,2020-02-10 03:00:00
13,1581300000000,0.9154,0.9154,0.8746,0.9074,182929.65,2020-02-10 02:00:00
14,1581296400000,0.8263,0.9161,0.8263,0.9095,417478.45,2020-02-10 01:00:00
15,1581292800000,0.8304,0.8386,0.8277,0.83,33173.59,2020-02-10 00:00:00
16,1581289200000,0.8329,0.8329,0.8242,0.8293,12623.55,2020-02-09 23:00:00
17,1581285600000,0.8242,0.8398,0.8232,0.8294,20937.65,2020-02-09 22:00:00
18,1581282000000,0.8214,0.828,0.8214,0.828,23142.88,2020-02-09 21:00:00
19,1581278400000,0.8391,0.8391,0.8214,0.8227,21436.08,2020-02-09 20:00:00
20,1581274800000,0.8364,0.84,0.8295,0.8358,10941.58,2020-02-09 19:00:00
21,1581271200000,0.8224,0.84,0.82,0.8386,38554.0,2020-02-09 18:00:00
22,1581267600000,0.8266,0.827,0.8199,0.8228,16853.07,2020-02-09 17:00:00
23,1581264000000,0.8076,0.8277,0.8076,0.8272,50416.81,2020-02-09 16:00:00
24,1581260400000,0.817,0.8209,0.7901,0.8078,82444.53,2020-02-09 15:00:00
25,1581256800000,0.8125,0.8243,0.81,0.814,81526.66,2020-02-09 14:00:00
26,1581253200000,0.815,0.8198,0.812,0.8125,11350.52,2020-02-09 13:00:00
27,1581249600000,0.8064,0.8169,0.803,0.8147,56020.1,2020-02-09 12:00:00
28,1581246000000,0.8057,0.8099,0.8057,0.806,5322.64,2020-02-09 11:00:00
29,1581242400000,0.8039,0.8094,0.803,0.8094,16826.42,2020-02-09 10:00:00
30,1581238800000,0.8088,0.8109,0.8039,0.8039,15539.56,2020-02-09 09:00:00
31,1581235200000,0.8187,0.8187,0.8087,0.8088,32569.56,2020-02-09 08:00:00
32,1581231600000,0.819,0.8231,0.8155,0.8155,33688.49,2020-02-09 07:00:00
33,1581228000000,0.8274,0.83,0.8182,0.8182,5951.93,2020-02-09 06:00:00
34,1581224400000,0.8099,0.8291,0.8099,0.8274,18899.37,2020-02-09 05:00:00
35,1581220800000,0.8092,0.8123,0.8,0.81,51306.54,2020-02-09 04:00:00
36,1581217200000,0.8027,0.8122,0.7931,0.8122,44012.69,2020-02-09 03:00:00
37,1581210000000,0.8069,0.81,0.7999,0.805,13565.09,2020-02-09 01:00:00
38,1581206400000,0.8042,0.8155,0.8,0.8069,44071.89,2020-02-09 00:00:00
39,1581202800000,0.7843,0.8048,0.7843,0.8048,34470.23,2020-02-08 23:00:00
40,1581199200000,0.7848,0.7902,0.78,0.7886,16942.95,2020-02-08 22:00:00
41,1581195600000,0.7941,0.8002,0.78,0.785,43455.1,2020-02-08 21:00:00
42,1581192000000,0.8044,0.8044,0.7915,0.7927,9939.49,2020-02-08 20:00:00
43,1581188400000,0.798,0.8049,0.7948,0.8048,6508.66,2020-02-08 19:00:00
44,1581184800000,0.7966,0.803,0.79,0.802,23826.49,2020-02-08 18:00:00
45,1581181200000,0.7893,0.7989,0.7877,0.7913,30828.85,2020-02-08 17:00:00
46,1581177600000,0.8027,0.8049,0.7893,0.7898,45564.36,2020-02-08 16:00:00
47,1581174000000,0.8135,0.8149,0.8006,0.805,23222.85,2020-02-08 15:00:00
48,1581170400000,0.8019,0.8169,0.8019,0.8115,35242.7,2020-02-08 14:00:00
49,1581166800000,0.8214,0.8268,0.7864,0.8034,254473.19,2020-02-08 13:00:00
50,1581163200000,0.8283,0.8303,0.8184,0.8214,9012.78,2020-02-08 12:00:00
51,1581159600000,0.8298,0.8314,0.8193,0.8283,76768.41,2020-02-08 11:00:00
52,1581156000000,0.8373,0.8444,0.8298,0.8332,28360.37,2020-02-08 10:00:00
53,1581152400000,0.8437,0.8455,0.8285,0.8407,53927.14,2020-02-08 09:00:00
54,1581148800000,0.833,0.8457,0.831,0.8437,70717.81,2020-02-08 08:00:00
55,1581145200000,0.8197,0.8396,0.8187,0.8325,53887.71,2020-02-08 07:00:00
56,1581141600000,0.8027,0.8258,0.797,0.8198,66371.73,2020-02-08 06:00:00
57,1581138000000,0.8145,0.8207,0.7959,0.804,89696.86,2020-02-08 05:00:00
58,1581134400000,0.786,0.8228,0.7817,0.8133,53704.69,2020-02-08 04:00:00
59,1581130800000,0.7827,0.8021,0.7683,0.785,125703.02,2020-02-08 03:00:00
60,1581127200000,0.8108,0.8117,0.7801,0.7834,88099.67,2020-02-08 02:00:00
61,1581123600000,0.8405,0.8405,0.8009,0.8108,73014.63,2020-02-08 01:00:00
62,1581120000000,0.8315,0.8451,0.8268,0.8349,93544.3,2020-02-08 00:00:00
63,1581116400000,0.8237,0.8313,0.8215,0.8279,15616.9,2020-02-07 23:00:00
64,1581112800000,0.818,0.8302,0.818,0.826,16158.44,2020-02-07 22:00:00
65,1581109200000,0.82,0.8236,0.8113,0.8165,16981.68,2020-02-07 21:00:00
66,1581105600000,0.8238,0.8306,0.82,0.8225,19708.69,2020-02-07 20:00:00
67,1581102000000,0.8387,0.8427,0.8163,0.8223,64027.69,2020-02-07 19:00:00
68,1581098400000,0.8047,0.8462,0.8031,0.8409,156817.23,2020-02-07 18:00:00
69,1581094800000,0.8033,0.8076,0.7912,0.8047,40464.61,2020-02-07 17:00:00
