,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.45e-06,2.46e-06,2.45e-06,2.46e-06,43645.0,2020-02-10 15:00:00
1,1581343200000,2.46e-06,2.48e-06,2.44e-06,2.45e-06,33294.0,2020-02-10 14:00:00
2,1581339600000,2.45e-06,2.47e-06,2.44e-06,2.44e-06,256473.0,2020-02-10 13:00:00
3,1581336000000,2.43e-06,2.45e-06,2.43e-06,2.45e-06,167471.0,2020-02-10 12:00:00
4,1581332400000,2.45e-06,2.45e-06,2.43e-06,2.44e-06,47354.0,2020-02-10 11:00:00
5,1581328800000,2.45e-06,2.45e-06,2.42e-06,2.45e-06,205837.0,2020-02-10 10:00:00
6,1581325200000,2.48e-06,2.49e-06,2.45e-06,2.45e-06,235311.0,2020-02-10 09:00:00
7,1581321600000,2.49e-06,2.53e-06,2.46e-06,2.48e-06,300686.0,2020-02-10 08:00:00
8,1581318000000,2.49e-06,2.49e-06,2.46e-06,2.49e-06,138813.0,2020-02-10 07:00:00
9,1581314400000,2.49e-06,2.51e-06,2.47e-06,2.48e-06,154623.0,2020-02-10 06:00:00
10,1581310800000,2.5e-06,2.5e-06,2.49e-06,2.5e-06,41016.0,2020-02-10 05:00:00
11,1581307200000,2.5e-06,2.5e-06,2.48e-06,2.49e-06,118373.0,2020-02-10 04:00:00
12,1581303600000,2.53e-06,2.53e-06,2.49e-06,2.5e-06,100176.0,2020-02-10 03:00:00
13,1581300000000,2.55e-06,2.55e-06,2.47e-06,2.52e-06,543017.0,2020-02-10 02:00:00
14,1581296400000,2.54e-06,2.56e-06,2.53e-06,2.56e-06,200161.0,2020-02-10 01:00:00
15,1581292800000,2.56e-06,2.57e-06,2.54e-06,2.54e-06,82644.0,2020-02-10 00:00:00
16,1581289200000,2.54e-06,2.56e-06,2.53e-06,2.56e-06,52156.0,2020-02-09 23:00:00
17,1581285600000,2.56e-06,2.56e-06,2.53e-06,2.53e-06,53531.0,2020-02-09 22:00:00
18,1581282000000,2.55e-06,2.57e-06,2.54e-06,2.55e-06,153815.0,2020-02-09 21:00:00
19,1581278400000,2.55e-06,2.56e-06,2.54e-06,2.55e-06,53505.0,2020-02-09 20:00:00
20,1581274800000,2.54e-06,2.56e-06,2.53e-06,2.55e-06,59958.0,2020-02-09 19:00:00
21,1581271200000,2.53e-06,2.55e-06,2.52e-06,2.54e-06,73632.0,2020-02-09 18:00:00
