,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,24.8547,25.2051,24.8547,25.2051,1084.37,2020-02-10 15:00:00
1,1581343200000,24.89,25.1,24.603,24.8571,2801.53,2020-02-10 14:00:00
2,1581339600000,24.7346,25.337,24.7346,24.9271,15825.83,2020-02-10 13:00:00
3,1581336000000,24.439,25.0,24.2405,24.7154,8194.42,2020-02-10 12:00:00
4,1581332400000,24.6122,24.6783,23.9735,24.4081,3374.36,2020-02-10 11:00:00
5,1581328800000,24.4081,24.6938,23.9344,24.611,8101.21,2020-02-10 10:00:00
6,1581325200000,25.0204,25.0204,24.11,24.4436,6726.67,2020-02-10 09:00:00
7,1581321600000,24.8163,25.8,24.7276,25.0514,12275.62,2020-02-10 08:00:00
8,1581318000000,24.6122,24.9795,24.6122,24.7724,2248.27,2020-02-10 07:00:00
9,1581314400000,23.42,24.936,23.3877,24.5791,17041.66,2020-02-10 06:00:00
10,1581310800000,23.8775,23.9225,23.3132,23.3857,6448.48,2020-02-10 05:00:00
11,1581307200000,23.9247,24.0,23.77,23.851,1426.74,2020-02-10 04:00:00
12,1581303600000,24.0402,24.0966,23.7715,23.8983,3039.36,2020-02-10 03:00:00
13,1581300000000,24.1632,24.1632,23.7869,24.0,1870.05,2020-02-10 02:00:00
14,1581296400000,24.2448,24.322,24.1525,24.1742,1364.38,2020-02-10 01:00:00
15,1581292800000,24.3812,24.4476,24.09,24.23,1861.38,2020-02-10 00:00:00
16,1581289200000,23.8178,24.3828,23.8,24.3673,817.12,2020-02-09 23:00:00
17,1581285600000,23.9673,23.9673,23.7645,23.8178,212.04,2020-02-09 22:00:00
18,1581282000000,23.818,24.0816,23.818,23.9972,3649.63,2020-02-09 21:00:00
19,1581278400000,23.778,23.8797,23.69,23.785,2600.43,2020-02-09 20:00:00
20,1581274800000,23.6088,23.9027,23.548,23.7703,1074.48,2020-02-09 19:00:00
21,1581271200000,23.8367,23.8367,23.5566,23.5793,2061.27,2020-02-09 18:00:00
22,1581267600000,23.7554,24.1224,23.7258,23.848,3733.52,2020-02-09 17:00:00
23,1581264000000,23.3061,23.9274,23.3061,23.7555,2253.58,2020-02-09 16:00:00
24,1581260400000,22.9864,23.4916,22.8001,23.2653,3908.25,2020-02-09 15:00:00
25,1581256800000,22.9285,23.1,22.8662,22.9864,412.43,2020-02-09 14:00:00
26,1581253200000,23.0083,23.0547,22.7966,22.9446,493.48,2020-02-09 13:00:00
27,1581249600000,22.9897,23.0864,22.908,22.9965,579.5,2020-02-09 12:00:00
28,1581246000000,22.9591,23.051,22.9122,22.9591,493.04,2020-02-09 11:00:00
29,1581242400000,22.9768,23.0,22.7488,22.9981,2487.64,2020-02-09 10:00:00
30,1581238800000,22.98,23.1,22.8061,22.979,5484.95,2020-02-09 09:00:00
31,1581235200000,23.2781,23.3809,22.8571,22.9591,3345.29,2020-02-09 08:00:00
32,1581231600000,23.3616,23.4428,23.2559,23.2657,2473.08,2020-02-09 07:00:00
33,1581228000000,23.2795,23.4137,23.2795,23.35,5167.96,2020-02-09 06:00:00
34,1581224400000,23.3265,23.4489,23.1367,23.2795,1364.33,2020-02-09 05:00:00
35,1581220800000,23.3877,23.6224,23.051,23.3,5974.22,2020-02-09 04:00:00
36,1581217200000,22.1928,23.3673,22.1928,23.3673,10793.38,2020-02-09 03:00:00
37,1581210000000,22.1632,22.2646,22.1,22.1749,749.09,2020-02-09 01:00:00
38,1581206400000,21.8,22.1763,21.7945,22.1599,736.01,2020-02-09 00:00:00
39,1581202800000,21.83,21.9,21.8079,21.8255,536.49,2020-02-08 23:00:00
40,1581199200000,21.742,21.8265,21.6579,21.8265,238.26,2020-02-08 22:00:00
41,1581195600000,21.7774,21.8566,21.7346,21.7653,673.31,2020-02-08 21:00:00
42,1581192000000,21.7,21.7959,21.7,21.7653,804.46,2020-02-08 20:00:00
43,1581188400000,21.7241,21.7411,21.6836,21.7129,3542.3,2020-02-08 19:00:00
44,1581184800000,21.5757,21.7346,21.4795,21.6734,961.45,2020-02-08 18:00:00
45,1581181200000,21.8265,21.8265,21.549,21.6,696.74,2020-02-08 17:00:00
46,1581177600000,21.7653,21.8367,21.7142,21.7857,1159.13,2020-02-08 16:00:00
47,1581174000000,21.8877,21.9067,21.7214,21.7214,719.74,2020-02-08 15:00:00
48,1581170400000,21.8721,21.9489,21.7857,21.8571,1183.7,2020-02-08 14:00:00
49,1581166800000,21.915,22.054,21.75,21.8759,1373.92,2020-02-08 13:00:00
50,1581163200000,21.8877,21.9999,21.8772,21.93,1505.73,2020-02-08 12:00:00
