,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.111388,0.112391,0.111093,0.111699,2092.68,2020-02-10 15:00:00
1,1581343200000,0.113504,0.113591,0.111193,0.111391,5031.57,2020-02-10 14:00:00
2,1581339600000,0.112575,0.115,0.112575,0.113481,6296.32,2020-02-10 13:00:00
3,1581336000000,0.111846,0.113572,0.111401,0.112483,12431.86,2020-02-10 12:00:00
4,1581332400000,0.111796,0.112343,0.110855,0.111846,2977.21,2020-02-10 11:00:00
5,1581328800000,0.111501,0.112459,0.109608,0.111794,7130.68,2020-02-10 10:00:00
6,1581325200000,0.113208,0.113923,0.110714,0.111599,13093.93,2020-02-10 09:00:00
7,1581321600000,0.110766,0.116061,0.110766,0.113208,20202.22,2020-02-10 08:00:00
8,1581318000000,0.110138,0.111634,0.109503,0.110762,7542.31,2020-02-10 07:00:00
9,1581314400000,0.105813,0.111719,0.105764,0.109966,23600.72,2020-02-10 06:00:00
10,1581310800000,0.106129,0.106893,0.105763,0.106038,3683.65,2020-02-10 05:00:00
11,1581307200000,0.105977,0.107188,0.105771,0.106233,4307.34,2020-02-10 04:00:00
12,1581303600000,0.105973,0.106595,0.105638,0.105886,3478.59,2020-02-10 03:00:00
13,1581300000000,0.106412,0.106412,0.105257,0.105886,2264.64,2020-02-10 02:00:00
14,1581296400000,0.105914,0.106775,0.105836,0.106412,2028.53,2020-02-10 01:00:00
15,1581292800000,0.1065,0.106772,0.1054,0.105975,4293.23,2020-02-10 00:00:00
16,1581289200000,0.104604,0.106505,0.104297,0.1065,3718.72,2020-02-09 23:00:00
17,1581285600000,0.106509,0.106509,0.104592,0.104681,4604.12,2020-02-09 22:00:00
18,1581282000000,0.105822,0.1068,0.105639,0.106453,8705.21,2020-02-09 21:00:00
19,1581278400000,0.10493,0.105997,0.1047,0.105844,3489.89,2020-02-09 20:00:00
20,1581274800000,0.104418,0.105635,0.104111,0.10493,4219.26,2020-02-09 19:00:00
21,1581271200000,0.105071,0.105388,0.104251,0.104338,4163.02,2020-02-09 18:00:00
22,1581267600000,0.104438,0.105782,0.104438,0.105139,10770.22,2020-02-09 17:00:00
23,1581264000000,0.10263,0.105197,0.102306,0.104367,13080.24,2020-02-09 16:00:00
24,1581260400000,0.101545,0.103066,0.101308,0.102608,5794.31,2020-02-09 15:00:00
25,1581256800000,0.100769,0.101642,0.100548,0.101541,2324.12,2020-02-09 14:00:00
26,1581253200000,0.100584,0.101074,0.100442,0.100899,2645.86,2020-02-09 13:00:00
27,1581249600000,0.100738,0.10097,0.10024,0.100583,1563.95,2020-02-09 12:00:00
28,1581246000000,0.100348,0.100837,0.10017,0.100716,1420.04,2020-02-09 11:00:00
29,1581242400000,0.100808,0.100934,0.099978,0.10042,2489.3,2020-02-09 10:00:00
30,1581238800000,0.100206,0.100959,0.100145,0.100703,2550.41,2020-02-09 09:00:00
31,1581235200000,0.101271,0.101626,0.099923,0.10014,4450.32,2020-02-09 08:00:00
32,1581231600000,0.102112,0.102476,0.101098,0.101271,4686.02,2020-02-09 07:00:00
33,1581228000000,0.102011,0.102476,0.101842,0.102202,1842.55,2020-02-09 06:00:00
34,1581224400000,0.102431,0.103061,0.101792,0.101889,5638.54,2020-02-09 05:00:00
35,1581220800000,0.102239,0.103288,0.101224,0.102428,7809.72,2020-02-09 04:00:00
36,1581217200000,0.097989,0.102388,0.097748,0.102239,12079.26,2020-02-09 03:00:00
37,1581210000000,0.097823,0.098352,0.097749,0.097989,1749.34,2020-02-09 01:00:00
38,1581206400000,0.097637,0.098091,0.097532,0.097845,2536.07,2020-02-09 00:00:00
39,1581202800000,0.097363,0.097728,0.096968,0.097636,863.79,2020-02-08 23:00:00
40,1581199200000,0.097545,0.097737,0.097245,0.09751,503.86,2020-02-08 22:00:00
41,1581195600000,0.097284,0.097736,0.097183,0.097545,1641.29,2020-02-08 21:00:00
42,1581192000000,0.09661,0.097471,0.096487,0.097284,795.15,2020-02-08 20:00:00
43,1581188400000,0.097238,0.097321,0.096461,0.096604,1189.54,2020-02-08 19:00:00
44,1581184800000,0.096242,0.097515,0.095897,0.09724,3488.0,2020-02-08 18:00:00
45,1581181200000,0.09673,0.097385,0.096103,0.096315,3613.18,2020-02-08 17:00:00
46,1581177600000,0.096457,0.097401,0.096394,0.096796,2797.05,2020-02-08 16:00:00
47,1581174000000,0.096512,0.096682,0.096103,0.09653,1649.08,2020-02-08 15:00:00
48,1581170400000,0.096882,0.097034,0.096166,0.096512,3391.17,2020-02-08 14:00:00
49,1581166800000,0.097063,0.097385,0.096624,0.096965,1846.92,2020-02-08 13:00:00
50,1581163200000,0.096607,0.097144,0.096542,0.097118,5346.93,2020-02-08 12:00:00
51,1581159600000,0.097416,0.097574,0.096612,0.096722,4817.24,2020-02-08 11:00:00
52,1581156000000,0.097908,0.097972,0.096346,0.097415,7279.6,2020-02-08 10:00:00
53,1581152400000,0.098284,0.098935,0.09768,0.097922,4188.43,2020-02-08 09:00:00
54,1581148800000,0.0985,0.098748,0.097902,0.098242,2777.31,2020-02-08 08:00:00
55,1581145200000,0.098947,0.099021,0.098346,0.098574,1796.57,2020-02-08 07:00:00
56,1581141600000,0.099,0.099229,0.098347,0.099016,1370.65,2020-02-08 06:00:00
