,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,24.9419,25.2011,24.9418,25.0669,64.85,2020-02-10 15:00:00
1,1581343200000,24.9131,25.0733,24.4,24.9541,474.9,2020-02-10 14:00:00
2,1581339600000,24.7888,25.2481,24.7513,24.9342,577.26,2020-02-10 13:00:00
3,1581336000000,24.3963,24.8575,24.2106,24.7251,551.95,2020-02-10 12:00:00
4,1581332400000,24.6579,24.6717,24.0914,24.4146,270.06,2020-02-10 11:00:00
5,1581328800000,24.4,24.6732,23.9694,24.5744,733.24,2020-02-10 10:00:00
6,1581325200000,24.823,24.8332,24.1227,24.4572,485.87,2020-02-10 09:00:00
7,1581321600000,24.8198,25.7732,24.8048,25.084,1959.55,2020-02-10 08:00:00
8,1581318000000,24.7011,24.9812,24.6444,24.7831,574.64,2020-02-10 07:00:00
9,1581314400000,23.4455,24.92,23.3653,24.57,2487.63,2020-02-10 06:00:00
10,1581310800000,23.8562,23.9074,23.3597,23.4228,463.56,2020-02-10 05:00:00
11,1581307200000,23.85,23.8605,23.7903,23.8029,220.37,2020-02-10 04:00:00
12,1581303600000,24.0499,24.0898,23.7854,23.8806,47.34,2020-02-10 03:00:00
13,1581300000000,24.1517,24.1518,23.777,24.0026,237.17,2020-02-10 02:00:00
14,1581296400000,24.1915,24.3352,24.1571,24.1724,112.06,2020-02-10 01:00:00
15,1581292800000,24.3712,24.42,24.0872,24.2603,387.81,2020-02-10 00:00:00
16,1581289200000,23.8689,24.3762,23.8689,24.2151,714.29,2020-02-09 23:00:00
17,1581285600000,24.0073,24.0073,23.7854,23.7854,109.52,2020-02-09 22:00:00
18,1581282000000,23.8304,24.0648,23.8304,23.9623,70.25,2020-02-09 21:00:00
19,1581278400000,23.7353,23.8475,23.6959,23.8304,213.85,2020-02-09 20:00:00
20,1581274800000,23.5899,23.9,23.5268,23.7438,437.13,2020-02-09 19:00:00
21,1581271200000,23.81,23.8425,23.5734,23.5899,161.11,2020-02-09 18:00:00
22,1581267600000,23.8475,24.1122,23.816,23.8475,606.5,2020-02-09 17:00:00
23,1581264000000,23.35,23.92,23.3086,23.7256,1388.85,2020-02-09 16:00:00
24,1581260400000,23.0197,23.4,22.861,23.3222,317.36,2020-02-09 15:00:00
25,1581256800000,22.86,23.1158,22.86,22.8916,18.44,2020-02-09 14:00:00
26,1581253200000,23.0248,23.0511,22.872,22.9806,250.25,2020-02-09 13:00:00
27,1581249600000,23.0426,23.0835,22.9357,22.9553,177.98,2020-02-09 12:00:00
28,1581246000000,22.9691,23.0493,22.9247,22.9928,363.62,2020-02-09 11:00:00
29,1581242400000,22.872,22.9939,22.7957,22.9939,43.33,2020-02-09 10:00:00
30,1581238800000,22.9509,23.0599,22.83,22.9651,112.81,2020-02-09 09:00:00
31,1581235200000,23.2548,23.2548,22.872,22.9212,325.26,2020-02-09 08:00:00
32,1581231600000,23.4262,23.4719,23.238,23.238,111.71,2020-02-09 07:00:00
33,1581228000000,23.3246,23.3969,23.2923,23.39,121.36,2020-02-09 06:00:00
34,1581224400000,23.3408,23.3996,23.179,23.2984,854.43,2020-02-09 05:00:00
35,1581220800000,23.4082,23.62,23.1159,23.2378,2922.6,2020-02-09 04:00:00
36,1581217200000,22.2471,23.3862,22.2471,23.3862,2901.71,2020-02-09 03:00:00
37,1581210000000,22.1363,22.2346,22.1146,22.1927,172.64,2020-02-09 01:00:00
38,1581206400000,21.8109,22.1404,21.8109,22.1363,42.27,2020-02-09 00:00:00
39,1581202800000,21.8333,21.835,21.8242,21.8349,35.54,2020-02-08 23:00:00
40,1581199200000,21.6626,21.7068,21.6626,21.7068,16.83,2020-02-08 22:00:00
41,1581195600000,21.8035,21.823,21.7377,21.823,47.29,2020-02-08 21:00:00
42,1581192000000,21.6994,21.7498,21.6925,21.7498,17.81,2020-02-08 20:00:00
43,1581188400000,21.7341,21.7341,21.6915,21.6915,39.96,2020-02-08 19:00:00
44,1581184800000,21.5161,21.7126,21.5161,21.6933,110.32,2020-02-08 18:00:00
45,1581181200000,21.7938,21.7938,21.5307,21.587,176.79,2020-02-08 17:00:00
