,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,24.8812,25.204,24.8812,25.1818,526.32,2020-02-10 15:00:00
1,1581343200000,24.7996,25.1,24.5654,24.8545,1499.18,2020-02-10 14:00:00
2,1581339600000,24.6913,25.2924,24.6913,24.915,1288.18,2020-02-10 13:00:00
3,1581336000000,24.3618,24.92,24.2466,24.7498,947.23,2020-02-10 12:00:00
4,1581332400000,24.5916,24.7215,24.0781,24.3965,745.29,2020-02-10 11:00:00
5,1581328800000,24.38,24.6909,23.9671,24.55,1380.14,2020-02-10 10:00:00
6,1581325200000,24.9949,24.9949,24.0149,24.4881,2128.63,2020-02-10 09:00:00
7,1581321600000,24.8318,25.7476,24.6797,25.063,2873.43,2020-02-10 08:00:00
8,1581318000000,24.59,24.9888,24.59,24.7639,843.74,2020-02-10 07:00:00
9,1581314400000,23.3877,24.897,23.2904,24.5307,2256.97,2020-02-10 06:00:00
10,1581310800000,23.8245,23.948,23.2904,23.2904,1592.19,2020-02-10 05:00:00
11,1581307200000,23.878,23.9337,23.7403,23.8423,390.94,2020-02-10 04:00:00
12,1581303600000,24.008,24.1038,23.7618,23.8927,313.05,2020-02-10 03:00:00
13,1581300000000,24.1594,24.1594,23.7902,23.9921,309.13,2020-02-10 02:00:00
14,1581296400000,24.3245,24.3247,24.1659,24.1737,429.81,2020-02-10 01:00:00
15,1581292800000,24.3572,24.4116,24.0843,24.2296,431.89,2020-02-10 00:00:00
16,1581289200000,23.8726,24.3799,23.8717,24.3576,384.68,2020-02-09 23:00:00
17,1581285600000,23.9226,23.9965,23.7523,23.85,350.87,2020-02-09 22:00:00
18,1581282000000,23.8478,24.1034,23.8478,23.9747,338.31,2020-02-09 21:00:00
19,1581278400000,23.698,23.8775,23.698,23.7782,99.76,2020-02-09 20:00:00
20,1581274800000,23.5812,23.912,23.5484,23.698,207.49,2020-02-09 19:00:00
21,1581271200000,23.8497,23.8497,23.5282,23.5812,1014.22,2020-02-09 18:00:00
22,1581267600000,23.7661,24.1039,23.7661,23.9051,843.86,2020-02-09 17:00:00
23,1581264000000,23.3198,23.9355,23.3198,23.7414,2234.98,2020-02-09 16:00:00
24,1581260400000,23.0512,23.3649,22.8095,23.2248,610.73,2020-02-09 15:00:00
25,1581256800000,22.8994,23.1148,22.863,22.9582,119.11,2020-02-09 14:00:00
26,1581253200000,23.0249,23.0366,22.8196,22.95,1042.88,2020-02-09 13:00:00
27,1581249600000,22.9709,23.0617,22.9267,22.9762,506.3,2020-02-09 12:00:00
28,1581246000000,22.9711,23.0501,22.9222,23.013,170.32,2020-02-09 11:00:00
29,1581242400000,22.8587,23.0067,22.7847,22.9711,592.47,2020-02-09 10:00:00
30,1581238800000,22.9011,23.0984,22.7608,22.9252,1228.07,2020-02-09 09:00:00
31,1581235200000,23.267,23.3192,22.8122,22.8122,1639.28,2020-02-09 08:00:00
32,1581231600000,23.362,23.4816,23.2486,23.3195,455.88,2020-02-09 07:00:00
33,1581228000000,23.3033,23.4142,23.3033,23.3249,30.4,2020-02-09 06:00:00
34,1581224400000,23.3363,23.4323,23.1192,23.3361,478.6,2020-02-09 05:00:00
35,1581220800000,23.42,23.5972,22.9677,23.305,2143.93,2020-02-09 04:00:00
36,1581217200000,22.2198,23.42,22.1969,23.42,1644.21,2020-02-09 03:00:00
37,1581210000000,22.1799,22.2235,22.1087,22.1804,144.22,2020-02-09 01:00:00
38,1581206400000,21.7738,22.185,21.7738,22.1219,339.0,2020-02-09 00:00:00
39,1581202800000,21.7815,21.9066,21.7815,21.8866,211.55,2020-02-08 23:00:00
40,1581199200000,21.7765,21.8365,21.6382,21.812,318.49,2020-02-08 22:00:00
41,1581195600000,21.7539,21.8454,21.7344,21.7701,172.55,2020-02-08 21:00:00
42,1581192000000,21.7156,21.8012,21.6925,21.7815,108.31,2020-02-08 20:00:00
43,1581188400000,21.7261,21.7455,21.6811,21.7156,331.16,2020-02-08 19:00:00
44,1581184800000,21.5548,21.7211,21.4828,21.6928,315.88,2020-02-08 18:00:00
45,1581181200000,21.7991,21.7991,21.5204,21.5693,336.13,2020-02-08 17:00:00
46,1581177600000,21.7001,21.8591,21.7001,21.7827,100.65,2020-02-08 16:00:00
47,1581174000000,21.8851,21.8851,21.6752,21.6752,223.21,2020-02-08 15:00:00
48,1581170400000,21.8336,21.9057,21.8012,21.9057,402.84,2020-02-08 14:00:00
49,1581166800000,21.9307,22.0704,21.7427,21.8971,364.76,2020-02-08 13:00:00
50,1581163200000,21.8964,22.001,21.8606,21.9163,48.36,2020-02-08 12:00:00
51,1581159600000,21.8973,21.9373,21.8404,21.86,84.25,2020-02-08 11:00:00
52,1581156000000,21.9706,22.089,21.9647,21.9881,634.25,2020-02-08 10:00:00
53,1581152400000,22.1296,22.1717,21.9152,21.9706,141.72,2020-02-08 09:00:00
