,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,24.9966,24.9966,24.9966,24.9966,4.77,2020-02-10 15:00:00
1,1581343200000,24.779,24.999,24.6652,24.999,11.59,2020-02-10 14:00:00
2,1581339600000,24.778,25.1921,24.2006,24.2006,13.12,2020-02-10 13:00:00
3,1581336000000,24.3701,24.7741,24.2707,24.7741,69.16,2020-02-10 12:00:00
4,1581332400000,24.6475,24.6475,24.1662,24.2003,198.36,2020-02-10 11:00:00
5,1581328800000,24.1895,24.5567,23.9559,24.5567,225.52,2020-02-10 10:00:00
6,1581325200000,24.5569,24.7136,24.1626,24.5035,108.42,2020-02-10 09:00:00
7,1581321600000,25.0,25.4763,24.5334,24.994,133.37,2020-02-10 08:00:00
8,1581318000000,24.5887,24.9093,24.5887,24.776,38.42,2020-02-10 07:00:00
9,1581314400000,23.486,24.8875,23.4743,24.4557,255.46,2020-02-10 06:00:00
10,1581310800000,23.6704,23.6966,22.2303,23.2408,85.3,2020-02-10 05:00:00
11,1581307200000,23.9557,23.9557,23.9557,23.9557,0.0,2020-02-10 04:00:00
12,1581303600000,23.9562,23.9739,23.2854,23.9557,93.44,2020-02-10 03:00:00
13,1581300000000,24.1056,24.1056,23.7728,23.7728,57.97,2020-02-10 02:00:00
14,1581296400000,24.2225,24.2966,24.2225,24.2966,19.71,2020-02-10 01:00:00
15,1581292800000,24.1055,24.2515,24.1055,24.2299,46.12,2020-02-10 00:00:00
16,1581289200000,23.7977,24.1609,23.6981,24.1609,18.9,2020-02-09 23:00:00
17,1581285600000,23.7841,23.8407,23.7841,23.8407,10.99,2020-02-09 22:00:00
18,1581282000000,22.4588,22.4588,22.4588,22.4588,0.0,2020-02-09 21:00:00
19,1581278400000,22.4588,22.4588,22.4588,22.4588,0.0,2020-02-09 20:00:00
20,1581274800000,24.0662,24.0662,22.4588,22.4588,14.05,2020-02-09 19:00:00
21,1581271200000,24.1545,24.1545,24.1544,24.1545,14.24,2020-02-09 18:00:00
22,1581267600000,23.1529,23.1529,23.1529,23.1529,0.0,2020-02-09 17:00:00
23,1581264000000,23.1529,23.1529,23.1529,23.1529,0.0,2020-02-09 16:00:00
24,1581260400000,23.2755,23.2755,23.1529,23.1529,4.73,2020-02-09 15:00:00
25,1581256800000,22.2301,22.2301,22.2301,22.2301,0.0,2020-02-09 14:00:00
26,1581253200000,22.2301,22.2301,22.2301,22.2301,0.0,2020-02-09 13:00:00
27,1581249600000,22.2301,22.2301,22.2301,22.2301,0.0,2020-02-09 12:00:00
28,1581246000000,22.2301,22.2301,22.2301,22.2301,24.12,2020-02-09 11:00:00
29,1581242400000,22.23,22.23,22.23,22.23,0.0,2020-02-09 10:00:00
30,1581238800000,22.23,22.23,22.23,22.23,0.0,2020-02-09 09:00:00
31,1581235200000,22.2587,22.2587,22.23,22.23,2.3,2020-02-09 08:00:00
32,1581231600000,22.9318,22.9318,22.9318,22.9318,0.0,2020-02-09 07:00:00
33,1581228000000,22.9318,22.9318,22.9318,22.9318,0.0,2020-02-09 06:00:00
34,1581224400000,22.9318,22.9318,22.9318,22.9318,0.0,2020-02-09 05:00:00
35,1581220800000,22.0,22.9318,22.0,22.9318,18.45,2020-02-09 04:00:00
36,1581217200000,22.477,23.1665,22.344,23.1665,149.38,2020-02-09 03:00:00
37,1581210000000,22.1146,22.151,22.1146,22.151,14.41,2020-02-09 01:00:00
38,1581206400000,21.9921,22.1541,21.9921,22.1541,46.84,2020-02-09 00:00:00
39,1581202800000,21.87,21.8703,21.87,21.8703,33.81,2020-02-08 23:00:00
40,1581199200000,21.7025,21.7025,21.7025,21.7025,4.41,2020-02-08 22:00:00
41,1581195600000,21.8036,21.8036,21.8036,21.8036,5.47,2020-02-08 21:00:00
42,1581192000000,21.7365,21.7365,21.7365,21.7365,0.0,2020-02-08 20:00:00
43,1581188400000,21.7365,21.7365,21.7365,21.7365,5.44,2020-02-08 19:00:00
44,1581184800000,21.5975,21.5975,21.5975,21.5975,0.0,2020-02-08 18:00:00
45,1581181200000,21.7896,21.7896,21.5975,21.5975,110.13,2020-02-08 17:00:00
46,1581177600000,21.7333,21.8188,21.7238,21.81,132.52,2020-02-08 16:00:00
47,1581174000000,21.8393,21.8393,21.808,21.808,34.36,2020-02-08 15:00:00
48,1581170400000,21.8711,21.8711,21.8711,21.8711,0.0,2020-02-08 14:00:00
49,1581166800000,22.0245,22.0245,21.86,21.8711,35.42,2020-02-08 13:00:00
50,1581163200000,21.9472,21.9472,21.9472,21.9472,15.45,2020-02-08 12:00:00
51,1581159600000,22.0071,22.0071,21.88,21.88,39.9,2020-02-08 11:00:00
52,1581156000000,22.1051,22.1051,22.1051,22.1051,0.0,2020-02-08 10:00:00
53,1581152400000,22.1051,22.1051,22.1051,22.1051,0.0,2020-02-08 09:00:00
