,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.585e-05,2.591e-05,2.585e-05,2.586e-05,6445.0,2020-02-10 15:00:00
1,1581343200000,2.579e-05,2.591e-05,2.577e-05,2.585e-05,25734.0,2020-02-10 14:00:00
2,1581339600000,2.587e-05,2.588e-05,2.574e-05,2.585e-05,13772.0,2020-02-10 13:00:00
3,1581336000000,2.576e-05,2.587e-05,2.574e-05,2.587e-05,11375.0,2020-02-10 12:00:00
4,1581332400000,2.588e-05,2.588e-05,2.575e-05,2.575e-05,8698.0,2020-02-10 11:00:00
5,1581328800000,2.575e-05,2.589e-05,2.575e-05,2.584e-05,17254.0,2020-02-10 10:00:00
6,1581325200000,2.579e-05,2.594e-05,2.575e-05,2.575e-05,41057.0,2020-02-10 09:00:00
7,1581321600000,2.592e-05,2.595e-05,2.579e-05,2.579e-05,41139.0,2020-02-10 08:00:00
8,1581318000000,2.591e-05,2.593e-05,2.578e-05,2.591e-05,27407.0,2020-02-10 07:00:00
9,1581314400000,2.607e-05,2.607e-05,2.58e-05,2.581e-05,133499.0,2020-02-10 06:00:00
10,1581310800000,2.607e-05,2.607e-05,2.597e-05,2.606e-05,34064.0,2020-02-10 05:00:00
11,1581307200000,2.606e-05,2.607e-05,2.599e-05,2.601e-05,10282.0,2020-02-10 04:00:00
12,1581303600000,2.603e-05,2.607e-05,2.596e-05,2.599e-05,34076.0,2020-02-10 03:00:00
13,1581300000000,2.598e-05,2.603e-05,2.59e-05,2.603e-05,36392.0,2020-02-10 02:00:00
14,1581296400000,2.591e-05,2.599e-05,2.591e-05,2.599e-05,30965.0,2020-02-10 01:00:00
15,1581292800000,2.592e-05,2.595e-05,2.591e-05,2.591e-05,11451.0,2020-02-10 00:00:00
16,1581289200000,2.591e-05,2.594e-05,2.591e-05,2.593e-05,12600.0,2020-02-09 23:00:00
17,1581285600000,2.583e-05,2.591e-05,2.582e-05,2.591e-05,11559.0,2020-02-09 22:00:00
18,1581282000000,2.58e-05,2.591e-05,2.58e-05,2.583e-05,7899.0,2020-02-09 21:00:00
19,1581278400000,2.59e-05,2.592e-05,2.577e-05,2.59e-05,47934.0,2020-02-09 20:00:00
20,1581274800000,2.588e-05,2.591e-05,2.587e-05,2.59e-05,29721.0,2020-02-09 19:00:00
21,1581271200000,2.58e-05,2.588e-05,2.574e-05,2.587e-05,35722.0,2020-02-09 18:00:00
22,1581267600000,2.582e-05,2.588e-05,2.576e-05,2.58e-05,28280.0,2020-02-09 17:00:00
23,1581264000000,2.584e-05,2.589e-05,2.574e-05,2.58e-05,36647.0,2020-02-09 16:00:00
24,1581260400000,2.596e-05,2.596e-05,2.575e-05,2.585e-05,68032.0,2020-02-09 15:00:00
25,1581256800000,2.597e-05,2.601e-05,2.581e-05,2.596e-05,101345.0,2020-02-09 14:00:00
26,1581253200000,2.563e-05,2.597e-05,2.563e-05,2.596e-05,230348.0,2020-02-09 13:00:00
27,1581249600000,2.536e-05,2.563e-05,2.536e-05,2.563e-05,156755.0,2020-02-09 12:00:00
28,1581246000000,2.529e-05,2.537e-05,2.521e-05,2.536e-05,40294.0,2020-02-09 11:00:00
29,1581242400000,2.517e-05,2.533e-05,2.514e-05,2.529e-05,123572.0,2020-02-09 10:00:00
30,1581238800000,2.497e-05,2.517e-05,2.495e-05,2.517e-05,18282.0,2020-02-09 09:00:00
31,1581235200000,2.512e-05,2.512e-05,2.487e-05,2.495e-05,56076.0,2020-02-09 08:00:00
32,1581231600000,2.526e-05,2.526e-05,2.512e-05,2.514e-05,17078.0,2020-02-09 07:00:00
33,1581228000000,2.517e-05,2.526e-05,2.517e-05,2.526e-05,2722.0,2020-02-09 06:00:00
34,1581224400000,2.517e-05,2.518e-05,2.511e-05,2.515e-05,12310.0,2020-02-09 05:00:00
35,1581220800000,2.547e-05,2.547e-05,2.518e-05,2.518e-05,9220.0,2020-02-09 04:00:00
36,1581217200000,2.544e-05,2.547e-05,2.536e-05,2.547e-05,19400.0,2020-02-09 03:00:00
37,1581210000000,2.531e-05,2.557e-05,2.531e-05,2.544e-05,18668.0,2020-02-09 01:00:00
38,1581206400000,2.54e-05,2.544e-05,2.527e-05,2.543e-05,4326.0,2020-02-09 00:00:00
39,1581202800000,2.551e-05,2.551e-05,2.512e-05,2.54e-05,56924.0,2020-02-08 23:00:00
40,1581199200000,2.56e-05,2.57e-05,2.546e-05,2.546e-05,27983.0,2020-02-08 22:00:00
41,1581195600000,2.585e-05,2.585e-05,2.56e-05,2.56e-05,28277.0,2020-02-08 21:00:00
42,1581192000000,2.576e-05,2.586e-05,2.575e-05,2.585e-05,13449.0,2020-02-08 20:00:00
43,1581188400000,2.583e-05,2.584e-05,2.575e-05,2.584e-05,10814.0,2020-02-08 19:00:00
44,1581184800000,2.562e-05,2.64e-05,2.558e-05,2.576e-05,84417.0,2020-02-08 18:00:00
45,1581181200000,2.579e-05,2.579e-05,2.56e-05,2.562e-05,16861.0,2020-02-08 17:00:00
46,1581177600000,2.58e-05,2.58e-05,2.574e-05,2.58e-05,11023.0,2020-02-08 16:00:00
47,1581174000000,2.58e-05,2.591e-05,2.578e-05,2.58e-05,8793.0,2020-02-08 15:00:00
48,1581170400000,2.572e-05,2.59e-05,2.572e-05,2.58e-05,6446.0,2020-02-08 14:00:00
49,1581166800000,2.567e-05,2.59e-05,2.566e-05,2.572e-05,44759.0,2020-02-08 13:00:00
50,1581163200000,2.605e-05,2.614e-05,2.567e-05,2.578e-05,135165.0,2020-02-08 12:00:00
51,1581159600000,2.613e-05,2.614e-05,2.603e-05,2.614e-05,1802.0,2020-02-08 11:00:00
52,1581156000000,2.613e-05,2.613e-05,2.601e-05,2.613e-05,28782.0,2020-02-08 10:00:00
53,1581152400000,2.612e-05,2.613e-05,2.602e-05,2.61e-05,8696.0,2020-02-08 09:00:00
54,1581148800000,2.602e-05,2.612e-05,2.601e-05,2.612e-05,27289.0,2020-02-08 08:00:00
55,1581145200000,2.61e-05,2.61e-05,2.6e-05,2.601e-05,10357.0,2020-02-08 07:00:00
56,1581141600000,2.601e-05,2.61e-05,2.601e-05,2.61e-05,12346.0,2020-02-08 06:00:00
57,1581138000000,2.597e-05,2.609e-05,2.597e-05,2.601e-05,53126.0,2020-02-08 05:00:00
58,1581134400000,2.593e-05,2.597e-05,2.583e-05,2.592e-05,4111.0,2020-02-08 04:00:00
59,1581130800000,2.588e-05,2.601e-05,2.572e-05,2.592e-05,16438.0,2020-02-08 03:00:00
60,1581127200000,2.598e-05,2.602e-05,2.588e-05,2.589e-05,26402.0,2020-02-08 02:00:00
61,1581123600000,2.631e-05,2.631e-05,2.569e-05,2.599e-05,45609.0,2020-02-08 01:00:00
62,1581120000000,2.66e-05,2.665e-05,2.617e-05,2.618e-05,63553.0,2020-02-08 00:00:00
63,1581116400000,2.689e-05,2.689e-05,2.66e-05,2.665e-05,56382.0,2020-02-07 23:00:00
64,1581112800000,2.685e-05,2.69e-05,2.678e-05,2.678e-05,9277.0,2020-02-07 22:00:00
65,1581109200000,2.669e-05,2.69e-05,2.669e-05,2.682e-05,24724.0,2020-02-07 21:00:00
66,1581105600000,2.684e-05,2.684e-05,2.667e-05,2.669e-05,18358.0,2020-02-07 20:00:00
67,1581102000000,2.665e-05,2.688e-05,2.665e-05,2.683e-05,15992.0,2020-02-07 19:00:00
68,1581098400000,2.659e-05,2.675e-05,2.657e-05,2.665e-05,19594.0,2020-02-07 18:00:00
69,1581094800000,2.631e-05,2.661e-05,2.631e-05,2.661e-05,33888.0,2020-02-07 17:00:00
70,1581091200000,2.636e-05,2.641e-05,2.615e-05,2.641e-05,38465.0,2020-02-07 16:00:00
71,1581087600000,2.628e-05,2.636e-05,2.622e-05,2.623e-05,18752.0,2020-02-07 15:00:00
72,1581084000000,2.648e-05,2.649e-05,2.612e-05,2.635e-05,39016.0,2020-02-07 14:00:00
73,1581080400000,2.692e-05,2.699e-05,2.632e-05,2.648e-05,191051.0,2020-02-07 13:00:00
74,1581076800000,2.653e-05,2.711e-05,2.653e-05,2.692e-05,244561.0,2020-02-07 12:00:00
75,1581073200000,2.636e-05,2.653e-05,2.635e-05,2.653e-05,101996.0,2020-02-07 11:00:00
76,1581069600000,2.623e-05,2.64e-05,2.606e-05,2.636e-05,84984.0,2020-02-07 10:00:00
77,1581066000000,2.614e-05,2.63e-05,2.605e-05,2.623e-05,47320.0,2020-02-07 09:00:00
78,1581062400000,2.558e-05,2.615e-05,2.556e-05,2.61e-05,91835.0,2020-02-07 08:00:00
79,1581058800000,2.57e-05,2.57e-05,2.54e-05,2.54e-05,13092.0,2020-02-07 07:00:00
80,1581055200000,2.561e-05,2.577e-05,2.561e-05,2.57e-05,4495.0,2020-02-07 06:00:00
81,1581051600000,2.563e-05,2.567e-05,2.551e-05,2.561e-05,5990.0,2020-02-07 05:00:00
82,1581048000000,2.578e-05,2.578e-05,2.542e-05,2.549e-05,25125.0,2020-02-07 04:00:00
83,1581044400000,2.574e-05,2.578e-05,2.561e-05,2.578e-05,7660.0,2020-02-07 03:00:00
84,1581040800000,2.582e-05,2.582e-05,2.563e-05,2.578e-05,6887.0,2020-02-07 02:00:00
85,1581037200000,2.582e-05,2.582e-05,2.574e-05,2.582e-05,1163.0,2020-02-07 01:00:00
86,1581033600000,2.582e-05,2.586e-05,2.57e-05,2.57e-05,8608.0,2020-02-07 00:00:00
87,1581030000000,2.584e-05,2.586e-05,2.572e-05,2.584e-05,4711.0,2020-02-06 23:00:00
88,1581026400000,2.569e-05,2.587e-05,2.568e-05,2.572e-05,16037.0,2020-02-06 22:00:00
89,1581022800000,2.55e-05,2.58e-05,2.548e-05,2.568e-05,55127.0,2020-02-06 21:00:00
90,1581019200000,2.541e-05,2.561e-05,2.541e-05,2.56e-05,29216.0,2020-02-06 20:00:00
91,1581015600000,2.549e-05,2.553e-05,2.525e-05,2.533e-05,53837.0,2020-02-06 19:00:00
92,1581012000000,2.536e-05,2.55e-05,2.534e-05,2.55e-05,13512.0,2020-02-06 18:00:00
93,1581008400000,2.519e-05,2.547e-05,2.519e-05,2.535e-05,51741.0,2020-02-06 17:00:00
94,1581004800000,2.488e-05,2.522e-05,2.488e-05,2.519e-05,22353.0,2020-02-06 16:00:00
95,1581001200000,2.485e-05,2.497e-05,2.475e-05,2.487e-05,34558.0,2020-02-06 15:00:00
96,1580997600000,2.478e-05,2.487e-05,2.47e-05,2.485e-05,15068.0,2020-02-06 14:00:00
97,1580994000000,2.493e-05,2.493e-05,2.471e-05,2.478e-05,23143.0,2020-02-06 13:00:00
98,1580990400000,2.55e-05,2.55e-05,2.442e-05,2.49e-05,114487.0,2020-02-06 12:00:00
99,1580986800000,2.545e-05,2.56e-05,2.537e-05,2.55e-05,21337.0,2020-02-06 11:00:00
100,1580983200000,2.525e-05,2.559e-05,2.525e-05,2.545e-05,21450.0,2020-02-06 10:00:00
101,1580979600000,2.532e-05,2.54e-05,2.512e-05,2.517e-05,31527.0,2020-02-06 09:00:00
102,1580976000000,2.504e-05,2.532e-05,2.504e-05,2.532e-05,21685.0,2020-02-06 08:00:00
103,1580972400000,2.494e-05,2.52e-05,2.472e-05,2.505e-05,43321.0,2020-02-06 07:00:00
104,1580968800000,2.5e-05,2.504e-05,2.483e-05,2.494e-05,15379.0,2020-02-06 06:00:00
105,1580965200000,2.503e-05,2.514e-05,2.488e-05,2.501e-05,20543.0,2020-02-06 05:00:00
106,1580961600000,2.505e-05,2.513e-05,2.5e-05,2.503e-05,4716.0,2020-02-06 04:00:00
107,1580958000000,2.486e-05,2.52e-05,2.485e-05,2.505e-05,22845.0,2020-02-06 03:00:00
108,1580954400000,2.493e-05,2.498e-05,2.483e-05,2.498e-05,9959.0,2020-02-06 02:00:00
109,1580950800000,2.472e-05,2.493e-05,2.472e-05,2.492e-05,21947.0,2020-02-06 01:00:00
110,1580947200000,2.465e-05,2.48e-05,2.465e-05,2.48e-05,5879.0,2020-02-06 00:00:00
111,1580943600000,2.466e-05,2.469e-05,2.453e-05,2.465e-05,10890.0,2020-02-05 23:00:00
112,1580940000000,2.465e-05,2.467e-05,2.449e-05,2.467e-05,27812.0,2020-02-05 22:00:00
113,1580936400000,2.456e-05,2.466e-05,2.45e-05,2.465e-05,14791.0,2020-02-05 21:00:00
114,1580932800000,2.467e-05,2.467e-05,2.454e-05,2.457e-05,15585.0,2020-02-05 20:00:00
115,1580929200000,2.48e-05,2.487e-05,2.467e-05,2.467e-05,14638.0,2020-02-05 19:00:00
116,1580925600000,2.528e-05,2.531e-05,2.474e-05,2.48e-05,58168.0,2020-02-05 18:00:00
117,1580922000000,2.54e-05,2.542e-05,2.518e-05,2.518e-05,18015.0,2020-02-05 17:00:00
118,1580918400000,2.561e-05,2.566e-05,2.54e-05,2.54e-05,54079.0,2020-02-05 16:00:00
119,1580914800000,2.561e-05,2.574e-05,2.555e-05,2.561e-05,32826.0,2020-02-05 15:00:00
120,1580911200000,2.541e-05,2.576e-05,2.529e-05,2.562e-05,45973.0,2020-02-05 14:00:00
121,1580907600000,2.515e-05,2.545e-05,2.511e-05,2.541e-05,20071.0,2020-02-05 13:00:00
122,1580904000000,2.522e-05,2.525e-05,2.506e-05,2.509e-05,30444.0,2020-02-05 12:00:00
123,1580900400000,2.566e-05,2.568e-05,2.501e-05,2.522e-05,139409.0,2020-02-05 11:00:00
124,1580896800000,2.65e-05,2.664e-05,2.545e-05,2.566e-05,125236.0,2020-02-05 10:00:00
125,1580893200000,2.643e-05,2.662e-05,2.643e-05,2.65e-05,4496.0,2020-02-05 09:00:00
126,1580889600000,2.655e-05,2.672e-05,2.642e-05,2.643e-05,36074.0,2020-02-05 08:00:00
127,1580886000000,2.659e-05,2.669e-05,2.655e-05,2.655e-05,6042.0,2020-02-05 07:00:00
128,1580882400000,2.676e-05,2.676e-05,2.659e-05,2.668e-05,12116.0,2020-02-05 06:00:00
129,1580878800000,2.665e-05,2.69e-05,2.662e-05,2.676e-05,36681.0,2020-02-05 05:00:00
130,1580875200000,2.683e-05,2.683e-05,2.665e-05,2.665e-05,7024.0,2020-02-05 04:00:00
131,1580871600000,2.674e-05,2.683e-05,2.671e-05,2.683e-05,21314.0,2020-02-05 03:00:00
132,1580868000000,2.663e-05,2.688e-05,2.663e-05,2.676e-05,20134.0,2020-02-05 02:00:00
133,1580864400000,2.666e-05,2.678e-05,2.65e-05,2.663e-05,40412.0,2020-02-05 01:00:00
134,1580860800000,2.672e-05,2.68e-05,2.665e-05,2.667e-05,26507.0,2020-02-05 00:00:00
135,1580857200000,2.668e-05,2.678e-05,2.661e-05,2.672e-05,14046.0,2020-02-04 23:00:00
136,1580853600000,2.667e-05,2.674e-05,2.663e-05,2.671e-05,2401.0,2020-02-04 22:00:00
137,1580850000000,2.666e-05,2.674e-05,2.663e-05,2.667e-05,4196.0,2020-02-04 21:00:00
138,1580846400000,2.65e-05,2.666e-05,2.65e-05,2.663e-05,10681.0,2020-02-04 20:00:00
139,1580842800000,2.65e-05,2.663e-05,2.643e-05,2.662e-05,10283.0,2020-02-04 19:00:00
140,1580839200000,2.655e-05,2.66e-05,2.642e-05,2.65e-05,8861.0,2020-02-04 18:00:00
141,1580835600000,2.633e-05,2.655e-05,2.633e-05,2.65e-05,24637.0,2020-02-04 17:00:00
142,1580832000000,2.634e-05,2.643e-05,2.625e-05,2.643e-05,14835.0,2020-02-04 16:00:00
143,1580828400000,2.644e-05,2.648e-05,2.625e-05,2.625e-05,11976.0,2020-02-04 15:00:00
144,1580824800000,2.607e-05,2.65e-05,2.605e-05,2.635e-05,40300.0,2020-02-04 14:00:00
145,1580821200000,2.61e-05,2.615e-05,2.588e-05,2.606e-05,47907.0,2020-02-04 13:00:00
146,1580817600000,2.653e-05,2.67e-05,2.603e-05,2.61e-05,64618.0,2020-02-04 12:00:00
147,1580814000000,2.666e-05,2.679e-05,2.65e-05,2.666e-05,46614.0,2020-02-04 11:00:00
148,1580810400000,2.641e-05,2.674e-05,2.588e-05,2.656e-05,307345.0,2020-02-04 10:00:00
149,1580806800000,2.639e-05,2.655e-05,2.624e-05,2.642e-05,86487.0,2020-02-04 09:00:00
150,1580803200000,2.607e-05,2.642e-05,2.602e-05,2.64e-05,100812.0,2020-02-04 08:00:00
151,1580799600000,2.593e-05,2.609e-05,2.589e-05,2.595e-05,54469.0,2020-02-04 07:00:00
152,1580796000000,2.566e-05,2.597e-05,2.555e-05,2.593e-05,36403.0,2020-02-04 06:00:00
153,1580792400000,2.57e-05,2.573e-05,2.559e-05,2.56e-05,7623.0,2020-02-04 05:00:00
154,1580788800000,2.556e-05,2.58e-05,2.54e-05,2.573e-05,39256.0,2020-02-04 04:00:00
155,1580785200000,2.577e-05,2.581e-05,2.557e-05,2.557e-05,13424.0,2020-02-04 03:00:00
156,1580781600000,2.58e-05,2.59e-05,2.57e-05,2.57e-05,11518.0,2020-02-04 02:00:00
157,1580778000000,2.583e-05,2.59e-05,2.57e-05,2.589e-05,15573.0,2020-02-04 01:00:00
158,1580774400000,2.575e-05,2.583e-05,2.566e-05,2.583e-05,10322.0,2020-02-04 00:00:00
159,1580770800000,2.572e-05,2.579e-05,2.562e-05,2.563e-05,9924.0,2020-02-03 23:00:00
160,1580767200000,2.578e-05,2.579e-05,2.565e-05,2.565e-05,4110.0,2020-02-03 22:00:00
161,1580763600000,2.577e-05,2.58e-05,2.566e-05,2.58e-05,20106.0,2020-02-03 21:00:00
162,1580760000000,2.567e-05,2.58e-05,2.559e-05,2.577e-05,21326.0,2020-02-03 20:00:00
163,1580756400000,2.553e-05,2.568e-05,2.552e-05,2.567e-05,6006.0,2020-02-03 19:00:00
164,1580752800000,2.566e-05,2.57e-05,2.544e-05,2.552e-05,34524.0,2020-02-03 18:00:00
165,1580749200000,2.544e-05,2.568e-05,2.544e-05,2.568e-05,45340.0,2020-02-03 17:00:00
166,1580745600000,2.543e-05,2.56e-05,2.534e-05,2.544e-05,49070.0,2020-02-03 16:00:00
167,1580742000000,2.51e-05,2.543e-05,2.503e-05,2.543e-05,38583.0,2020-02-03 15:00:00
168,1580738400000,2.526e-05,2.54e-05,2.507e-05,2.507e-05,53732.0,2020-02-03 14:00:00
169,1580734800000,2.476e-05,2.54e-05,2.476e-05,2.524e-05,103713.0,2020-02-03 13:00:00
170,1580731200000,2.48e-05,2.487e-05,2.463e-05,2.471e-05,8811.0,2020-02-03 12:00:00
171,1580727600000,2.486e-05,2.487e-05,2.477e-05,2.48e-05,3750.0,2020-02-03 11:00:00
172,1580724000000,2.482e-05,2.486e-05,2.474e-05,2.486e-05,4369.0,2020-02-03 10:00:00
173,1580720400000,2.488e-05,2.489e-05,2.477e-05,2.482e-05,3549.0,2020-02-03 09:00:00
174,1580716800000,2.474e-05,2.489e-05,2.462e-05,2.486e-05,20180.0,2020-02-03 08:00:00
175,1580713200000,2.482e-05,2.488e-05,2.462e-05,2.474e-05,9684.0,2020-02-03 07:00:00
176,1580709600000,2.476e-05,2.476e-05,2.476e-05,2.476e-05,918.0,2020-02-03 06:00:00
177,1580706000000,2.477e-05,2.477e-05,2.477e-05,2.477e-05,177.0,2020-02-03 05:00:00
178,1580702400000,2.488e-05,2.489e-05,2.477e-05,2.477e-05,177.0,2020-02-03 04:00:00
179,1580698800000,2.466e-05,2.489e-05,2.465e-05,2.489e-05,10722.0,2020-02-03 03:00:00
180,1580695200000,2.469e-05,2.48e-05,2.46e-05,2.467e-05,3812.0,2020-02-03 02:00:00
181,1580691600000,2.475e-05,2.487e-05,2.461e-05,2.463e-05,9621.0,2020-02-03 01:00:00
182,1580688000000,2.473e-05,2.486e-05,2.473e-05,2.486e-05,1290.0,2020-02-03 00:00:00
183,1580684400000,2.474e-05,2.485e-05,2.473e-05,2.473e-05,2459.0,2020-02-02 23:00:00
184,1580680800000,2.474e-05,2.486e-05,2.473e-05,2.485e-05,5984.0,2020-02-02 22:00:00
185,1580677200000,2.489e-05,2.489e-05,2.473e-05,2.473e-05,6031.0,2020-02-02 21:00:00
186,1580673600000,2.482e-05,2.482e-05,2.479e-05,2.48e-05,4296.0,2020-02-02 20:00:00
187,1580670000000,2.486e-05,2.492e-05,2.483e-05,2.492e-05,7076.0,2020-02-02 19:00:00
188,1580666400000,2.493e-05,2.495e-05,2.482e-05,2.495e-05,11310.0,2020-02-02 18:00:00
189,1580662800000,2.481e-05,2.495e-05,2.481e-05,2.481e-05,9228.0,2020-02-02 17:00:00
190,1580659200000,2.489e-05,2.489e-05,2.48e-05,2.481e-05,980.0,2020-02-02 16:00:00
191,1580655600000,2.491e-05,2.491e-05,2.479e-05,2.489e-05,11038.0,2020-02-02 15:00:00
192,1580652000000,2.49e-05,2.491e-05,2.48e-05,2.483e-05,6306.0,2020-02-02 14:00:00
193,1580648400000,2.48e-05,2.493e-05,2.48e-05,2.492e-05,11591.0,2020-02-02 13:00:00
194,1580644800000,2.494e-05,2.494e-05,2.47e-05,2.48e-05,34922.0,2020-02-02 12:00:00
195,1580641200000,2.491e-05,2.5e-05,2.488e-05,2.5e-05,3686.0,2020-02-02 11:00:00
196,1580637600000,2.511e-05,2.52e-05,2.488e-05,2.491e-05,28130.0,2020-02-02 10:00:00
197,1580634000000,2.511e-05,2.52e-05,2.506e-05,2.507e-05,2206.0,2020-02-02 09:00:00
198,1580630400000,2.501e-05,2.52e-05,2.501e-05,2.52e-05,24848.0,2020-02-02 08:00:00
199,1580626800000,2.493e-05,2.51e-05,2.486e-05,2.499e-05,32076.0,2020-02-02 07:00:00
200,1580623200000,2.491e-05,2.495e-05,2.482e-05,2.493e-05,6864.0,2020-02-02 06:00:00
201,1580619600000,2.488e-05,2.489e-05,2.483e-05,2.489e-05,3450.0,2020-02-02 05:00:00
202,1580616000000,2.494e-05,2.496e-05,2.481e-05,2.481e-05,7343.0,2020-02-02 04:00:00
203,1580612400000,2.483e-05,2.494e-05,2.481e-05,2.482e-05,2782.0,2020-02-02 03:00:00
204,1580608800000,2.48e-05,2.497e-05,2.479e-05,2.482e-05,5958.0,2020-02-02 02:00:00
205,1580605200000,2.482e-05,2.487e-05,2.48e-05,2.48e-05,269.0,2020-02-02 01:00:00
206,1580601600000,2.477e-05,2.492e-05,2.476e-05,2.492e-05,3483.0,2020-02-02 00:00:00
