,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0011441,0.0011441,0.0011441,0.0011441,214.0,2020-02-10 15:00:00
1,1581343200000,0.001152,0.001152,0.0011441,0.0011441,1635.0,2020-02-10 14:00:00
2,1581339600000,0.0011549,0.0011549,0.0011534,0.0011534,340.0,2020-02-10 13:00:00
3,1581336000000,0.0011625,0.0011649,0.0011549,0.0011549,473.0,2020-02-10 12:00:00
4,1581332400000,0.0011567,0.0011632,0.0011549,0.0011625,607.0,2020-02-10 11:00:00
5,1581328800000,0.0011625,0.0011649,0.0011625,0.0011649,66.0,2020-02-10 10:00:00
6,1581325200000,0.0011606,0.0011683,0.0011549,0.0011549,2886.0,2020-02-10 09:00:00
7,1581321600000,0.0011578,0.0011607,0.0011523,0.0011607,755.0,2020-02-10 08:00:00
8,1581318000000,0.001152,0.001152,0.001152,0.001152,533.0,2020-02-10 07:00:00
9,1581314400000,0.0011567,0.0011578,0.0011486,0.0011578,2653.0,2020-02-10 06:00:00
10,1581310800000,0.0011662,0.0011662,0.0011591,0.0011591,1935.0,2020-02-10 05:00:00
11,1581307200000,0.0011665,0.0011739,0.0011665,0.0011739,1652.0,2020-02-10 04:00:00
12,1581303600000,0.0011647,0.0011665,0.0011647,0.0011665,332.0,2020-02-10 03:00:00
13,1581300000000,0.0011607,0.0011625,0.0011607,0.0011625,535.0,2020-02-10 02:00:00
14,1581296400000,0.0011521,0.0011521,0.0011521,0.0011521,101.0,2020-02-10 01:00:00
15,1581292800000,0.0011551,0.0011578,0.0011551,0.0011578,963.0,2020-02-10 00:00:00
16,1581289200000,0.0011547,0.0011547,0.0011504,0.0011504,17.0,2020-02-09 23:00:00
17,1581285600000,0.001152,0.0011562,0.0011501,0.0011552,1027.0,2020-02-09 22:00:00
18,1581282000000,0.0011578,0.0011578,0.0011578,0.0011578,533.0,2020-02-09 21:00:00
19,1581278400000,0.0011498,0.0011559,0.0011498,0.0011559,427.0,2020-02-09 20:00:00
20,1581274800000,0.0011543,0.0011544,0.0011486,0.0011486,447.0,2020-02-09 19:00:00
21,1581271200000,0.0011498,0.0011526,0.0011444,0.0011526,3366.0,2020-02-09 18:00:00
22,1581267600000,0.0011441,0.0011498,0.0011415,0.0011498,716.0,2020-02-09 17:00:00
23,1581264000000,0.0011468,0.0011521,0.0011441,0.0011441,989.0,2020-02-09 16:00:00
24,1581260400000,0.0011521,0.0011613,0.0011442,0.0011486,3253.0,2020-02-09 15:00:00
25,1581256800000,0.0011544,0.0011647,0.001145,0.001159,5471.0,2020-02-09 14:00:00
26,1581253200000,0.0011352,0.0011526,0.0011352,0.0011526,3077.0,2020-02-09 13:00:00
27,1581249600000,0.0011241,0.0011338,0.0011241,0.0011338,978.0,2020-02-09 12:00:00
28,1581246000000,0.0011191,0.0011232,0.0011191,0.0011232,1136.0,2020-02-09 11:00:00
29,1581242400000,0.0011134,0.0011191,0.0011134,0.0011191,596.0,2020-02-09 10:00:00
30,1581238800000,0.0011041,0.0011114,0.0011041,0.0011114,1765.0,2020-02-09 09:00:00
31,1581235200000,0.0011078,0.0011078,0.0010967,0.0011041,2640.0,2020-02-09 08:00:00
32,1581231600000,0.0011124,0.0011124,0.0011078,0.0011078,1051.0,2020-02-09 07:00:00
33,1581228000000,0.0011135,0.0011135,0.0011135,0.0011135,531.0,2020-02-09 06:00:00
34,1581224400000,0.0011136,0.0011136,0.0011135,0.0011135,250.0,2020-02-09 05:00:00
35,1581220800000,0.0011217,0.0011219,0.0011163,0.0011163,960.0,2020-02-09 04:00:00
36,1581217200000,0.0011143,0.0011191,0.0011115,0.0011191,1312.0,2020-02-09 03:00:00
37,1581210000000,0.0011139,0.0011139,0.0011135,0.0011135,164.0,2020-02-09 01:00:00
38,1581206400000,0.001126,0.001126,0.0011163,0.0011163,1352.0,2020-02-09 00:00:00
39,1581202800000,0.0011254,0.0011311,0.0011184,0.0011223,1442.0,2020-02-08 23:00:00
40,1581199200000,0.0011391,0.0011391,0.001128,0.001128,1466.0,2020-02-08 22:00:00
41,1581195600000,0.0011422,0.0011448,0.0011422,0.0011448,916.0,2020-02-08 21:00:00
42,1581192000000,0.0011367,0.0011396,0.0011367,0.0011396,475.0,2020-02-08 20:00:00
43,1581188400000,0.0011339,0.0011339,0.001131,0.001131,475.0,2020-02-08 19:00:00
44,1581184800000,0.0011254,0.0011494,0.0011248,0.001134,7716.0,2020-02-08 18:00:00
45,1581181200000,0.0011337,0.0011337,0.001128,0.001128,194.0,2020-02-08 17:00:00
46,1581177600000,0.001131,0.0011337,0.001128,0.001129,3089.0,2020-02-08 16:00:00
47,1581174000000,0.0011232,0.0011275,0.0011204,0.0011275,1635.0,2020-02-08 15:00:00
48,1581170400000,0.001119,0.0011219,0.001119,0.0011219,483.0,2020-02-08 14:00:00
49,1581166800000,0.0011163,0.0011232,0.0011135,0.0011135,1144.0,2020-02-08 13:00:00
50,1581163200000,0.001128,0.001128,0.0011163,0.0011163,3464.0,2020-02-08 12:00:00
51,1581159600000,0.00113,0.0011367,0.00113,0.001131,358.0,2020-02-08 11:00:00
52,1581156000000,0.0011371,0.0011371,0.0011282,0.0011338,1235.0,2020-02-08 10:00:00
53,1581152400000,0.0011395,0.0011428,0.001131,0.0011396,866.0,2020-02-08 09:00:00
54,1581148800000,0.00115,0.00115,0.0011339,0.0011339,2796.0,2020-02-08 08:00:00
55,1581145200000,0.0011501,0.0011558,0.0011501,0.0011558,532.0,2020-02-08 07:00:00
56,1581141600000,0.0011586,0.0011586,0.0011586,0.0011586,94.0,2020-02-08 06:00:00
57,1581138000000,0.0011556,0.0011586,0.001151,0.001151,328.0,2020-02-08 05:00:00
58,1581134400000,0.0011529,0.001154,0.0011498,0.0011498,460.0,2020-02-08 04:00:00
59,1581130800000,0.0011624,0.0011682,0.0011562,0.001162,2389.0,2020-02-08 03:00:00
60,1581127200000,0.0011522,0.0011682,0.0011522,0.0011682,1378.0,2020-02-08 02:00:00
61,1581123600000,0.0011528,0.0011528,0.0011405,0.0011464,3366.0,2020-02-08 01:00:00
62,1581120000000,0.0011742,0.0011742,0.0011562,0.001162,3248.0,2020-02-08 00:00:00
63,1581116400000,0.0011835,0.0011835,0.0011687,0.0011687,3412.0,2020-02-07 23:00:00
64,1581112800000,0.0011859,0.0011859,0.0011855,0.0011855,606.0,2020-02-07 22:00:00
65,1581109200000,0.0011867,0.0011941,0.0011867,0.0011941,1776.0,2020-02-07 21:00:00
66,1581105600000,0.0011808,0.0011845,0.0011786,0.0011845,254.0,2020-02-07 20:00:00
67,1581102000000,0.0011845,0.0011876,0.0011821,0.0011821,593.0,2020-02-07 19:00:00
68,1581098400000,0.0011813,0.0011813,0.0011742,0.0011813,376.0,2020-02-07 18:00:00
69,1581094800000,0.0011682,0.0011813,0.0011682,0.0011813,1943.0,2020-02-07 17:00:00
70,1581091200000,0.001159,0.0011648,0.0011562,0.0011648,1657.0,2020-02-07 16:00:00
71,1581087600000,0.001162,0.0011682,0.001162,0.0011682,776.0,2020-02-07 15:00:00
72,1581084000000,0.0011687,0.0011687,0.0011522,0.0011551,3432.0,2020-02-07 14:00:00
73,1581080400000,0.0011993,0.0011993,0.0011684,0.0011765,9524.0,2020-02-07 13:00:00
74,1581076800000,0.001178,0.0012095,0.001178,0.0012007,8974.0,2020-02-07 12:00:00
75,1581073200000,0.0011682,0.001178,0.0011682,0.001178,2403.0,2020-02-07 11:00:00
76,1581069600000,0.0011687,0.0011687,0.0011528,0.0011648,3367.0,2020-02-07 10:00:00
77,1581066000000,0.0011746,0.0011746,0.0011746,0.0011746,303.0,2020-02-07 09:00:00
78,1581062400000,0.001153,0.0011725,0.0011489,0.0011725,3296.0,2020-02-07 08:00:00
79,1581058800000,0.0011552,0.0011552,0.001147,0.001147,28.0,2020-02-07 07:00:00
80,1581055200000,0.0011547,0.0011556,0.0011547,0.0011556,201.0,2020-02-07 06:00:00
81,1581051600000,0.0011433,0.0011433,0.0011433,0.0011433,0.0,2020-02-07 05:00:00
82,1581048000000,0.0011498,0.0011498,0.0011433,0.0011433,1148.0,2020-02-07 04:00:00
83,1581044400000,0.0011434,0.0011586,0.0011434,0.0011586,1144.0,2020-02-07 03:00:00
84,1581040800000,0.0011528,0.0011528,0.0011435,0.0011522,1765.0,2020-02-07 02:00:00
