,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,9900.31,9917.47,9900.31,9900.31,0.057656,2020-02-10 15:00:00
1,1581343200000,9844.47,9858.67,9836.2,9858.67,0.207472,2020-02-10 14:00:00
2,1581339600000,9819.97,9837.26,9819.97,9837.26,0.065833,2020-02-10 13:00:00
3,1581336000000,9813.14,9817.39,9813.14,9817.39,0.006261,2020-02-10 12:00:00
4,1581332400000,9837.56,9837.56,9775.26,9777.34,0.772255,2020-02-10 11:00:00
5,1581328800000,9839.85,9853.85,9827.22,9827.22,0.227741,2020-02-10 10:00:00
6,1581325200000,9893.74,9893.74,9799.62,9826.96,0.180312,2020-02-10 09:00:00
7,1581321600000,9958.69,9958.69,9879.39,9888.07,0.120323,2020-02-10 08:00:00
8,1581318000000,9958.67,9984.17,9958.67,9968.7,0.0566,2020-02-10 07:00:00
9,1581314400000,9843.3,10021.38,9843.3,10021.38,0.138627,2020-02-10 06:00:00
10,1581310800000,10051.17,10064.72,9410.33,9811.59,3.688258,2020-02-10 05:00:00
11,1581307200000,10079.03,10079.03,10047.98,10047.98,0.03635,2020-02-10 04:00:00
12,1581303600000,10102.35,10102.35,10065.19,10065.19,0.261318,2020-02-10 03:00:00
13,1581300000000,10112.98,10139.99,10087.81,10126.71,0.489746,2020-02-10 02:00:00
14,1581296400000,10171.92,10171.92,10090.75,10146.09,0.069943,2020-02-10 01:00:00
15,1581292800000,10169.23,10186.03,10154.1,10171.92,0.060533,2020-02-10 00:00:00
16,1581289200000,10136.23,10158.59,10120.15,10145.15,0.049927,2020-02-09 23:00:00
17,1581285600000,10084.02,10106.54,10084.02,10106.54,0.14012,2020-02-09 22:00:00
18,1581282000000,10047.0,10102.13,10047.0,10064.29,0.358932,2020-02-09 21:00:00
19,1581278400000,10053.71,10056.67,10039.97,10047.0,0.062466,2020-02-09 20:00:00
20,1581274800000,10070.97,10070.98,10070.97,10070.98,0.007097,2020-02-09 19:00:00
21,1581271200000,10065.08,10065.08,10054.44,10055.0,0.024092,2020-02-09 18:00:00
22,1581267600000,10099.39,10099.39,10074.9,10077.88,0.021802,2020-02-09 17:00:00
23,1581264000000,10069.53,10092.22,10069.53,10092.22,0.017421,2020-02-09 16:00:00
