,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.49e-06,3.55e-06,3.48e-06,3.52e-06,615029.0,2020-02-10 15:00:00
1,1581343200000,3.46e-06,3.5e-06,3.43e-06,3.48e-06,649009.0,2020-02-10 14:00:00
2,1581339600000,3.43e-06,3.46e-06,3.43e-06,3.46e-06,111132.0,2020-02-10 13:00:00
3,1581336000000,3.43e-06,3.45e-06,3.41e-06,3.42e-06,206711.0,2020-02-10 12:00:00
4,1581332400000,3.44e-06,3.45e-06,3.4e-06,3.43e-06,488979.0,2020-02-10 11:00:00
5,1581328800000,3.4e-06,3.44e-06,3.38e-06,3.44e-06,475446.0,2020-02-10 10:00:00
6,1581325200000,3.44e-06,3.45e-06,3.35e-06,3.4e-06,881051.0,2020-02-10 09:00:00
7,1581321600000,3.46e-06,3.48e-06,3.42e-06,3.43e-06,544801.0,2020-02-10 08:00:00
8,1581318000000,3.43e-06,3.48e-06,3.41e-06,3.47e-06,1110342.0,2020-02-10 07:00:00
9,1581314400000,3.43e-06,3.48e-06,3.41e-06,3.43e-06,767968.0,2020-02-10 06:00:00
10,1581310800000,3.47e-06,3.49e-06,3.42e-06,3.43e-06,1409252.0,2020-02-10 05:00:00
11,1581307200000,3.54e-06,3.55e-06,3.4e-06,3.46e-06,2026161.0,2020-02-10 04:00:00
12,1581303600000,3.62e-06,3.62e-06,3.51e-06,3.54e-06,707503.0,2020-02-10 03:00:00
13,1581300000000,3.59e-06,3.62e-06,3.57e-06,3.6e-06,334206.0,2020-02-10 02:00:00
14,1581296400000,3.63e-06,3.64e-06,3.58e-06,3.59e-06,564651.0,2020-02-10 01:00:00
15,1581292800000,3.59e-06,3.68e-06,3.57e-06,3.62e-06,1101702.0,2020-02-10 00:00:00
16,1581289200000,3.57e-06,3.59e-06,3.55e-06,3.57e-06,1206150.0,2020-02-09 23:00:00
17,1581285600000,3.65e-06,3.67e-06,3.53e-06,3.57e-06,2074260.0,2020-02-09 22:00:00
18,1581282000000,3.64e-06,3.7e-06,3.63e-06,3.67e-06,1423505.0,2020-02-09 21:00:00
19,1581278400000,3.52e-06,3.65e-06,3.52e-06,3.64e-06,1568305.0,2020-02-09 20:00:00
20,1581274800000,3.51e-06,3.54e-06,3.48e-06,3.52e-06,568263.0,2020-02-09 19:00:00
21,1581271200000,3.54e-06,3.54e-06,3.5e-06,3.51e-06,905367.0,2020-02-09 18:00:00
22,1581267600000,3.54e-06,3.78e-06,3.5e-06,3.54e-06,5980054.0,2020-02-09 17:00:00
23,1581264000000,3.41e-06,3.56e-06,3.4e-06,3.56e-06,1353810.0,2020-02-09 16:00:00
24,1581260400000,3.43e-06,3.45e-06,3.37e-06,3.41e-06,931073.0,2020-02-09 15:00:00
25,1581256800000,3.47e-06,3.49e-06,3.42e-06,3.44e-06,684217.0,2020-02-09 14:00:00
26,1581253200000,3.45e-06,3.48e-06,3.39e-06,3.47e-06,1411291.0,2020-02-09 13:00:00
27,1581249600000,3.55e-06,3.55e-06,3.43e-06,3.43e-06,2671992.0,2020-02-09 12:00:00
28,1581246000000,3.43e-06,3.57e-06,3.39e-06,3.57e-06,3160606.0,2020-02-09 11:00:00
29,1581242400000,3.45e-06,3.48e-06,3.38e-06,3.42e-06,1346457.0,2020-02-09 10:00:00
30,1581238800000,3.5e-06,3.52e-06,3.43e-06,3.47e-06,1654680.0,2020-02-09 09:00:00
31,1581235200000,3.46e-06,3.57e-06,3.39e-06,3.5e-06,1931537.0,2020-02-09 08:00:00
32,1581231600000,3.42e-06,3.6e-06,3.35e-06,3.46e-06,9084594.0,2020-02-09 07:00:00
33,1581228000000,3.26e-06,3.49e-06,3.23e-06,3.42e-06,6985017.0,2020-02-09 06:00:00
34,1581224400000,3.22e-06,3.26e-06,3.21e-06,3.26e-06,415494.0,2020-02-09 05:00:00
35,1581220800000,3.22e-06,3.27e-06,3.17e-06,3.23e-06,1118883.0,2020-02-09 04:00:00
36,1581217200000,3.23e-06,3.24e-06,3.19e-06,3.21e-06,372094.0,2020-02-09 03:00:00
37,1581210000000,3.23e-06,3.26e-06,3.22e-06,3.26e-06,207270.0,2020-02-09 01:00:00
38,1581206400000,3.17e-06,3.25e-06,3.14e-06,3.23e-06,822470.0,2020-02-09 00:00:00
39,1581202800000,3.15e-06,3.17e-06,3.11e-06,3.16e-06,688258.0,2020-02-08 23:00:00
40,1581199200000,3.17e-06,3.21e-06,3.11e-06,3.15e-06,1319933.0,2020-02-08 22:00:00
