,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.0003,1.0007,1.0002,1.0003,1208235.19,2020-02-10 15:00:00
1,1581343200000,1.0003,1.0005,1.0,1.0002,1039668.99,2020-02-10 14:00:00
2,1581339600000,1.0007,1.0007,1.0,1.0002,1518472.68,2020-02-10 13:00:00
3,1581336000000,1.001,1.0015,1.0005,1.0007,1931860.55,2020-02-10 12:00:00
4,1581332400000,1.0005,1.001,1.0005,1.001,1580004.78,2020-02-10 11:00:00
5,1581328800000,1.0006,1.001,1.0004,1.0006,1582866.29,2020-02-10 10:00:00
6,1581325200000,0.9986,1.0007,0.9981,1.0006,2230321.49,2020-02-10 09:00:00
7,1581321600000,0.9993,0.9995,0.9985,0.9986,1731961.79,2020-02-10 08:00:00
8,1581318000000,0.9997,1.0,0.9989,0.9993,1916385.39,2020-02-10 07:00:00
9,1581314400000,1.0001,1.0005,0.9995,0.9996,2000730.53,2020-02-10 06:00:00
10,1581310800000,1.0,1.0006,0.9999,1.0001,1665855.33,2020-02-10 05:00:00
11,1581307200000,0.9999,1.0002,0.9997,1.0,878940.23,2020-02-10 04:00:00
12,1581303600000,0.9999,1.0001,0.9999,0.9999,572045.55,2020-02-10 03:00:00
13,1581300000000,0.9992,1.0,0.9991,1.0,736704.38,2020-02-10 02:00:00
14,1581296400000,0.9991,0.9996,0.9991,0.9993,755992.32,2020-02-10 01:00:00
15,1581292800000,0.9989,0.9994,0.9988,0.9991,1384017.08,2020-02-10 00:00:00
16,1581289200000,0.9999,1.0,0.9989,0.9989,932721.66,2020-02-09 23:00:00
17,1581285600000,1.0001,1.0002,0.9999,0.9999,340436.7,2020-02-09 22:00:00
18,1581282000000,1.0001,1.0004,0.9999,1.0,589076.1,2020-02-09 21:00:00
19,1581278400000,1.0,1.0002,0.9997,1.0001,525657.44,2020-02-09 20:00:00
20,1581274800000,0.9997,1.0001,0.9996,0.9999,375770.08,2020-02-09 19:00:00
21,1581271200000,0.9995,0.9997,0.9994,0.9997,414213.62,2020-02-09 18:00:00
22,1581267600000,0.9997,0.9998,0.9995,0.9995,723965.78,2020-02-09 17:00:00
23,1581264000000,0.9997,0.9999,0.9993,0.9998,1227380.72,2020-02-09 16:00:00
24,1581260400000,0.9995,0.9998,0.9991,0.9997,1064733.83,2020-02-09 15:00:00
25,1581256800000,0.9997,0.9998,0.999,0.9994,831020.25,2020-02-09 14:00:00
26,1581253200000,0.9997,1.0002,0.9996,0.9997,1043918.24,2020-02-09 13:00:00
27,1581249600000,0.9998,1.0003,0.9997,0.9997,756593.25,2020-02-09 12:00:00
28,1581246000000,0.9999,1.0,0.9997,0.9998,572955.79,2020-02-09 11:00:00
29,1581242400000,0.9999,1.0,0.9998,0.9999,505467.51,2020-02-09 10:00:00
30,1581238800000,0.9998,1.0,0.9997,0.9999,979024.68,2020-02-09 09:00:00
31,1581235200000,0.9992,0.9998,0.9991,0.9998,1002108.6,2020-02-09 08:00:00
32,1581231600000,0.9993,0.9994,0.999,0.9992,1124632.14,2020-02-09 07:00:00
33,1581228000000,0.9995,0.9996,0.9993,0.9994,859514.25,2020-02-09 06:00:00
34,1581224400000,0.9998,0.9999,0.9995,0.9995,945459.75,2020-02-09 05:00:00
35,1581220800000,0.9995,1.0,0.9995,0.9999,1440216.57,2020-02-09 04:00:00
36,1581217200000,0.9989,0.9998,0.9981,0.9996,2946931.92,2020-02-09 03:00:00
