,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.000409,0.0004122,0.0004067,0.0004067,11667.0,2020-02-10 15:00:00
1,1581343200000,0.0003987,0.0004145,0.0003987,0.000408,272430.0,2020-02-10 14:00:00
2,1581339600000,0.0003994,0.0004018,0.0003935,0.0004018,154716.0,2020-02-10 13:00:00
3,1581336000000,0.0004069,0.0004092,0.0003981,0.0004005,201138.0,2020-02-10 12:00:00
4,1581332400000,0.0003975,0.000408,0.0003975,0.0004057,20223.0,2020-02-10 11:00:00
5,1581328800000,0.0003991,0.0004072,0.0003976,0.0003976,42630.0,2020-02-10 10:00:00
6,1581325200000,0.0003981,0.0004053,0.0003925,0.0003977,173037.0,2020-02-10 09:00:00
7,1581321600000,0.0004018,0.0004026,0.0003891,0.0003966,439926.0,2020-02-10 08:00:00
8,1581318000000,0.0004127,0.0004187,0.0003985,0.000402,697591.0,2020-02-10 07:00:00
9,1581314400000,0.0004283,0.0004283,0.0004119,0.0004137,110846.0,2020-02-10 06:00:00
10,1581310800000,0.0004414,0.0004414,0.0004288,0.0004319,160641.0,2020-02-10 05:00:00
11,1581307200000,0.0004383,0.0004383,0.0004345,0.0004372,33902.0,2020-02-10 04:00:00
12,1581303600000,0.0004372,0.0004398,0.0004334,0.0004398,15185.0,2020-02-10 03:00:00
13,1581300000000,0.0004342,0.0004398,0.0004342,0.0004356,25969.0,2020-02-10 02:00:00
14,1581296400000,0.0004303,0.0004339,0.0004284,0.0004328,25626.0,2020-02-10 01:00:00
15,1581292800000,0.0004295,0.0004313,0.0004266,0.0004266,23737.0,2020-02-10 00:00:00
16,1581289200000,0.0004325,0.0004325,0.0004302,0.0004313,9149.0,2020-02-09 23:00:00
17,1581285600000,0.0004331,0.000439,0.0004331,0.0004383,60078.0,2020-02-09 22:00:00
18,1581282000000,0.0004376,0.0004383,0.0004331,0.0004331,23033.0,2020-02-09 21:00:00
19,1581278400000,0.0004374,0.000438,0.000437,0.000438,26878.0,2020-02-09 20:00:00
20,1581274800000,0.0004438,0.0004456,0.0004437,0.000445,32702.0,2020-02-09 19:00:00
21,1581271200000,0.0004275,0.0004464,0.0004275,0.0004407,127039.0,2020-02-09 18:00:00
22,1581267600000,0.000432,0.000432,0.0004255,0.0004282,138295.0,2020-02-09 17:00:00
23,1581264000000,0.0004456,0.0004456,0.0004335,0.0004335,131492.0,2020-02-09 16:00:00
24,1581260400000,0.0004512,0.0004545,0.0004432,0.0004433,113313.0,2020-02-09 15:00:00
25,1581256800000,0.0004381,0.0004512,0.000438,0.0004512,149866.0,2020-02-09 14:00:00
26,1581253200000,0.0004454,0.0004492,0.0004409,0.0004438,43587.0,2020-02-09 13:00:00
27,1581249600000,0.0004404,0.0004507,0.0004404,0.000445,199475.0,2020-02-09 12:00:00
28,1581246000000,0.0004384,0.0004486,0.000437,0.000437,193504.0,2020-02-09 11:00:00
29,1581242400000,0.0004324,0.0004381,0.000431,0.0004381,181440.0,2020-02-09 10:00:00
30,1581238800000,0.000429,0.0004374,0.000428,0.0004322,21574.0,2020-02-09 09:00:00
31,1581235200000,0.0004294,0.0004322,0.0004261,0.0004319,311468.0,2020-02-09 08:00:00
32,1581231600000,0.0004286,0.0004293,0.0004233,0.0004284,82776.0,2020-02-09 07:00:00
33,1581228000000,0.000404,0.0004341,0.000404,0.0004243,325580.0,2020-02-09 06:00:00
34,1581224400000,0.0003948,0.0004066,0.0003918,0.0004066,262056.0,2020-02-09 05:00:00
35,1581220800000,0.0003975,0.0003975,0.0003889,0.0003956,125893.0,2020-02-09 04:00:00
36,1581217200000,0.0004247,0.0004247,0.0003983,0.0003983,682095.0,2020-02-09 03:00:00
37,1581210000000,0.0004259,0.0004259,0.0004259,0.0004259,14107.0,2020-02-09 01:00:00
38,1581206400000,0.0004355,0.0004403,0.0004213,0.0004264,404541.0,2020-02-09 00:00:00
39,1581202800000,0.0004379,0.0004379,0.0004342,0.0004363,54496.0,2020-02-08 23:00:00
40,1581199200000,0.0004429,0.0004484,0.0004363,0.000438,100271.0,2020-02-08 22:00:00
41,1581195600000,0.000449,0.0004559,0.0004429,0.0004429,57461.0,2020-02-08 21:00:00
42,1581192000000,0.0004512,0.0004532,0.0004484,0.0004498,19358.0,2020-02-08 20:00:00
43,1581188400000,0.0004525,0.0004538,0.0004481,0.0004486,78952.0,2020-02-08 19:00:00
44,1581184800000,0.0004561,0.0004588,0.0004536,0.0004536,40258.0,2020-02-08 18:00:00
45,1581181200000,0.0004519,0.0004581,0.0004473,0.000457,25802.0,2020-02-08 17:00:00
46,1581177600000,0.0004469,0.0004506,0.0004469,0.0004497,8180.0,2020-02-08 16:00:00
47,1581174000000,0.0004456,0.0004556,0.0004439,0.0004483,33807.0,2020-02-08 15:00:00
48,1581170400000,0.0004572,0.0004573,0.0004463,0.0004467,228880.0,2020-02-08 14:00:00
49,1581166800000,0.0004344,0.0004638,0.0004315,0.0004572,420821.0,2020-02-08 13:00:00
50,1581163200000,0.0004364,0.0004364,0.0004346,0.0004346,9922.0,2020-02-08 12:00:00
51,1581159600000,0.0004341,0.000436,0.0004341,0.000436,11422.0,2020-02-08 11:00:00
52,1581156000000,0.0004327,0.0004331,0.0004274,0.0004318,20010.0,2020-02-08 10:00:00
53,1581152400000,0.0004315,0.0004315,0.0004279,0.0004305,412546.0,2020-02-08 09:00:00
54,1581148800000,0.0004397,0.0004397,0.0004308,0.0004328,31191.0,2020-02-08 08:00:00
55,1581145200000,0.0004334,0.0004368,0.0004296,0.0004368,83872.0,2020-02-08 07:00:00
56,1581141600000,0.0004343,0.0004346,0.0004285,0.0004346,34239.0,2020-02-08 06:00:00
57,1581138000000,0.0004357,0.0004412,0.000433,0.0004347,47026.0,2020-02-08 05:00:00
58,1581134400000,0.0004306,0.0004329,0.0004305,0.0004329,12496.0,2020-02-08 04:00:00
59,1581130800000,0.000445,0.000445,0.0004307,0.0004307,194924.0,2020-02-08 03:00:00
60,1581127200000,0.0004455,0.0004459,0.0004432,0.0004459,55669.0,2020-02-08 02:00:00
61,1581123600000,0.0004489,0.0004523,0.0004458,0.0004458,85655.0,2020-02-08 01:00:00
62,1581120000000,0.0004368,0.0004472,0.0004368,0.0004472,105972.0,2020-02-08 00:00:00
63,1581116400000,0.0004399,0.0004399,0.0004343,0.0004362,6143.0,2020-02-07 23:00:00
64,1581112800000,0.0004404,0.0004421,0.0004383,0.000442,107049.0,2020-02-07 22:00:00
65,1581109200000,0.0004396,0.0004397,0.0004355,0.0004369,44088.0,2020-02-07 21:00:00
66,1581105600000,0.0004362,0.00044,0.0004351,0.0004391,148537.0,2020-02-07 20:00:00
67,1581102000000,0.0004401,0.0004407,0.0004301,0.0004362,655737.0,2020-02-07 19:00:00
68,1581098400000,0.0004353,0.0004432,0.0004353,0.00044,316606.0,2020-02-07 18:00:00
69,1581094800000,0.0004475,0.0004476,0.000431,0.0004379,269731.0,2020-02-07 17:00:00
70,1581091200000,0.0004527,0.0004552,0.0004411,0.0004457,192784.0,2020-02-07 16:00:00
71,1581087600000,0.0004465,0.0004553,0.0004447,0.0004514,53066.0,2020-02-07 15:00:00
72,1581084000000,0.0004488,0.000455,0.0004434,0.0004465,125655.0,2020-02-07 14:00:00
73,1581080400000,0.000453,0.000453,0.0004452,0.0004488,351842.0,2020-02-07 13:00:00
74,1581076800000,0.0004521,0.0004574,0.0004496,0.000453,75878.0,2020-02-07 12:00:00
75,1581073200000,0.0004545,0.0004573,0.0004472,0.0004499,297306.0,2020-02-07 11:00:00
76,1581069600000,0.0004888,0.0004917,0.0004551,0.0004553,548251.0,2020-02-07 10:00:00
77,1581066000000,0.0004574,0.0004905,0.0004553,0.0004905,926093.0,2020-02-07 09:00:00
78,1581062400000,0.0004556,0.000462,0.0004545,0.0004574,67240.0,2020-02-07 08:00:00
79,1581058800000,0.0004684,0.0004684,0.0004545,0.0004545,559134.0,2020-02-07 07:00:00
80,1581055200000,0.0004745,0.0004745,0.0004664,0.0004692,65823.0,2020-02-07 06:00:00
81,1581051600000,0.0004737,0.0004782,0.0004706,0.0004782,10026.0,2020-02-07 05:00:00
82,1581048000000,0.0004758,0.0004801,0.0004741,0.0004744,173680.0,2020-02-07 04:00:00
83,1581044400000,0.0004821,0.000487,0.0004711,0.0004768,147589.0,2020-02-07 03:00:00
84,1581040800000,0.0004972,0.0004972,0.0004817,0.0004877,114177.0,2020-02-07 02:00:00
85,1581037200000,0.0004976,0.0004976,0.000488,0.0004933,60192.0,2020-02-07 01:00:00
86,1581033600000,0.0004976,0.0005015,0.0004907,0.0004992,379457.0,2020-02-07 00:00:00
87,1581030000000,0.0004827,0.0005208,0.000479,0.0004959,353834.0,2020-02-06 23:00:00
