,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.03e-06,1.04e-06,1.02e-06,1.03e-06,2210707.0,2020-02-10 15:00:00
1,1581343200000,1.01e-06,1.06e-06,1e-06,1.03e-06,25515256.0,2020-02-10 14:00:00
2,1581339600000,1.01e-06,1.02e-06,1e-06,1.01e-06,4273926.0,2020-02-10 13:00:00
3,1581336000000,1.02e-06,1.02e-06,1e-06,1e-06,3167566.0,2020-02-10 12:00:00
4,1581332400000,9.9e-07,1.02e-06,9.9e-07,1.02e-06,5630693.0,2020-02-10 11:00:00
5,1581328800000,1e-06,1e-06,9.9e-07,1e-06,1160246.0,2020-02-10 10:00:00
6,1581325200000,1.01e-06,1.01e-06,9.8e-07,9.9e-07,10369957.0,2020-02-10 09:00:00
7,1581321600000,1.01e-06,1.01e-06,1e-06,1e-06,2077427.0,2020-02-10 08:00:00
8,1581318000000,1.02e-06,1.03e-06,9.9e-07,1.01e-06,15520733.0,2020-02-10 07:00:00
9,1581314400000,1.02e-06,1.03e-06,1.02e-06,1.02e-06,2549363.0,2020-02-10 06:00:00
10,1581310800000,1.03e-06,1.04e-06,1.02e-06,1.02e-06,2417551.0,2020-02-10 05:00:00
11,1581307200000,1.03e-06,1.04e-06,1.03e-06,1.03e-06,2857298.0,2020-02-10 04:00:00
12,1581303600000,1.04e-06,1.04e-06,1.03e-06,1.03e-06,791339.0,2020-02-10 03:00:00
13,1581300000000,1.03e-06,1.04e-06,1.03e-06,1.03e-06,679502.0,2020-02-10 02:00:00
14,1581296400000,1.03e-06,1.04e-06,1.02e-06,1.03e-06,874592.0,2020-02-10 01:00:00
15,1581292800000,1.03e-06,1.04e-06,1e-06,1.03e-06,6427461.0,2020-02-10 00:00:00
16,1581289200000,1.03e-06,1.03e-06,1.02e-06,1.03e-06,3321827.0,2020-02-09 23:00:00
17,1581285600000,1.03e-06,1.04e-06,1.02e-06,1.02e-06,1889232.0,2020-02-09 22:00:00
18,1581282000000,1.04e-06,1.05e-06,1.02e-06,1.03e-06,6394976.0,2020-02-09 21:00:00
19,1581278400000,1.03e-06,1.05e-06,1.03e-06,1.04e-06,5820582.0,2020-02-09 20:00:00
20,1581274800000,1.04e-06,1.04e-06,1.03e-06,1.04e-06,2031763.0,2020-02-09 19:00:00
21,1581271200000,1.01e-06,1.05e-06,1.01e-06,1.04e-06,15950054.0,2020-02-09 18:00:00
22,1581267600000,1.03e-06,1.03e-06,1.01e-06,1.01e-06,4176187.0,2020-02-09 17:00:00
23,1581264000000,1.03e-06,1.03e-06,1.01e-06,1.03e-06,4057349.0,2020-02-09 16:00:00
24,1581260400000,1.03e-06,1.03e-06,1.02e-06,1.03e-06,3058617.0,2020-02-09 15:00:00
