,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,7.15e-05,7.205e-05,7.136e-05,7.139e-05,149189.0,2020-02-10 15:00:00
1,1581343200000,7.178e-05,7.202e-05,7.077e-05,7.146e-05,96424.0,2020-02-10 14:00:00
2,1581339600000,7.147e-05,7.167e-05,7.054e-05,7.14e-05,125884.0,2020-02-10 13:00:00
3,1581336000000,7.167e-05,7.234e-05,7.065e-05,7.154e-05,128588.0,2020-02-10 12:00:00
4,1581332400000,7.142e-05,7.239e-05,7.101e-05,7.235e-05,289294.0,2020-02-10 11:00:00
5,1581328800000,7.124e-05,7.241e-05,7.052e-05,7.156e-05,464044.0,2020-02-10 10:00:00
6,1581325200000,7.195e-05,7.238e-05,7.087e-05,7.178e-05,333543.0,2020-02-10 09:00:00
7,1581321600000,7.3e-05,7.3e-05,7.183e-05,7.195e-05,121876.0,2020-02-10 08:00:00
8,1581318000000,7.177e-05,7.3e-05,7.175e-05,7.299e-05,170052.0,2020-02-10 07:00:00
9,1581314400000,7.277e-05,7.366e-05,7.12e-05,7.227e-05,339332.0,2020-02-10 06:00:00
10,1581310800000,7.338e-05,7.342e-05,7.281e-05,7.283e-05,48114.0,2020-02-10 05:00:00
11,1581307200000,7.444e-05,7.45e-05,7.31e-05,7.403e-05,180881.0,2020-02-10 04:00:00
12,1581303600000,7.335e-05,7.442e-05,7.321e-05,7.339e-05,165903.0,2020-02-10 03:00:00
13,1581300000000,7.5e-05,7.5e-05,7.333e-05,7.384e-05,759637.0,2020-02-10 02:00:00
14,1581296400000,7.425e-05,7.515e-05,7.425e-05,7.5e-05,29991.0,2020-02-10 01:00:00
15,1581292800000,7.291e-05,7.545e-05,7.289e-05,7.392e-05,122959.0,2020-02-10 00:00:00
16,1581289200000,7.434e-05,7.434e-05,7.309e-05,7.33e-05,129318.0,2020-02-09 23:00:00
17,1581285600000,7.343e-05,7.474e-05,7.309e-05,7.474e-05,14115.0,2020-02-09 22:00:00
18,1581282000000,7.328e-05,7.383e-05,7.315e-05,7.383e-05,59781.0,2020-02-09 21:00:00
19,1581278400000,7.361e-05,7.361e-05,7.32e-05,7.324e-05,234471.0,2020-02-09 20:00:00
20,1581274800000,7.384e-05,7.384e-05,7.343e-05,7.343e-05,6518.0,2020-02-09 19:00:00
21,1581271200000,7.373e-05,7.4e-05,7.373e-05,7.4e-05,2352.0,2020-02-09 18:00:00
22,1581267600000,7.369e-05,7.384e-05,7.349e-05,7.382e-05,71635.0,2020-02-09 17:00:00
23,1581264000000,7.357e-05,7.419e-05,7.273e-05,7.419e-05,31409.0,2020-02-09 16:00:00
24,1581260400000,7.493e-05,7.573e-05,7.343e-05,7.369e-05,315258.0,2020-02-09 15:00:00
25,1581256800000,7.612e-05,7.651e-05,7.473e-05,7.506e-05,59206.0,2020-02-09 14:00:00
26,1581253200000,7.571e-05,7.609e-05,7.571e-05,7.609e-05,94555.0,2020-02-09 13:00:00
27,1581249600000,7.601e-05,7.601e-05,7.486e-05,7.486e-05,36458.0,2020-02-09 12:00:00
28,1581246000000,7.458e-05,7.723e-05,7.458e-05,7.702e-05,191420.0,2020-02-09 11:00:00
29,1581242400000,7.458e-05,7.62e-05,7.458e-05,7.459e-05,85715.0,2020-02-09 10:00:00
30,1581238800000,7.388e-05,7.431e-05,7.324e-05,7.431e-05,254.0,2020-02-09 09:00:00
31,1581235200000,7.371e-05,7.372e-05,7.279e-05,7.288e-05,57188.0,2020-02-09 08:00:00
32,1581231600000,7.385e-05,7.5e-05,7.343e-05,7.343e-05,26820.0,2020-02-09 07:00:00
33,1581228000000,7.506e-05,7.546e-05,7.361e-05,7.361e-05,137112.0,2020-02-09 06:00:00
34,1581224400000,7.18e-05,7.506e-05,7.157e-05,7.506e-05,123865.0,2020-02-09 05:00:00
35,1581220800000,7.13e-05,7.328e-05,7.127e-05,7.137e-05,106743.0,2020-02-09 04:00:00
36,1581217200000,7.266e-05,7.266e-05,7.066e-05,7.131e-05,43181.0,2020-02-09 03:00:00
37,1581210000000,7.254e-05,7.278e-05,7.186e-05,7.278e-05,23512.0,2020-02-09 01:00:00
38,1581206400000,7.338e-05,7.338e-05,7.203e-05,7.204e-05,21193.0,2020-02-09 00:00:00
39,1581202800000,7.476e-05,7.476e-05,7.272e-05,7.272e-05,48551.0,2020-02-08 23:00:00
40,1581199200000,7.494e-05,7.55e-05,7.404e-05,7.404e-05,19352.0,2020-02-08 22:00:00
41,1581195600000,7.557e-05,7.56e-05,7.557e-05,7.56e-05,89.0,2020-02-08 21:00:00
42,1581192000000,7.578e-05,7.578e-05,7.524e-05,7.524e-05,17270.0,2020-02-08 20:00:00
43,1581188400000,7.574e-05,7.574e-05,7.551e-05,7.563e-05,40661.0,2020-02-08 19:00:00
44,1581184800000,7.62e-05,7.66e-05,7.62e-05,7.66e-05,61163.0,2020-02-08 18:00:00
45,1581181200000,7.546e-05,7.648e-05,7.546e-05,7.606e-05,130744.0,2020-02-08 17:00:00
46,1581177600000,7.524e-05,7.546e-05,7.306e-05,7.505e-05,265700.0,2020-02-08 16:00:00
47,1581174000000,7.494e-05,7.577e-05,7.487e-05,7.487e-05,17710.0,2020-02-08 15:00:00
48,1581170400000,7.444e-05,7.528e-05,7.401e-05,7.462e-05,168388.0,2020-02-08 14:00:00
49,1581166800000,7.498e-05,7.675e-05,7.457e-05,7.457e-05,316603.0,2020-02-08 13:00:00
50,1581163200000,7.569e-05,7.569e-05,7.481e-05,7.537e-05,26259.0,2020-02-08 12:00:00
51,1581159600000,7.599e-05,7.672e-05,7.585e-05,7.67e-05,2219.0,2020-02-08 11:00:00
52,1581156000000,7.46e-05,7.64e-05,7.377e-05,7.638e-05,254457.0,2020-02-08 10:00:00
53,1581152400000,7.588e-05,7.588e-05,7.319e-05,7.498e-05,117827.0,2020-02-08 09:00:00
54,1581148800000,7.645e-05,7.766e-05,7.588e-05,7.588e-05,131963.0,2020-02-08 08:00:00
55,1581145200000,7.469e-05,7.619e-05,7.469e-05,7.619e-05,48792.0,2020-02-08 07:00:00
56,1581141600000,7.356e-05,7.581e-05,7.331e-05,7.496e-05,75490.0,2020-02-08 06:00:00
57,1581138000000,7.39e-05,7.446e-05,7.236e-05,7.248e-05,97499.0,2020-02-08 05:00:00
58,1581134400000,7.436e-05,7.496e-05,7.318e-05,7.396e-05,21650.0,2020-02-08 04:00:00
59,1581130800000,7.58e-05,7.58e-05,7.2e-05,7.436e-05,220685.0,2020-02-08 03:00:00
60,1581127200000,7.735e-05,7.752e-05,7.508e-05,7.508e-05,245596.0,2020-02-08 02:00:00
61,1581123600000,8.084e-05,8.084e-05,7.646e-05,7.782e-05,149237.0,2020-02-08 01:00:00
62,1581120000000,7.644e-05,8.222e-05,7.644e-05,8.145e-05,614804.0,2020-02-08 00:00:00
63,1581116400000,7.644e-05,7.718e-05,7.638e-05,7.647e-05,84490.0,2020-02-07 23:00:00
64,1581112800000,7.694e-05,7.71e-05,7.579e-05,7.579e-05,6278.0,2020-02-07 22:00:00
65,1581109200000,7.71e-05,7.71e-05,7.686e-05,7.686e-05,175.0,2020-02-07 21:00:00
66,1581105600000,7.695e-05,7.774e-05,7.591e-05,7.729e-05,89297.0,2020-02-07 20:00:00
67,1581102000000,7.772e-05,7.772e-05,7.722e-05,7.722e-05,1334.0,2020-02-07 19:00:00
68,1581098400000,7.665e-05,7.842e-05,7.665e-05,7.839e-05,183507.0,2020-02-07 18:00:00
69,1581094800000,7.789e-05,7.789e-05,7.415e-05,7.645e-05,1531109.0,2020-02-07 17:00:00
70,1581091200000,7.767e-05,8.388e-05,7.71e-05,7.88e-05,1511043.0,2020-02-07 16:00:00
71,1581087600000,7.06e-05,7.767e-05,7.034e-05,7.74e-05,505831.0,2020-02-07 15:00:00
72,1581084000000,7.023e-05,7.167e-05,6.998e-05,7.1e-05,190895.0,2020-02-07 14:00:00
73,1581080400000,7.027e-05,7.027e-05,7.027e-05,7.027e-05,2520.0,2020-02-07 13:00:00
74,1581076800000,7.171e-05,7.185e-05,7.073e-05,7.105e-05,110889.0,2020-02-07 12:00:00
