,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.54e-05,2.55e-05,2.52e-05,2.55e-05,317321.0,2020-02-10 15:00:00
1,1581343200000,2.55e-05,2.58e-05,2.52e-05,2.52e-05,217975.0,2020-02-10 14:00:00
2,1581339600000,2.53e-05,2.53e-05,2.51e-05,2.53e-05,277542.0,2020-02-10 13:00:00
3,1581336000000,2.56e-05,2.56e-05,2.53e-05,2.55e-05,250335.0,2020-02-10 12:00:00
4,1581332400000,2.61e-05,2.61e-05,2.57e-05,2.57e-05,1739808.0,2020-02-10 11:00:00
5,1581328800000,2.59e-05,2.64e-05,2.57e-05,2.57e-05,2090561.0,2020-02-10 10:00:00
6,1581325200000,2.51e-05,2.6e-05,2.51e-05,2.58e-05,1030430.0,2020-02-10 09:00:00
7,1581321600000,2.63e-05,2.63e-05,2.49e-05,2.51e-05,9514409.0,2020-02-10 08:00:00
8,1581318000000,2.7e-05,2.7e-05,2.63e-05,2.65e-05,4056007.0,2020-02-10 07:00:00
9,1581314400000,2.82e-05,2.85e-05,2.64e-05,2.72e-05,1402990.0,2020-02-10 06:00:00
10,1581310800000,2.83e-05,2.85e-05,2.79e-05,2.85e-05,4384472.0,2020-02-10 05:00:00
11,1581307200000,2.83e-05,2.85e-05,2.83e-05,2.83e-05,310861.0,2020-02-10 04:00:00
12,1581303600000,2.83e-05,2.84e-05,2.82e-05,2.82e-05,15015.0,2020-02-10 03:00:00
13,1581300000000,2.82e-05,2.84e-05,2.82e-05,2.84e-05,96047.0,2020-02-10 02:00:00
14,1581296400000,2.78e-05,2.82e-05,2.78e-05,2.81e-05,593822.0,2020-02-10 01:00:00
15,1581292800000,2.76e-05,2.78e-05,2.76e-05,2.76e-05,258115.0,2020-02-10 00:00:00
16,1581289200000,2.78e-05,2.82e-05,2.75e-05,2.75e-05,256273.0,2020-02-09 23:00:00
17,1581285600000,2.78e-05,2.78e-05,2.75e-05,2.78e-05,14410.0,2020-02-09 22:00:00
18,1581282000000,2.76e-05,2.76e-05,2.76e-05,2.76e-05,362425.0,2020-02-09 21:00:00
