,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.02979,0.0303,0.02979,0.03012,45714.7,2020-02-10 15:00:00
1,1581343200000,0.02939,0.02979,0.02926,0.02963,216631.8,2020-02-10 14:00:00
2,1581339600000,0.02939,0.02972,0.02923,0.02947,64566.0,2020-02-10 13:00:00
3,1581336000000,0.02895,0.0294,0.02871,0.02924,304459.9,2020-02-10 12:00:00
4,1581332400000,0.02919,0.02937,0.02895,0.02897,43298.4,2020-02-10 11:00:00
5,1581328800000,0.02921,0.0294,0.02895,0.02924,360324.6,2020-02-10 10:00:00
6,1581325200000,0.02953,0.02982,0.0289,0.02933,468058.2,2020-02-10 09:00:00
7,1581321600000,0.03016,0.03019,0.02953,0.02954,354741.7,2020-02-10 08:00:00
8,1581318000000,0.0301,0.03026,0.02979,0.03004,150986.6,2020-02-10 07:00:00
9,1581314400000,0.02967,0.03044,0.02955,0.02982,188242.0,2020-02-10 06:00:00
10,1581310800000,0.0306,0.03065,0.02961,0.02985,334150.2,2020-02-10 05:00:00
11,1581307200000,0.03127,0.03127,0.0306,0.0306,93049.3,2020-02-10 04:00:00
12,1581303600000,0.03115,0.03165,0.03092,0.03133,134347.9,2020-02-10 03:00:00
13,1581300000000,0.03105,0.03126,0.03101,0.03119,25825.1,2020-02-10 02:00:00
14,1581296400000,0.03135,0.03135,0.03135,0.03135,1594.9,2020-02-10 01:00:00
15,1581292800000,0.0311,0.03139,0.03086,0.03138,120652.0,2020-02-10 00:00:00
16,1581289200000,0.03079,0.03102,0.03044,0.03102,101820.4,2020-02-09 23:00:00
17,1581285600000,0.0305,0.03084,0.0305,0.03079,83279.9,2020-02-09 22:00:00
18,1581282000000,0.03048,0.0305,0.03048,0.0305,19940.5,2020-02-09 21:00:00
19,1581278400000,0.0304,0.03048,0.03018,0.03047,77531.9,2020-02-09 20:00:00
20,1581274800000,0.03029,0.0305,0.03006,0.03045,15750.0,2020-02-09 19:00:00
21,1581271200000,0.03013,0.03041,0.02986,0.03028,46313.0,2020-02-09 18:00:00
22,1581267600000,0.02997,0.03029,0.02987,0.02995,77109.7,2020-02-09 17:00:00
23,1581264000000,0.03029,0.03074,0.02986,0.02986,72612.3,2020-02-09 16:00:00
24,1581260400000,0.03044,0.03058,0.02958,0.03029,392140.2,2020-02-09 15:00:00
25,1581256800000,0.03115,0.03115,0.03027,0.03027,147423.5,2020-02-09 14:00:00
26,1581253200000,0.03087,0.03122,0.03087,0.0311,57124.4,2020-02-09 13:00:00
27,1581249600000,0.03062,0.03108,0.0305,0.03083,94660.2,2020-02-09 12:00:00
28,1581246000000,0.03038,0.03062,0.03038,0.03059,10846.7,2020-02-09 11:00:00
29,1581242400000,0.02992,0.0305,0.02992,0.0305,184708.3,2020-02-09 10:00:00
30,1581238800000,0.02973,0.03014,0.0297,0.03014,201696.6,2020-02-09 09:00:00
31,1581235200000,0.02972,0.03005,0.0297,0.02974,291846.2,2020-02-09 08:00:00
32,1581231600000,0.0299,0.0299,0.02965,0.0297,53572.2,2020-02-09 07:00:00
33,1581228000000,0.02958,0.0299,0.02949,0.0299,78326.9,2020-02-09 06:00:00
34,1581224400000,0.0294,0.02974,0.02915,0.02974,233131.0,2020-02-09 05:00:00
35,1581220800000,0.03036,0.03036,0.02866,0.02941,1248053.8,2020-02-09 04:00:00
36,1581217200000,0.03101,0.03109,0.03001,0.03001,306321.9,2020-02-09 03:00:00
37,1581210000000,0.03081,0.03122,0.03081,0.03122,127614.3,2020-02-09 01:00:00
38,1581206400000,0.03067,0.03079,0.03067,0.03079,32899.7,2020-02-09 00:00:00
39,1581202800000,0.0308,0.03081,0.03046,0.03069,77770.9,2020-02-08 23:00:00
40,1581199200000,0.03049,0.03081,0.03046,0.03081,68261.3,2020-02-08 22:00:00
41,1581195600000,0.03106,0.03141,0.03,0.0305,322040.0,2020-02-08 21:00:00
42,1581192000000,0.03106,0.03122,0.03106,0.03106,23288.5,2020-02-08 20:00:00
43,1581188400000,0.0308,0.03106,0.0308,0.03106,5564.3,2020-02-08 19:00:00
44,1581184800000,0.031,0.03122,0.03094,0.03112,211554.0,2020-02-08 18:00:00
45,1581181200000,0.0315,0.0315,0.03066,0.031,211360.9,2020-02-08 17:00:00
46,1581177600000,0.03229,0.03229,0.03117,0.0316,663034.0,2020-02-08 16:00:00
47,1581174000000,0.03195,0.03254,0.03192,0.03232,242861.3,2020-02-08 15:00:00
48,1581170400000,0.03137,0.03209,0.03137,0.03191,233341.5,2020-02-08 14:00:00
49,1581166800000,0.03143,0.03156,0.03113,0.03125,353866.9,2020-02-08 13:00:00
50,1581163200000,0.03147,0.03179,0.03132,0.03143,58107.6,2020-02-08 12:00:00
51,1581159600000,0.03165,0.03186,0.03131,0.03165,177597.6,2020-02-08 11:00:00
52,1581156000000,0.0317,0.03183,0.03165,0.03179,103459.5,2020-02-08 10:00:00
53,1581152400000,0.03175,0.03204,0.0317,0.0318,69561.5,2020-02-08 09:00:00
54,1581148800000,0.03134,0.03204,0.03134,0.03204,288197.3,2020-02-08 08:00:00
55,1581145200000,0.0311,0.03193,0.0309,0.03138,147978.6,2020-02-08 07:00:00
56,1581141600000,0.03096,0.03129,0.03093,0.0311,64830.2,2020-02-08 06:00:00
57,1581138000000,0.03074,0.03105,0.03051,0.03093,91110.1,2020-02-08 05:00:00
58,1581134400000,0.0306,0.03083,0.03055,0.03061,26184.1,2020-02-08 04:00:00
59,1581130800000,0.0305,0.03076,0.02958,0.0307,575464.2,2020-02-08 03:00:00
60,1581127200000,0.03126,0.03168,0.03051,0.03068,249958.8,2020-02-08 02:00:00
61,1581123600000,0.03224,0.03235,0.0309,0.03126,211257.6,2020-02-08 01:00:00
62,1581120000000,0.03161,0.03228,0.03161,0.03227,159860.0,2020-02-08 00:00:00
63,1581116400000,0.03159,0.03161,0.03131,0.03161,194787.9,2020-02-07 23:00:00
64,1581112800000,0.03222,0.03227,0.0316,0.03161,175939.1,2020-02-07 22:00:00
65,1581109200000,0.03189,0.03228,0.03163,0.03205,166662.6,2020-02-07 21:00:00
66,1581105600000,0.03172,0.03194,0.03163,0.03189,100881.5,2020-02-07 20:00:00
67,1581102000000,0.0319,0.03204,0.03169,0.03186,284382.6,2020-02-07 19:00:00
68,1581098400000,0.03236,0.03236,0.03162,0.03189,796817.2,2020-02-07 18:00:00
69,1581094800000,0.03317,0.03317,0.03201,0.0324,85287.1,2020-02-07 17:00:00
70,1581091200000,0.03121,0.03332,0.03084,0.03317,1084761.6,2020-02-07 16:00:00
71,1581087600000,0.03103,0.03124,0.0308,0.03124,77188.6,2020-02-07 15:00:00
72,1581084000000,0.03091,0.03129,0.03078,0.03124,212599.9,2020-02-07 14:00:00
73,1581080400000,0.0304,0.0313,0.0304,0.0313,218763.2,2020-02-07 13:00:00
74,1581076800000,0.03052,0.03065,0.03021,0.0304,126747.1,2020-02-07 12:00:00
75,1581073200000,0.03105,0.03107,0.03052,0.03052,380412.5,2020-02-07 11:00:00
76,1581069600000,0.03138,0.03173,0.03116,0.03135,360507.2,2020-02-07 10:00:00
77,1581066000000,0.03108,0.03209,0.03077,0.03179,867337.6,2020-02-07 09:00:00
78,1581062400000,0.03038,0.03139,0.0302,0.03109,941231.0,2020-02-07 08:00:00
79,1581058800000,0.02979,0.03038,0.02979,0.0302,327486.6,2020-02-07 07:00:00
80,1581055200000,0.02952,0.03,0.02937,0.02992,306534.0,2020-02-07 06:00:00
81,1581051600000,0.02921,0.02955,0.0292,0.02932,211657.2,2020-02-07 05:00:00
82,1581048000000,0.02924,0.0294,0.029,0.02924,130420.2,2020-02-07 04:00:00
83,1581044400000,0.02922,0.02944,0.02903,0.02903,75317.0,2020-02-07 03:00:00
84,1581040800000,0.02923,0.02931,0.02907,0.02927,104862.7,2020-02-07 02:00:00
85,1581037200000,0.02892,0.02931,0.02892,0.02916,89827.9,2020-02-07 01:00:00
86,1581033600000,0.02896,0.02929,0.02888,0.02918,168616.1,2020-02-07 00:00:00
87,1581030000000,0.02857,0.02909,0.02853,0.02896,140181.4,2020-02-06 23:00:00
88,1581026400000,0.02876,0.02892,0.02858,0.0286,117452.0,2020-02-06 22:00:00
89,1581022800000,0.02885,0.02896,0.02872,0.02884,180777.8,2020-02-06 21:00:00
90,1581019200000,0.02909,0.02909,0.02883,0.02885,199852.2,2020-02-06 20:00:00
91,1581015600000,0.02943,0.02953,0.02889,0.029,263077.0,2020-02-06 19:00:00
92,1581012000000,0.0296,0.0296,0.02922,0.02943,67875.7,2020-02-06 18:00:00
93,1581008400000,0.0292,0.0296,0.0292,0.02938,260319.2,2020-02-06 17:00:00
94,1581004800000,0.02924,0.02924,0.02891,0.02922,733445.3,2020-02-06 16:00:00
95,1581001200000,0.02918,0.0295,0.0288,0.02898,442134.1,2020-02-06 15:00:00
96,1580997600000,0.02851,0.02919,0.02832,0.02918,275252.1,2020-02-06 14:00:00
97,1580994000000,0.02927,0.02948,0.02845,0.02848,516876.6,2020-02-06 13:00:00
98,1580990400000,0.02946,0.0295,0.02925,0.02931,638917.4,2020-02-06 12:00:00
99,1580986800000,0.02934,0.02946,0.02915,0.02946,194032.8,2020-02-06 11:00:00
100,1580983200000,0.02901,0.02934,0.02881,0.02934,338875.3,2020-02-06 10:00:00
101,1580979600000,0.02892,0.02906,0.02882,0.02884,189553.9,2020-02-06 09:00:00
102,1580976000000,0.02901,0.02911,0.02891,0.02892,155611.3,2020-02-06 08:00:00
103,1580972400000,0.0288,0.02937,0.0288,0.02914,165413.8,2020-02-06 07:00:00
104,1580968800000,0.0288,0.02909,0.02853,0.02907,88677.6,2020-02-06 06:00:00
105,1580965200000,0.02851,0.0288,0.02847,0.02868,77450.6,2020-02-06 05:00:00
106,1580961600000,0.0287,0.02873,0.02846,0.02846,206603.0,2020-02-06 04:00:00
107,1580958000000,0.02852,0.02865,0.02834,0.02865,162654.1,2020-02-06 03:00:00
108,1580954400000,0.02899,0.02899,0.02852,0.02852,152805.5,2020-02-06 02:00:00
109,1580950800000,0.02898,0.02906,0.0288,0.029,113041.0,2020-02-06 01:00:00
110,1580947200000,0.02885,0.02898,0.02876,0.02898,265421.2,2020-02-06 00:00:00
