,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,5.057,5.113,5.04,5.086,58.027,2020-02-10 15:00:00
1,1581343200000,5.039,5.07,4.983,5.07,43.416,2020-02-10 14:00:00
2,1581339600000,5.022,5.022,4.947,4.994,49.815,2020-02-10 13:00:00
3,1581336000000,5.055,5.055,4.986,5.046,5.451,2020-02-10 12:00:00
4,1581332400000,5.035,5.086,5.025,5.07,5.64,2020-02-10 11:00:00
5,1581328800000,5.046,5.14,5.035,5.035,23.453,2020-02-10 10:00:00
6,1581325200000,4.97,5.113,4.97,5.046,84.089,2020-02-10 09:00:00
7,1581321600000,5.075,5.075,4.841,4.97,192.954,2020-02-10 08:00:00
8,1581318000000,5.051,5.113,5.036,5.097,83.014,2020-02-10 07:00:00
9,1581314400000,5.311,5.32,5.0,5.076,276.264,2020-02-10 06:00:00
10,1581310800000,5.289,5.299,5.274,5.299,39.737,2020-02-10 05:00:00
11,1581307200000,5.265,5.288,5.25,5.288,165.293,2020-02-10 04:00:00
12,1581303600000,5.289,5.306,5.25,5.306,47.519,2020-02-10 03:00:00
13,1581300000000,5.29,5.351,5.284,5.284,38.287,2020-02-10 02:00:00
14,1581296400000,5.297,5.297,5.25,5.273,3.02,2020-02-10 01:00:00
15,1581292800000,5.276,5.312,5.256,5.312,14.794,2020-02-10 00:00:00
16,1581289200000,5.378,5.386,5.26,5.274,59.263,2020-02-09 23:00:00
17,1581285600000,5.313,5.358,5.313,5.358,1.32,2020-02-09 22:00:00
18,1581282000000,5.321,5.327,5.28,5.281,12.231,2020-02-09 21:00:00
19,1581278400000,5.333,5.353,5.321,5.342,17.063,2020-02-09 20:00:00
20,1581274800000,5.394,5.426,5.321,5.333,12.877,2020-02-09 19:00:00
21,1581271200000,5.323,5.395,5.311,5.395,36.947,2020-02-09 18:00:00
22,1581267600000,5.341,5.345,5.298,5.324,118.545,2020-02-09 17:00:00
23,1581264000000,5.438,5.439,5.328,5.355,167.633,2020-02-09 16:00:00
24,1581260400000,5.482,5.488,5.413,5.453,13.633,2020-02-09 15:00:00
25,1581256800000,5.497,5.583,5.462,5.462,112.585,2020-02-09 14:00:00
26,1581253200000,5.535,5.555,5.488,5.488,17.304,2020-02-09 13:00:00
27,1581249600000,5.524,5.569,5.505,5.555,51.294,2020-02-09 12:00:00
28,1581246000000,5.526,5.549,5.519,5.535,3.125,2020-02-09 11:00:00
29,1581242400000,5.519,5.57,5.519,5.547,1.27,2020-02-09 10:00:00
30,1581238800000,5.54,5.548,5.495,5.502,15.489,2020-02-09 09:00:00
31,1581235200000,5.535,5.6,5.534,5.563,53.234,2020-02-09 08:00:00
32,1581231600000,5.548,5.562,5.505,5.548,11.492,2020-02-09 07:00:00
33,1581228000000,5.515,5.554,5.494,5.534,18.297,2020-02-09 06:00:00
34,1581224400000,5.537,5.537,5.482,5.503,53.414,2020-02-09 05:00:00
35,1581220800000,5.565,5.571,5.47,5.532,32.643,2020-02-09 04:00:00
36,1581217200000,5.79,5.855,5.565,5.565,177.513,2020-02-09 03:00:00
37,1581210000000,5.754,5.792,5.741,5.792,42.431,2020-02-09 01:00:00
38,1581206400000,5.797,5.798,5.753,5.783,26.633,2020-02-09 00:00:00
