,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.56428,0.57059,0.56369,0.56878,29.584,2020-02-10 15:00:00
1,1581343200000,0.56677,0.56677,0.56311,0.56603,25.296,2020-02-10 14:00:00
2,1581339600000,0.56831,0.57161,0.56561,0.56824,14.708,2020-02-10 13:00:00
3,1581336000000,0.56521,0.56998,0.56521,0.56699,27.279,2020-02-10 12:00:00
4,1581332400000,0.56202,0.56659,0.5616,0.56484,24.757,2020-02-10 11:00:00
5,1581328800000,0.56263,0.56659,0.56049,0.56049,47.521,2020-02-10 10:00:00
6,1581325200000,0.5636,0.57045,0.56171,0.56237,183.213,2020-02-10 09:00:00
7,1581321600000,0.56202,0.5701,0.56127,0.56484,39.851,2020-02-10 08:00:00
8,1581318000000,0.56042,0.56555,0.56042,0.56307,59.596,2020-02-10 07:00:00
9,1581314400000,0.5644,0.56502,0.55662,0.55995,75.439,2020-02-10 06:00:00
10,1581310800000,0.56246,0.56356,0.56044,0.5633,23.333,2020-02-10 05:00:00
11,1581307200000,0.55991,0.56338,0.55766,0.56246,9.598,2020-02-10 04:00:00
12,1581303600000,0.55881,0.56026,0.55771,0.55775,10.427,2020-02-10 03:00:00
13,1581300000000,0.56025,0.56338,0.55781,0.56135,66.765,2020-02-10 02:00:00
14,1581296400000,0.56033,0.56158,0.56033,0.56158,24.397,2020-02-10 01:00:00
15,1581292800000,0.56153,0.56202,0.55705,0.56202,202.945,2020-02-10 00:00:00
16,1581289200000,0.55812,0.56379,0.55806,0.56202,16.446,2020-02-09 23:00:00
17,1581285600000,0.56202,0.56375,0.55806,0.56099,12.351,2020-02-09 22:00:00
18,1581282000000,0.56416,0.56504,0.56296,0.56296,14.392,2020-02-09 21:00:00
19,1581278400000,0.56134,0.56561,0.56134,0.56504,8.985,2020-02-09 20:00:00
20,1581274800000,0.56236,0.56569,0.56047,0.56076,24.473,2020-02-09 19:00:00
21,1581271200000,0.56026,0.56427,0.55971,0.56236,15.472,2020-02-09 18:00:00
22,1581267600000,0.56072,0.5609,0.55809,0.55809,18.801,2020-02-09 17:00:00
23,1581264000000,0.55595,0.56091,0.5548,0.55909,38.902,2020-02-09 16:00:00
24,1581260400000,0.55629,0.56058,0.55098,0.56048,55.817,2020-02-09 15:00:00
25,1581256800000,0.55515,0.56478,0.5523,0.5563,304.523,2020-02-09 14:00:00
