,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,126.17,128.37,126.13,128.1,5480.72058,2020-02-10 15:00:00
1,1581343200000,124.86,126.3,124.36,126.12,3422.4487,2020-02-10 14:00:00
2,1581339600000,124.91,125.88,124.22,124.86,2965.05033,2020-02-10 13:00:00
3,1581336000000,123.53,124.92,123.09,124.91,2537.6574,2020-02-10 12:00:00
4,1581332400000,123.68,123.88,123.06,123.44,2066.87462,2020-02-10 11:00:00
5,1581328800000,123.35,125.18,123.0,123.68,5466.76257,2020-02-10 10:00:00
6,1581325200000,124.11,124.38,122.53,123.35,8595.96823,2020-02-10 09:00:00
7,1581321600000,125.96,126.49,123.98,124.25,4320.863,2020-02-10 08:00:00
8,1581318000000,124.84,126.8,124.7,126.0,4172.24306,2020-02-10 07:00:00
9,1581314400000,124.22,125.68,123.99,124.82,7320.68272,2020-02-10 06:00:00
10,1581310800000,125.96,126.53,123.25,123.93,3499.06237,2020-02-10 05:00:00
11,1581307200000,126.16,126.4,124.88,125.96,2858.95952,2020-02-10 04:00:00
12,1581303600000,127.07,127.07,125.81,126.17,2980.36186,2020-02-10 03:00:00
13,1581300000000,127.49,127.81,126.09,127.09,4628.69258,2020-02-10 02:00:00
14,1581296400000,127.94,128.4,127.21,127.44,2460.54813,2020-02-10 01:00:00
15,1581292800000,128.58,128.73,127.21,127.94,3574.82375,2020-02-10 00:00:00
16,1581289200000,127.34,128.66,127.05,128.51,4950.44368,2020-02-09 23:00:00
17,1581285600000,126.91,128.0,126.81,127.32,2507.57133,2020-02-09 22:00:00
18,1581282000000,126.96,127.56,126.8,126.94,1264.06771,2020-02-09 21:00:00
19,1581278400000,126.93,127.48,126.54,126.98,916.0695,2020-02-09 20:00:00
20,1581274800000,127.12,128.01,126.87,126.94,1814.65776,2020-02-09 19:00:00
21,1581271200000,126.71,127.46,126.69,127.16,1563.88717,2020-02-09 18:00:00
22,1581267600000,127.31,128.0,126.49,126.71,2677.35367,2020-02-09 17:00:00
23,1581264000000,126.91,127.51,126.29,127.29,3601.63266,2020-02-09 16:00:00
24,1581260400000,125.65,126.96,123.25,126.9,8231.13175,2020-02-09 15:00:00
25,1581256800000,125.98,128.78,125.23,125.65,9626.96491,2020-02-09 14:00:00
26,1581253200000,127.35,127.5,125.9,125.99,4798.0834,2020-02-09 13:00:00
27,1581249600000,127.03,127.73,126.5,127.35,3891.79025,2020-02-09 12:00:00
28,1581246000000,127.47,127.62,126.75,127.03,1933.14941,2020-02-09 11:00:00
29,1581242400000,126.41,127.78,125.89,127.46,2713.60052,2020-02-09 10:00:00
30,1581238800000,127.67,127.72,126.19,126.41,5689.32876,2020-02-09 09:00:00
31,1581235200000,129.04,129.08,127.5,127.65,4324.94083,2020-02-09 08:00:00
32,1581231600000,129.34,129.86,128.63,129.04,2991.36886,2020-02-09 07:00:00
33,1581228000000,128.15,129.93,128.14,129.35,2647.853,2020-02-09 06:00:00
34,1581224400000,128.87,128.93,127.72,128.19,3924.55636,2020-02-09 05:00:00
35,1581220800000,130.04,130.13,128.01,128.89,4399.39786,2020-02-09 04:00:00
