,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.001937,0.001937,0.001937,0.001937,0.0,2020-02-10 15:00:00
1,1581343200000,0.001937,0.001937,0.001937,0.001937,97.0,2020-02-10 14:00:00
2,1581339600000,0.001941,0.001964,0.001923,0.001958,5256.0,2020-02-10 13:00:00
3,1581336000000,0.00194,0.001941,0.001935,0.001941,288.0,2020-02-10 12:00:00
4,1581332400000,0.001933,0.001933,0.001932,0.001932,654.0,2020-02-10 11:00:00
5,1581328800000,0.001963,0.001963,0.001932,0.001933,1037.0,2020-02-10 10:00:00
6,1581325200000,0.001923,0.001964,0.001918,0.001939,16605.0,2020-02-10 09:00:00
7,1581321600000,0.001938,0.001938,0.001841,0.001922,20335.0,2020-02-10 08:00:00
8,1581318000000,0.001946,0.001946,0.001932,0.001944,710.0,2020-02-10 07:00:00
9,1581314400000,0.00202,0.00202,0.001937,0.001951,10338.0,2020-02-10 06:00:00
10,1581310800000,0.002029,0.002029,0.002029,0.002029,0.0,2020-02-10 05:00:00
11,1581307200000,0.002029,0.002029,0.002029,0.002029,0.0,2020-02-10 04:00:00
12,1581303600000,0.002029,0.002029,0.002029,0.002029,92.0,2020-02-10 03:00:00
13,1581300000000,0.002035,0.002061,0.002035,0.00205,1278.0,2020-02-10 02:00:00
14,1581296400000,0.002007,0.002031,0.002007,0.002022,641.0,2020-02-10 01:00:00
15,1581292800000,0.002011,0.002015,0.002005,0.002007,457.0,2020-02-10 00:00:00
16,1581289200000,0.002045,0.002045,0.002008,0.002008,3402.0,2020-02-09 23:00:00
17,1581285600000,0.002062,0.002062,0.002062,0.002062,20000.0,2020-02-09 22:00:00
18,1581282000000,0.002062,0.002062,0.002062,0.002062,57.0,2020-02-09 21:00:00
19,1581278400000,0.002046,0.002046,0.002046,0.002046,54.0,2020-02-09 20:00:00
20,1581274800000,0.002065,0.002084,0.002059,0.002078,1747.0,2020-02-09 19:00:00
21,1581271200000,0.002051,0.002065,0.002051,0.002065,92.0,2020-02-09 18:00:00
22,1581267600000,0.002048,0.002051,0.002025,0.002051,2774.0,2020-02-09 17:00:00
23,1581264000000,0.002069,0.00207,0.002046,0.002048,3066.0,2020-02-09 16:00:00
24,1581260400000,0.002114,0.002114,0.00208,0.002107,17063.0,2020-02-09 15:00:00
25,1581256800000,0.002136,0.002136,0.002136,0.002136,347.0,2020-02-09 14:00:00
26,1581253200000,0.002134,0.002134,0.00212,0.00212,246.0,2020-02-09 13:00:00
27,1581249600000,0.0021,0.002131,0.0021,0.002131,3252.0,2020-02-09 12:00:00
28,1581246000000,0.002084,0.0021,0.002084,0.0021,183.0,2020-02-09 11:00:00
29,1581242400000,0.002084,0.002095,0.002084,0.002084,2961.0,2020-02-09 10:00:00
30,1581238800000,0.002052,0.002084,0.002052,0.002072,5365.0,2020-02-09 09:00:00
31,1581235200000,0.002058,0.002064,0.002048,0.002048,21082.0,2020-02-09 08:00:00
32,1581231600000,0.002039,0.002052,0.002039,0.002052,1684.0,2020-02-09 07:00:00
33,1581228000000,0.00202,0.002029,0.00202,0.002029,184.0,2020-02-09 06:00:00
34,1581224400000,0.001997,0.002036,0.001997,0.002036,3375.0,2020-02-09 05:00:00
35,1581220800000,0.002056,0.002066,0.001981,0.001988,28049.0,2020-02-09 04:00:00
36,1581217200000,0.002165,0.002165,0.002061,0.002061,16234.0,2020-02-09 03:00:00
37,1581210000000,0.002164,0.002164,0.002164,0.002164,0.0,2020-02-09 01:00:00
38,1581206400000,0.002211,0.002214,0.002157,0.002164,1582.0,2020-02-09 00:00:00
39,1581202800000,0.002173,0.002191,0.002169,0.002174,4972.0,2020-02-08 23:00:00
40,1581199200000,0.002155,0.002209,0.002155,0.002173,4357.0,2020-02-08 22:00:00
41,1581195600000,0.002218,0.002226,0.002151,0.002165,18102.0,2020-02-08 21:00:00
42,1581192000000,0.002223,0.002223,0.002218,0.002218,685.0,2020-02-08 20:00:00
43,1581188400000,0.002213,0.002234,0.002213,0.002228,18007.0,2020-02-08 19:00:00
44,1581184800000,0.002242,0.002276,0.002206,0.002207,23010.0,2020-02-08 18:00:00
45,1581181200000,0.002237,0.002238,0.002201,0.002238,11238.0,2020-02-08 17:00:00
46,1581177600000,0.00225,0.00225,0.002221,0.002241,9443.0,2020-02-08 16:00:00
47,1581174000000,0.002255,0.002279,0.002255,0.002278,2167.0,2020-02-08 15:00:00
48,1581170400000,0.002261,0.002261,0.00224,0.002252,868.0,2020-02-08 14:00:00
49,1581166800000,0.002268,0.002268,0.002268,0.002268,0.0,2020-02-08 13:00:00
50,1581163200000,0.002268,0.002268,0.002268,0.002268,137.0,2020-02-08 12:00:00
51,1581159600000,0.002278,0.002278,0.002265,0.002265,662.0,2020-02-08 11:00:00
52,1581156000000,0.002272,0.002272,0.002272,0.002272,138.0,2020-02-08 10:00:00
53,1581152400000,0.002238,0.002256,0.002228,0.002256,1928.0,2020-02-08 09:00:00
54,1581148800000,0.002294,0.002294,0.002241,0.002241,2272.0,2020-02-08 08:00:00
55,1581145200000,0.002271,0.0023,0.002264,0.0023,1899.0,2020-02-08 07:00:00
56,1581141600000,0.002228,0.002258,0.002228,0.002258,1819.0,2020-02-08 06:00:00
57,1581138000000,0.002231,0.00224,0.002231,0.002233,489.0,2020-02-08 05:00:00
58,1581134400000,0.002242,0.002242,0.002205,0.002222,2250.0,2020-02-08 04:00:00
59,1581130800000,0.002391,0.002546,0.002203,0.002215,237646.0,2020-02-08 03:00:00
