,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.9e-06,4.92e-06,4.9e-06,4.92e-06,28947.0,2020-02-10 15:00:00
1,1581343200000,4.95e-06,4.95e-06,4.89e-06,4.9e-06,140362.0,2020-02-10 14:00:00
2,1581339600000,4.91e-06,5e-06,4.88e-06,4.95e-06,815084.0,2020-02-10 13:00:00
3,1581336000000,4.77e-06,4.91e-06,4.77e-06,4.9e-06,200259.0,2020-02-10 12:00:00
4,1581332400000,4.87e-06,4.87e-06,4.77e-06,4.77e-06,67801.0,2020-02-10 11:00:00
5,1581328800000,4.83e-06,4.87e-06,4.78e-06,4.86e-06,58937.0,2020-02-10 10:00:00
6,1581325200000,4.82e-06,4.86e-06,4.8e-06,4.83e-06,278281.0,2020-02-10 09:00:00
7,1581321600000,4.84e-06,4.86e-06,4.8e-06,4.82e-06,122763.0,2020-02-10 08:00:00
8,1581318000000,4.83e-06,4.85e-06,4.82e-06,4.82e-06,32148.0,2020-02-10 07:00:00
9,1581314400000,4.83e-06,4.85e-06,4.8e-06,4.84e-06,131648.0,2020-02-10 06:00:00
10,1581310800000,4.81e-06,4.86e-06,4.81e-06,4.84e-06,22291.0,2020-02-10 05:00:00
11,1581307200000,4.83e-06,4.85e-06,4.81e-06,4.81e-06,196951.0,2020-02-10 04:00:00
12,1581303600000,4.83e-06,4.83e-06,4.79e-06,4.83e-06,23540.0,2020-02-10 03:00:00
13,1581300000000,4.84e-06,4.86e-06,4.81e-06,4.81e-06,116973.0,2020-02-10 02:00:00
14,1581296400000,4.8e-06,4.87e-06,4.78e-06,4.83e-06,243498.0,2020-02-10 01:00:00
15,1581292800000,4.8e-06,4.81e-06,4.78e-06,4.8e-06,82238.0,2020-02-10 00:00:00
16,1581289200000,4.87e-06,4.87e-06,4.8e-06,4.81e-06,310752.0,2020-02-09 23:00:00
17,1581285600000,4.89e-06,4.91e-06,4.85e-06,4.89e-06,109894.0,2020-02-09 22:00:00
18,1581282000000,4.87e-06,4.92e-06,4.86e-06,4.91e-06,155606.0,2020-02-09 21:00:00
19,1581278400000,4.86e-06,4.89e-06,4.84e-06,4.87e-06,232112.0,2020-02-09 20:00:00
20,1581274800000,4.87e-06,4.87e-06,4.84e-06,4.87e-06,87838.0,2020-02-09 19:00:00
