,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.008586,0.008668,0.008584,0.008668,346219.0,2020-02-10 15:00:00
1,1581343200000,0.0085,0.008619,0.00849,0.008619,439729.0,2020-02-10 14:00:00
2,1581339600000,0.00851,0.00852,0.008466,0.008519,247496.0,2020-02-10 13:00:00
3,1581336000000,0.008424,0.008538,0.008424,0.008538,178527.0,2020-02-10 12:00:00
4,1581332400000,0.008518,0.008518,0.008419,0.008507,712435.0,2020-02-10 11:00:00
5,1581328800000,0.00835,0.008518,0.00835,0.008465,564046.0,2020-02-10 10:00:00
6,1581325200000,0.008655,0.008655,0.00833,0.008404,3450190.0,2020-02-10 09:00:00
7,1581321600000,0.008725,0.008725,0.008641,0.008643,1677970.0,2020-02-10 08:00:00
8,1581318000000,0.008652,0.008752,0.008652,0.008752,1197134.0,2020-02-10 07:00:00
9,1581314400000,0.008788,0.008842,0.008658,0.008659,1979353.0,2020-02-10 06:00:00
10,1581310800000,0.00892,0.008964,0.0087,0.008798,2384439.0,2020-02-10 05:00:00
11,1581307200000,0.008958,0.008969,0.008902,0.008902,578297.0,2020-02-10 04:00:00
12,1581303600000,0.009017,0.009018,0.008963,0.009002,181196.0,2020-02-10 03:00:00
13,1581300000000,0.009128,0.009212,0.008973,0.008973,1048263.0,2020-02-10 02:00:00
14,1581296400000,0.009341,0.009341,0.009128,0.009128,728732.0,2020-02-10 01:00:00
15,1581292800000,0.009221,0.009342,0.009221,0.009341,119861.0,2020-02-10 00:00:00
16,1581289200000,0.0092,0.009285,0.009177,0.009225,669460.0,2020-02-09 23:00:00
17,1581285600000,0.00915,0.009214,0.009106,0.009124,804764.0,2020-02-09 22:00:00
18,1581282000000,0.00925,0.009261,0.00915,0.00915,105992.0,2020-02-09 21:00:00
19,1581278400000,0.009381,0.009397,0.009146,0.009213,259709.0,2020-02-09 20:00:00
20,1581274800000,0.009381,0.009397,0.0093,0.009301,213473.0,2020-02-09 19:00:00
21,1581271200000,0.009269,0.009391,0.009131,0.009315,1252675.0,2020-02-09 18:00:00
22,1581267600000,0.00923,0.009333,0.009215,0.009269,662955.0,2020-02-09 17:00:00
23,1581264000000,0.008993,0.009742,0.008941,0.009287,10546432.0,2020-02-09 16:00:00
24,1581260400000,0.008727,0.009066,0.008693,0.008941,1734859.0,2020-02-09 15:00:00
25,1581256800000,0.008749,0.00878,0.008671,0.008725,318354.0,2020-02-09 14:00:00
26,1581253200000,0.00875,0.008755,0.008708,0.00875,568753.0,2020-02-09 13:00:00
27,1581249600000,0.008727,0.008755,0.008727,0.008755,49859.0,2020-02-09 12:00:00
28,1581246000000,0.008697,0.008726,0.008697,0.008726,27110.0,2020-02-09 11:00:00
29,1581242400000,0.00859,0.008727,0.00859,0.008727,551662.0,2020-02-09 10:00:00
30,1581238800000,0.008642,0.008738,0.008569,0.008591,408739.0,2020-02-09 09:00:00
31,1581235200000,0.008696,0.008714,0.008641,0.00866,135678.0,2020-02-09 08:00:00
32,1581231600000,0.00869,0.00874,0.008621,0.0087,338943.0,2020-02-09 07:00:00
33,1581228000000,0.008636,0.008681,0.00859,0.00859,555057.0,2020-02-09 06:00:00
34,1581224400000,0.008488,0.00859,0.008454,0.00859,138686.0,2020-02-09 05:00:00
35,1581220800000,0.008535,0.00859,0.008403,0.008488,952626.0,2020-02-09 04:00:00
36,1581217200000,0.008641,0.008641,0.008446,0.00851,918635.0,2020-02-09 03:00:00
37,1581210000000,0.008798,0.008798,0.008636,0.008691,462260.0,2020-02-09 01:00:00
38,1581206400000,0.008697,0.008798,0.008697,0.008697,245281.0,2020-02-09 00:00:00
39,1581202800000,0.008688,0.008745,0.008688,0.008745,99828.0,2020-02-08 23:00:00
40,1581199200000,0.008645,0.008743,0.008616,0.008688,920799.0,2020-02-08 22:00:00
41,1581195600000,0.008843,0.008846,0.008645,0.008693,223409.0,2020-02-08 21:00:00
42,1581192000000,0.008751,0.008825,0.008745,0.008825,116269.0,2020-02-08 20:00:00
43,1581188400000,0.008769,0.008847,0.008751,0.008846,137546.0,2020-02-08 19:00:00
44,1581184800000,0.008785,0.008816,0.0087,0.0087,521465.0,2020-02-08 18:00:00
45,1581181200000,0.008739,0.008799,0.008639,0.008777,607213.0,2020-02-08 17:00:00
46,1581177600000,0.008794,0.008798,0.008794,0.008796,104852.0,2020-02-08 16:00:00
47,1581174000000,0.008693,0.008802,0.008649,0.00878,836554.0,2020-02-08 15:00:00
48,1581170400000,0.008713,0.008746,0.00871,0.008746,424460.0,2020-02-08 14:00:00
49,1581166800000,0.008611,0.008745,0.008611,0.00865,398867.0,2020-02-08 13:00:00
50,1581163200000,0.008745,0.008749,0.008603,0.008661,471937.0,2020-02-08 12:00:00
51,1581159600000,0.008732,0.008733,0.008653,0.008732,132429.0,2020-02-08 11:00:00
52,1581156000000,0.008683,0.008745,0.008639,0.008745,562598.0,2020-02-08 10:00:00
53,1581152400000,0.008593,0.008672,0.008593,0.008672,73602.0,2020-02-08 09:00:00
54,1581148800000,0.008538,0.008673,0.008506,0.008662,759260.0,2020-02-08 08:00:00
55,1581145200000,0.008492,0.008589,0.008488,0.008538,215614.0,2020-02-08 07:00:00
56,1581141600000,0.008534,0.008539,0.008488,0.008515,296923.0,2020-02-08 06:00:00
57,1581138000000,0.00859,0.00859,0.008488,0.008488,534217.0,2020-02-08 05:00:00
58,1581134400000,0.008526,0.00854,0.008442,0.00854,519329.0,2020-02-08 04:00:00
59,1581130800000,0.008687,0.008797,0.008464,0.008526,751950.0,2020-02-08 03:00:00
60,1581127200000,0.008641,0.008734,0.00859,0.008689,664991.0,2020-02-08 02:00:00
61,1581123600000,0.008831,0.008831,0.008575,0.008638,1490697.0,2020-02-08 01:00:00
62,1581120000000,0.00882,0.008851,0.00881,0.008848,636346.0,2020-02-08 00:00:00
63,1581116400000,0.008745,0.008828,0.008745,0.008828,94662.0,2020-02-07 23:00:00
64,1581112800000,0.008693,0.008798,0.008693,0.008798,318103.0,2020-02-07 22:00:00
65,1581109200000,0.008778,0.008793,0.008695,0.008695,56864.0,2020-02-07 21:00:00
66,1581105600000,0.008693,0.008793,0.008684,0.008778,130855.0,2020-02-07 20:00:00
67,1581102000000,0.008554,0.008855,0.008554,0.008798,701050.0,2020-02-07 19:00:00
68,1581098400000,0.008568,0.008568,0.008554,0.008554,174684.0,2020-02-07 18:00:00
69,1581094800000,0.008473,0.008568,0.00845,0.008568,110166.0,2020-02-07 17:00:00
70,1581091200000,0.008488,0.00859,0.008386,0.008474,869022.0,2020-02-07 16:00:00
71,1581087600000,0.008539,0.008539,0.008488,0.008488,11106.0,2020-02-07 15:00:00
72,1581084000000,0.008438,0.008539,0.008389,0.008539,336024.0,2020-02-07 14:00:00
73,1581080400000,0.00845,0.008538,0.008387,0.008535,454268.0,2020-02-07 13:00:00
74,1581076800000,0.008584,0.008584,0.008386,0.00845,754889.0,2020-02-07 12:00:00
75,1581073200000,0.008627,0.008683,0.008539,0.008539,756627.0,2020-02-07 11:00:00
76,1581069600000,0.008529,0.008641,0.008529,0.00864,624647.0,2020-02-07 10:00:00
77,1581066000000,0.008415,0.008608,0.008415,0.008529,980590.0,2020-02-07 09:00:00
78,1581062400000,0.008464,0.008488,0.008406,0.008415,394298.0,2020-02-07 08:00:00
79,1581058800000,0.00845,0.008528,0.008402,0.00846,471942.0,2020-02-07 07:00:00
80,1581055200000,0.008567,0.008569,0.00841,0.008415,494874.0,2020-02-07 06:00:00
81,1581051600000,0.008584,0.00859,0.008477,0.008572,313329.0,2020-02-07 05:00:00
82,1581048000000,0.008583,0.008616,0.008495,0.00856,1062363.0,2020-02-07 04:00:00
83,1581044400000,0.008625,0.008706,0.008488,0.008488,455069.0,2020-02-07 03:00:00
84,1581040800000,0.008722,0.008722,0.008625,0.008625,426464.0,2020-02-07 02:00:00
85,1581037200000,0.008708,0.008798,0.008696,0.008722,519589.0,2020-02-07 01:00:00
86,1581033600000,0.008642,0.008745,0.008629,0.008629,150054.0,2020-02-07 00:00:00
87,1581030000000,0.008603,0.008732,0.008582,0.008642,327249.0,2020-02-06 23:00:00
88,1581026400000,0.008745,0.008773,0.008544,0.008604,713567.0,2020-02-06 22:00:00
89,1581022800000,0.008719,0.008795,0.008628,0.008745,450275.0,2020-02-06 21:00:00
90,1581019200000,0.00865,0.008745,0.008606,0.008719,657367.0,2020-02-06 20:00:00
91,1581015600000,0.008539,0.008687,0.008485,0.008649,505142.0,2020-02-06 19:00:00
92,1581012000000,0.00852,0.008567,0.008449,0.008539,285254.0,2020-02-06 18:00:00
93,1581008400000,0.008473,0.008539,0.00841,0.008512,402420.0,2020-02-06 17:00:00
94,1581004800000,0.008437,0.008488,0.008336,0.008413,731864.0,2020-02-06 16:00:00
95,1581001200000,0.00845,0.00859,0.008388,0.008437,1712769.0,2020-02-06 15:00:00
96,1580997600000,0.008396,0.008459,0.00834,0.00845,395770.0,2020-02-06 14:00:00
97,1580994000000,0.008466,0.008499,0.008336,0.008343,2597357.0,2020-02-06 13:00:00
98,1580990400000,0.008693,0.0092,0.008341,0.008534,4030645.0,2020-02-06 12:00:00
99,1580986800000,0.008408,0.009,0.008371,0.008682,5167626.0,2020-02-06 11:00:00
100,1580983200000,0.008271,0.008451,0.00822,0.008451,1252463.0,2020-02-06 10:00:00
101,1580979600000,0.008139,0.008243,0.008115,0.008243,549914.0,2020-02-06 09:00:00
102,1580976000000,0.008198,0.008236,0.008139,0.008215,954521.0,2020-02-06 08:00:00
103,1580972400000,0.00792,0.008248,0.007902,0.008149,1742258.0,2020-02-06 07:00:00
104,1580968800000,0.00793,0.007993,0.007861,0.007989,282730.0,2020-02-06 06:00:00
105,1580965200000,0.007913,0.007939,0.007853,0.007895,604587.0,2020-02-06 05:00:00
106,1580961600000,0.007809,0.007913,0.007809,0.007913,325966.0,2020-02-06 04:00:00
107,1580958000000,0.007824,0.007901,0.007753,0.007852,1252871.0,2020-02-06 03:00:00
108,1580954400000,0.0078,0.007824,0.007712,0.007824,746545.0,2020-02-06 02:00:00
109,1580950800000,0.007694,0.0078,0.00764,0.0078,352620.0,2020-02-06 01:00:00
110,1580947200000,0.007685,0.007693,0.00762,0.007693,46207.0,2020-02-06 00:00:00
111,1580943600000,0.007758,0.007758,0.007697,0.007699,182402.0,2020-02-05 23:00:00
112,1580940000000,0.007762,0.007762,0.007691,0.007758,131982.0,2020-02-05 22:00:00
113,1580936400000,0.007757,0.007803,0.007757,0.007762,87998.0,2020-02-05 21:00:00
114,1580932800000,0.007752,0.007805,0.007712,0.007757,65158.0,2020-02-05 20:00:00
115,1580929200000,0.0077,0.007823,0.0077,0.007758,185734.0,2020-02-05 19:00:00
116,1580925600000,0.007668,0.007794,0.007645,0.0077,1134007.0,2020-02-05 18:00:00
117,1580922000000,0.007715,0.007749,0.007665,0.007674,54989.0,2020-02-05 17:00:00
118,1580918400000,0.007681,0.007742,0.007663,0.007705,703499.0,2020-02-05 16:00:00
119,1580914800000,0.00768,0.007743,0.007679,0.007679,237437.0,2020-02-05 15:00:00
120,1580911200000,0.007645,0.007683,0.007643,0.00768,112629.0,2020-02-05 14:00:00
121,1580907600000,0.007638,0.007685,0.007622,0.007642,505234.0,2020-02-05 13:00:00
122,1580904000000,0.007632,0.007659,0.007552,0.007585,1307326.0,2020-02-05 12:00:00
123,1580900400000,0.007694,0.007795,0.00764,0.00764,144427.0,2020-02-05 11:00:00
124,1580896800000,0.007694,0.007824,0.007683,0.007743,344948.0,2020-02-05 10:00:00
125,1580893200000,0.007767,0.00777,0.007692,0.007694,308032.0,2020-02-05 09:00:00
126,1580889600000,0.007717,0.007767,0.007716,0.007767,81944.0,2020-02-05 08:00:00
127,1580886000000,0.007739,0.007787,0.007721,0.007769,163991.0,2020-02-05 07:00:00
128,1580882400000,0.007793,0.007803,0.007616,0.007748,345122.0,2020-02-05 06:00:00
129,1580878800000,0.007864,0.007864,0.007679,0.007786,267068.0,2020-02-05 05:00:00
130,1580875200000,0.00775,0.00788,0.00775,0.007828,807234.0,2020-02-05 04:00:00
131,1580871600000,0.007729,0.007795,0.007665,0.007742,149774.0,2020-02-05 03:00:00
132,1580868000000,0.007805,0.007805,0.007644,0.007729,259275.0,2020-02-05 02:00:00
133,1580864400000,0.007745,0.007767,0.007667,0.007767,531569.0,2020-02-05 01:00:00
134,1580860800000,0.007797,0.007817,0.007685,0.007685,217204.0,2020-02-05 00:00:00
135,1580857200000,0.007727,0.007784,0.00769,0.007784,589553.0,2020-02-04 23:00:00
136,1580853600000,0.007767,0.007767,0.007766,0.007766,85797.0,2020-02-04 22:00:00
137,1580850000000,0.007777,0.007812,0.007685,0.007767,778371.0,2020-02-04 21:00:00
138,1580846400000,0.007755,0.007812,0.007755,0.007812,111071.0,2020-02-04 20:00:00
139,1580842800000,0.007801,0.00788,0.00773,0.00773,942539.0,2020-02-04 19:00:00
140,1580839200000,0.007755,0.0078,0.007721,0.007798,416963.0,2020-02-04 18:00:00
141,1580835600000,0.007668,0.007826,0.007624,0.007754,1155100.0,2020-02-04 17:00:00
142,1580832000000,0.007641,0.007665,0.007545,0.007567,753864.0,2020-02-04 16:00:00
143,1580828400000,0.007617,0.007743,0.007585,0.007642,1209263.0,2020-02-04 15:00:00
144,1580824800000,0.007618,0.007618,0.007568,0.007617,353938.0,2020-02-04 14:00:00
145,1580821200000,0.007618,0.00762,0.007562,0.00757,204795.0,2020-02-04 13:00:00
146,1580817600000,0.007618,0.007668,0.007516,0.007575,1568477.0,2020-02-04 12:00:00
147,1580814000000,0.007609,0.007682,0.0076,0.007636,181140.0,2020-02-04 11:00:00
148,1580810400000,0.00757,0.007669,0.007547,0.007666,327376.0,2020-02-04 10:00:00
149,1580806800000,0.007824,0.007826,0.00757,0.00757,2013756.0,2020-02-04 09:00:00
150,1580803200000,0.00779,0.007825,0.007678,0.007824,1848695.0,2020-02-04 08:00:00
151,1580799600000,0.007809,0.008,0.007773,0.007774,1366382.0,2020-02-04 07:00:00
152,1580796000000,0.007774,0.008184,0.00769,0.007848,2268564.0,2020-02-04 06:00:00
153,1580792400000,0.007669,0.007774,0.00762,0.007678,972696.0,2020-02-04 05:00:00
154,1580788800000,0.007721,0.007726,0.007647,0.007717,131641.0,2020-02-04 04:00:00
155,1580785200000,0.007647,0.007764,0.007622,0.007677,1294364.0,2020-02-04 03:00:00
156,1580781600000,0.007649,0.007649,0.007567,0.007647,444308.0,2020-02-04 02:00:00
157,1580778000000,0.00763,0.00765,0.007589,0.007589,148417.0,2020-02-04 01:00:00
