,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.00171,0.00171,0.00169,0.0017,7141.2,2020-02-10 15:00:00
1,1581343200000,0.0017,0.0017,0.0017,0.0017,25516.4,2020-02-10 14:00:00
2,1581339600000,0.00168,0.00169,0.00166,0.00169,12099.2,2020-02-10 13:00:00
3,1581336000000,0.00169,0.00169,0.00168,0.00169,1708.3,2020-02-10 12:00:00
4,1581332400000,0.00171,0.00173,0.00171,0.00171,20273.8,2020-02-10 11:00:00
5,1581328800000,0.00172,0.00172,0.0017,0.0017,5213.6,2020-02-10 10:00:00
6,1581325200000,0.00171,0.00172,0.00169,0.0017,6319.9,2020-02-10 09:00:00
7,1581321600000,0.00171,0.00171,0.00166,0.00171,17723.2,2020-02-10 08:00:00
8,1581318000000,0.00172,0.00174,0.00172,0.00174,8714.1,2020-02-10 07:00:00
9,1581314400000,0.00183,0.00183,0.00173,0.00174,47802.2,2020-02-10 06:00:00
10,1581310800000,0.00185,0.00185,0.00185,0.00185,66.2,2020-02-10 05:00:00
11,1581307200000,0.00184,0.00184,0.00184,0.00184,311.4,2020-02-10 04:00:00
12,1581303600000,0.00184,0.00184,0.00184,0.00184,0.0,2020-02-10 03:00:00
13,1581300000000,0.00184,0.00186,0.00184,0.00184,2603.6,2020-02-10 02:00:00
14,1581296400000,0.00184,0.00184,0.00184,0.00184,408.6,2020-02-10 01:00:00
15,1581292800000,0.00181,0.00183,0.00181,0.00183,1183.3,2020-02-10 00:00:00
16,1581289200000,0.00186,0.00186,0.00186,0.00186,0.0,2020-02-09 23:00:00
17,1581285600000,0.00182,0.00188,0.00182,0.00186,104049.4,2020-02-09 22:00:00
18,1581282000000,0.0018,0.00181,0.0018,0.00181,223.6,2020-02-09 21:00:00
19,1581278400000,0.00183,0.00183,0.00183,0.00183,957.7,2020-02-09 20:00:00
20,1581274800000,0.00183,0.00183,0.00183,0.00183,66.9,2020-02-09 19:00:00
21,1581271200000,0.00182,0.00182,0.00182,0.00182,102.4,2020-02-09 18:00:00
22,1581267600000,0.00182,0.00183,0.0018,0.00183,9969.3,2020-02-09 17:00:00
23,1581264000000,0.00183,0.00183,0.00181,0.00181,12692.7,2020-02-09 16:00:00
24,1581260400000,0.00187,0.00187,0.00184,0.00184,746.6,2020-02-09 15:00:00
25,1581256800000,0.00187,0.00187,0.00187,0.00187,21813.1,2020-02-09 14:00:00
26,1581253200000,0.00186,0.00189,0.00186,0.00189,41958.3,2020-02-09 13:00:00
27,1581249600000,0.00184,0.00188,0.00183,0.00185,9281.6,2020-02-09 12:00:00
28,1581246000000,0.00182,0.00184,0.00182,0.00183,269.0,2020-02-09 11:00:00
29,1581242400000,0.00182,0.00185,0.00182,0.00184,18617.2,2020-02-09 10:00:00
30,1581238800000,0.00181,0.00183,0.00181,0.00182,13189.2,2020-02-09 09:00:00
