,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0425,0.0428,0.0425,0.0427,163552.36,2020-02-10 15:00:00
1,1581343200000,0.0419,0.0426,0.0418,0.0426,171917.97,2020-02-10 14:00:00
2,1581339600000,0.0418,0.0421,0.0416,0.0418,54308.65,2020-02-10 13:00:00
3,1581336000000,0.0415,0.0419,0.0413,0.0418,119855.03,2020-02-10 12:00:00
4,1581332400000,0.042,0.0423,0.041,0.0415,830130.32,2020-02-10 11:00:00
5,1581328800000,0.0417,0.0419,0.0413,0.0419,29236.05,2020-02-10 10:00:00
6,1581325200000,0.0423,0.0425,0.0412,0.0415,236948.08,2020-02-10 09:00:00
7,1581321600000,0.043,0.0431,0.0422,0.0426,65972.26,2020-02-10 08:00:00
8,1581318000000,0.0426,0.0434,0.0425,0.043,134309.31,2020-02-10 07:00:00
9,1581314400000,0.043,0.0435,0.0424,0.0425,551937.81,2020-02-10 06:00:00
10,1581310800000,0.0438,0.0438,0.043,0.043,122610.23,2020-02-10 05:00:00
11,1581307200000,0.044,0.044,0.0438,0.0438,31544.12,2020-02-10 04:00:00
12,1581303600000,0.0438,0.0445,0.0437,0.044,91992.53,2020-02-10 03:00:00
13,1581300000000,0.0445,0.0446,0.0437,0.0438,104424.15,2020-02-10 02:00:00
14,1581296400000,0.0441,0.0445,0.044,0.0443,61468.18,2020-02-10 01:00:00
15,1581292800000,0.0443,0.0444,0.0438,0.0444,242323.19,2020-02-10 00:00:00
16,1581289200000,0.0443,0.0443,0.0438,0.0443,157731.3,2020-02-09 23:00:00
17,1581285600000,0.0436,0.045,0.0435,0.0443,1411981.32,2020-02-09 22:00:00
18,1581282000000,0.0434,0.0435,0.0432,0.0435,32162.53,2020-02-09 21:00:00
19,1581278400000,0.0433,0.0434,0.0432,0.0432,40419.25,2020-02-09 20:00:00
20,1581274800000,0.0432,0.0436,0.0431,0.0431,18561.55,2020-02-09 19:00:00
21,1581271200000,0.0434,0.0437,0.0429,0.043,222346.49,2020-02-09 18:00:00
22,1581267600000,0.0432,0.0439,0.0431,0.0434,319851.4,2020-02-09 17:00:00
23,1581264000000,0.043,0.0433,0.0428,0.0432,211205.75,2020-02-09 16:00:00
24,1581260400000,0.0432,0.0433,0.0424,0.043,177105.54,2020-02-09 15:00:00
25,1581256800000,0.043,0.0434,0.0428,0.0432,411493.06,2020-02-09 14:00:00
26,1581253200000,0.0427,0.0437,0.0425,0.0428,583106.81,2020-02-09 13:00:00
27,1581249600000,0.0425,0.0433,0.0425,0.0427,255865.71,2020-02-09 12:00:00
28,1581246000000,0.0421,0.0424,0.042,0.0421,172706.01,2020-02-09 11:00:00
29,1581242400000,0.0419,0.043,0.0416,0.0421,312346.29,2020-02-09 10:00:00
30,1581238800000,0.0419,0.042,0.0415,0.0419,97875.33,2020-02-09 09:00:00
31,1581235200000,0.0422,0.0422,0.0415,0.0419,311458.45,2020-02-09 08:00:00
32,1581231600000,0.0424,0.0427,0.0422,0.0422,154680.72,2020-02-09 07:00:00
33,1581228000000,0.0419,0.0424,0.0418,0.0424,146983.55,2020-02-09 06:00:00
34,1581224400000,0.0418,0.0423,0.0417,0.042,166496.98,2020-02-09 05:00:00
35,1581220800000,0.0417,0.0421,0.0415,0.0418,400345.57,2020-02-09 04:00:00
36,1581217200000,0.0421,0.0423,0.0409,0.0417,800706.36,2020-02-09 03:00:00
37,1581210000000,0.0424,0.0425,0.0421,0.0421,114150.89,2020-02-09 01:00:00
38,1581206400000,0.0425,0.0428,0.0424,0.0425,540522.62,2020-02-09 00:00:00
39,1581202800000,0.0424,0.0428,0.0421,0.0428,134695.35,2020-02-08 23:00:00
40,1581199200000,0.042,0.0428,0.0415,0.0424,476958.27,2020-02-08 22:00:00
41,1581195600000,0.0445,0.0454,0.0408,0.0424,1828552.85,2020-02-08 21:00:00
42,1581192000000,0.0441,0.0445,0.0441,0.0442,34378.93,2020-02-08 20:00:00
43,1581188400000,0.0438,0.0441,0.0438,0.0441,7613.09,2020-02-08 19:00:00
44,1581184800000,0.0439,0.0443,0.0439,0.044,88291.01,2020-02-08 18:00:00
45,1581181200000,0.0439,0.0439,0.0435,0.0438,53057.73,2020-02-08 17:00:00
46,1581177600000,0.0439,0.0441,0.0438,0.0438,61163.33,2020-02-08 16:00:00
47,1581174000000,0.0444,0.0444,0.044,0.044,62692.43,2020-02-08 15:00:00
48,1581170400000,0.0439,0.0444,0.0436,0.0444,572631.91,2020-02-08 14:00:00
49,1581166800000,0.0445,0.0445,0.0435,0.0436,373217.46,2020-02-08 13:00:00
50,1581163200000,0.0443,0.0446,0.0441,0.0444,304900.88,2020-02-08 12:00:00
51,1581159600000,0.0442,0.0443,0.044,0.0441,123889.22,2020-02-08 11:00:00
52,1581156000000,0.0444,0.0447,0.0441,0.0444,144823.25,2020-02-08 10:00:00
53,1581152400000,0.0445,0.0448,0.0441,0.0445,239606.62,2020-02-08 09:00:00
54,1581148800000,0.0442,0.0446,0.044,0.0446,77586.81,2020-02-08 08:00:00
55,1581145200000,0.0439,0.0443,0.0434,0.0443,246258.74,2020-02-08 07:00:00
56,1581141600000,0.0441,0.0443,0.0438,0.0438,74637.9,2020-02-08 06:00:00
57,1581138000000,0.0437,0.0442,0.0435,0.044,508432.58,2020-02-08 05:00:00
