,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.297e-05,2.318e-05,2.296e-05,2.314e-05,5395.0,2020-02-10 15:00:00
1,1581343200000,2.294e-05,2.309e-05,2.285e-05,2.309e-05,2596.0,2020-02-10 14:00:00
2,1581339600000,2.295e-05,2.306e-05,2.281e-05,2.294e-05,15419.0,2020-02-10 13:00:00
3,1581336000000,2.277e-05,2.295e-05,2.275e-05,2.295e-05,5478.0,2020-02-10 12:00:00
4,1581332400000,2.292e-05,2.292e-05,2.275e-05,2.277e-05,6943.0,2020-02-10 11:00:00
5,1581328800000,2.282e-05,2.314e-05,2.282e-05,2.292e-05,16022.0,2020-02-10 10:00:00
6,1581325200000,2.313e-05,2.314e-05,2.263e-05,2.281e-05,38970.0,2020-02-10 09:00:00
7,1581321600000,2.313e-05,2.326e-05,2.299e-05,2.299e-05,2917.0,2020-02-10 08:00:00
8,1581318000000,2.31e-05,2.326e-05,2.3e-05,2.326e-05,17642.0,2020-02-10 07:00:00
9,1581314400000,2.316e-05,2.325e-05,2.301e-05,2.309e-05,6019.0,2020-02-10 06:00:00
10,1581310800000,2.326e-05,2.326e-05,2.3e-05,2.326e-05,9088.0,2020-02-10 05:00:00
11,1581307200000,2.322e-05,2.331e-05,2.31e-05,2.331e-05,4819.0,2020-02-10 04:00:00
12,1581303600000,2.325e-05,2.352e-05,2.323e-05,2.324e-05,8502.0,2020-02-10 03:00:00
13,1581300000000,2.331e-05,2.338e-05,2.313e-05,2.313e-05,8610.0,2020-02-10 02:00:00
14,1581296400000,2.345e-05,2.353e-05,2.326e-05,2.327e-05,5426.0,2020-02-10 01:00:00
15,1581292800000,2.334e-05,2.353e-05,2.32e-05,2.343e-05,18889.0,2020-02-10 00:00:00
16,1581289200000,2.325e-05,2.334e-05,2.325e-05,2.333e-05,1462.0,2020-02-09 23:00:00
17,1581285600000,2.322e-05,2.355e-05,2.322e-05,2.346e-05,17350.0,2020-02-09 22:00:00
18,1581282000000,2.325e-05,2.341e-05,2.322e-05,2.322e-05,33310.0,2020-02-09 21:00:00
19,1581278400000,2.314e-05,2.352e-05,2.302e-05,2.325e-05,40115.0,2020-02-09 20:00:00
20,1581274800000,2.316e-05,2.316e-05,2.299e-05,2.302e-05,5222.0,2020-02-09 19:00:00
21,1581271200000,2.29e-05,2.323e-05,2.288e-05,2.323e-05,20514.0,2020-02-09 18:00:00
22,1581267600000,2.301e-05,2.31e-05,2.289e-05,2.295e-05,9552.0,2020-02-09 17:00:00
23,1581264000000,2.315e-05,2.315e-05,2.295e-05,2.301e-05,14597.0,2020-02-09 16:00:00
24,1581260400000,2.323e-05,2.333e-05,2.3e-05,2.32e-05,16830.0,2020-02-09 15:00:00
25,1581256800000,2.32e-05,2.333e-05,2.302e-05,2.317e-05,26617.0,2020-02-09 14:00:00
26,1581253200000,2.3e-05,2.331e-05,2.292e-05,2.331e-05,22129.0,2020-02-09 13:00:00
27,1581249600000,2.28e-05,2.3e-05,2.28e-05,2.292e-05,8358.0,2020-02-09 12:00:00
28,1581246000000,2.271e-05,2.28e-05,2.266e-05,2.274e-05,5724.0,2020-02-09 11:00:00
29,1581242400000,2.264e-05,2.286e-05,2.261e-05,2.265e-05,7826.0,2020-02-09 10:00:00
30,1581238800000,2.278e-05,2.279e-05,2.258e-05,2.263e-05,2874.0,2020-02-09 09:00:00
