,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,9.66e-06,9.76e-06,9.62e-06,9.63e-06,60010.0,2020-02-10 15:00:00
1,1581343200000,9.52e-06,9.7e-06,9.45e-06,9.7e-06,151099.0,2020-02-10 14:00:00
2,1581339600000,9.6e-06,9.78e-06,9.41e-06,9.52e-06,347850.0,2020-02-10 13:00:00
3,1581336000000,9.32e-06,9.96e-06,9.32e-06,9.63e-06,720726.0,2020-02-10 12:00:00
4,1581332400000,9.37e-06,9.41e-06,9.28e-06,9.32e-06,89317.0,2020-02-10 11:00:00
5,1581328800000,9.32e-06,9.4e-06,9.27e-06,9.36e-06,103044.0,2020-02-10 10:00:00
6,1581325200000,9.52e-06,9.56e-06,9.19e-06,9.33e-06,278153.0,2020-02-10 09:00:00
7,1581321600000,9.57e-06,9.61e-06,9.44e-06,9.53e-06,116899.0,2020-02-10 08:00:00
8,1581318000000,9.6e-06,9.61e-06,9.44e-06,9.55e-06,184315.0,2020-02-10 07:00:00
9,1581314400000,9.58e-06,9.7e-06,9.43e-06,9.59e-06,312374.0,2020-02-10 06:00:00
10,1581310800000,9.48e-06,9.94e-06,9.46e-06,9.58e-06,912084.0,2020-02-10 05:00:00
11,1581307200000,9.57e-06,1.017e-05,9.31e-06,9.45e-06,3524810.0,2020-02-10 04:00:00
12,1581303600000,9.67e-06,9.7e-06,9.56e-06,9.56e-06,65086.0,2020-02-10 03:00:00
13,1581300000000,9.53e-06,9.7e-06,9.42e-06,9.67e-06,132776.0,2020-02-10 02:00:00
14,1581296400000,9.6e-06,9.63e-06,9.54e-06,9.55e-06,146776.0,2020-02-10 01:00:00
15,1581292800000,9.86e-06,9.86e-06,9.56e-06,9.62e-06,233282.0,2020-02-10 00:00:00
16,1581289200000,9.77e-06,9.9e-06,9.7e-06,9.9e-06,131712.0,2020-02-09 23:00:00
17,1581285600000,9.74e-06,9.79e-06,9.67e-06,9.74e-06,103435.0,2020-02-09 22:00:00
18,1581282000000,9.64e-06,9.8e-06,9.63e-06,9.75e-06,226198.0,2020-02-09 21:00:00
19,1581278400000,9.77e-06,9.78e-06,9.6e-06,9.62e-06,123386.0,2020-02-09 20:00:00
20,1581274800000,9.71e-06,9.79e-06,9.63e-06,9.78e-06,164566.0,2020-02-09 19:00:00
21,1581271200000,9.67e-06,9.73e-06,9.61e-06,9.71e-06,104926.0,2020-02-09 18:00:00
22,1581267600000,9.59e-06,9.8e-06,9.56e-06,9.67e-06,485904.0,2020-02-09 17:00:00
23,1581264000000,9.36e-06,9.68e-06,9.19e-06,9.59e-06,491333.0,2020-02-09 16:00:00
24,1581260400000,9.41e-06,9.42e-06,9.13e-06,9.37e-06,352624.0,2020-02-09 15:00:00
