,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.1981,0.1982,0.195,0.1962,1178.44,2020-02-10 15:00:00
1,1581343200000,0.194,0.1982,0.1936,0.1975,5464.63,2020-02-10 14:00:00
2,1581339600000,0.1946,0.1947,0.1908,0.1937,10172.94,2020-02-10 13:00:00
3,1581336000000,0.1956,0.1964,0.1927,0.1948,3687.14,2020-02-10 12:00:00
4,1581332400000,0.1948,0.1976,0.1944,0.1957,7022.24,2020-02-10 11:00:00
5,1581328800000,0.1961,0.1997,0.1945,0.1949,8375.14,2020-02-10 10:00:00
6,1581325200000,0.1923,0.1973,0.1915,0.196,11535.56,2020-02-10 09:00:00
7,1581321600000,0.1963,0.1963,0.1868,0.1917,31591.68,2020-02-10 08:00:00
8,1581318000000,0.1975,0.1983,0.1954,0.1966,4553.2,2020-02-10 07:00:00
9,1581314400000,0.2061,0.2069,0.1952,0.1975,42792.08,2020-02-10 06:00:00
10,1581310800000,0.2047,0.2071,0.204,0.2058,3715.88,2020-02-10 05:00:00
11,1581307200000,0.2039,0.2049,0.2016,0.2049,4567.09,2020-02-10 04:00:00
12,1581303600000,0.2061,0.2061,0.2031,0.2037,8573.01,2020-02-10 03:00:00
13,1581300000000,0.2046,0.2078,0.2046,0.2062,5364.87,2020-02-10 02:00:00
14,1581296400000,0.2059,0.2059,0.203,0.2044,4202.02,2020-02-10 01:00:00
15,1581292800000,0.2059,0.208,0.2052,0.206,1984.95,2020-02-10 00:00:00
16,1581289200000,0.2092,0.2094,0.2053,0.2059,11788.55,2020-02-09 23:00:00
17,1581285600000,0.2056,0.2092,0.2056,0.2092,2888.15,2020-02-09 22:00:00
18,1581282000000,0.2058,0.207,0.2047,0.2054,1872.18,2020-02-09 21:00:00
19,1581278400000,0.208,0.208,0.2052,0.2064,1924.94,2020-02-09 20:00:00
20,1581274800000,0.2086,0.2099,0.2067,0.2085,1295.9,2020-02-09 19:00:00
21,1581271200000,0.2076,0.2094,0.2066,0.2091,792.44,2020-02-09 18:00:00
22,1581267600000,0.2079,0.2089,0.2061,0.2074,2820.65,2020-02-09 17:00:00
23,1581264000000,0.2119,0.213,0.2069,0.2085,14424.11,2020-02-09 16:00:00
24,1581260400000,0.2138,0.2138,0.2112,0.2119,4941.38,2020-02-09 15:00:00
25,1581256800000,0.2151,0.2162,0.212,0.2137,3771.51,2020-02-09 14:00:00
26,1581253200000,0.2157,0.2166,0.2144,0.2149,1606.6,2020-02-09 13:00:00
27,1581249600000,0.216,0.2177,0.215,0.2153,1293.95,2020-02-09 12:00:00
28,1581246000000,0.2169,0.2169,0.215,0.216,6405.78,2020-02-09 11:00:00
29,1581242400000,0.2157,0.2177,0.2155,0.2169,893.31,2020-02-09 10:00:00
30,1581238800000,0.2169,0.2172,0.2151,0.2151,2303.23,2020-02-09 09:00:00
31,1581235200000,0.215,0.2178,0.2146,0.2173,6185.09,2020-02-09 08:00:00
32,1581231600000,0.2112,0.216,0.2112,0.215,5612.41,2020-02-09 07:00:00
33,1581228000000,0.2124,0.2124,0.2108,0.2114,1861.47,2020-02-09 06:00:00
34,1581224400000,0.2111,0.2124,0.2104,0.2123,2529.08,2020-02-09 05:00:00
35,1581220800000,0.2113,0.2131,0.2088,0.2112,5737.39,2020-02-09 04:00:00
36,1581217200000,0.2216,0.2218,0.2113,0.2113,13548.4,2020-02-09 03:00:00
37,1581210000000,0.2186,0.222,0.2181,0.2215,1907.5,2020-02-09 01:00:00
38,1581206400000,0.2186,0.2194,0.2173,0.2187,752.82,2020-02-09 00:00:00
39,1581202800000,0.2195,0.2198,0.2185,0.2191,227.29,2020-02-08 23:00:00
40,1581199200000,0.22,0.22,0.219,0.2195,156.76,2020-02-08 22:00:00
41,1581195600000,0.2209,0.2211,0.2191,0.22,541.45,2020-02-08 21:00:00
42,1581192000000,0.2216,0.2216,0.2201,0.2203,358.8,2020-02-08 20:00:00
43,1581188400000,0.2208,0.2218,0.2208,0.2216,614.46,2020-02-08 19:00:00
44,1581184800000,0.2218,0.2224,0.22,0.2211,1293.34,2020-02-08 18:00:00
45,1581181200000,0.2203,0.2219,0.219,0.2216,2616.07,2020-02-08 17:00:00
46,1581177600000,0.2198,0.2203,0.219,0.22,935.82,2020-02-08 16:00:00
47,1581174000000,0.2205,0.221,0.2194,0.2199,1404.36,2020-02-08 15:00:00
48,1581170400000,0.2193,0.2212,0.2193,0.2203,4081.07,2020-02-08 14:00:00
49,1581166800000,0.218,0.2204,0.2168,0.2192,6359.59,2020-02-08 13:00:00
50,1581163200000,0.2183,0.2187,0.2173,0.2174,612.23,2020-02-08 12:00:00
51,1581159600000,0.2156,0.2183,0.2156,0.2183,1124.56,2020-02-08 11:00:00
52,1581156000000,0.2169,0.2174,0.2155,0.2158,1621.04,2020-02-08 10:00:00
53,1581152400000,0.2153,0.2176,0.2141,0.2163,1838.35,2020-02-08 09:00:00
54,1581148800000,0.213,0.2179,0.213,0.2153,12348.05,2020-02-08 08:00:00
55,1581145200000,0.212,0.2139,0.212,0.2127,3277.3,2020-02-08 07:00:00
56,1581141600000,0.2095,0.2119,0.2091,0.2119,897.65,2020-02-08 06:00:00
57,1581138000000,0.2119,0.2127,0.2095,0.2096,2228.48,2020-02-08 05:00:00
58,1581134400000,0.2103,0.2121,0.2098,0.2118,3396.57,2020-02-08 04:00:00
59,1581130800000,0.2124,0.2134,0.2102,0.2102,3520.95,2020-02-08 03:00:00
60,1581127200000,0.2113,0.2125,0.2101,0.2123,4267.74,2020-02-08 02:00:00
61,1581123600000,0.2126,0.216,0.2109,0.211,12888.46,2020-02-08 01:00:00
62,1581120000000,0.208,0.2128,0.2078,0.2128,3949.68,2020-02-08 00:00:00
63,1581116400000,0.2077,0.2082,0.2069,0.2078,610.54,2020-02-07 23:00:00
64,1581112800000,0.2072,0.2089,0.2072,0.2078,1102.25,2020-02-07 22:00:00
65,1581109200000,0.2061,0.2072,0.2061,0.2072,145.14,2020-02-07 21:00:00
66,1581105600000,0.2047,0.2071,0.2047,0.2063,1435.49,2020-02-07 20:00:00
67,1581102000000,0.2092,0.2094,0.2047,0.2047,7466.86,2020-02-07 19:00:00
68,1581098400000,0.2094,0.2105,0.2089,0.2091,522.0,2020-02-07 18:00:00
69,1581094800000,0.21,0.2104,0.2083,0.2094,4364.63,2020-02-07 17:00:00
70,1581091200000,0.2095,0.2107,0.2088,0.2103,8944.37,2020-02-07 16:00:00
