,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.951,4.9516,4.951,4.951,698.0,2020-02-10 15:00:00
1,1581343200000,4.846,4.9143,4.846,4.9143,420.98,2020-02-10 14:00:00
2,1581339600000,4.7724,4.8125,4.7723,4.8125,25.63,2020-02-10 13:00:00
3,1581336000000,4.7521,4.7521,4.7521,4.7521,0.0,2020-02-10 12:00:00
4,1581332400000,4.7521,4.7521,4.7521,4.7521,11.0,2020-02-10 11:00:00
5,1581328800000,4.7947,4.7947,4.7947,4.7947,32.77,2020-02-10 10:00:00
6,1581325200000,4.7665,4.7833,4.7377,4.7833,937.77,2020-02-10 09:00:00
7,1581321600000,4.8445,4.8445,4.8208,4.8208,999.38,2020-02-10 08:00:00
8,1581318000000,4.8855,4.8898,4.8652,4.8652,1193.55,2020-02-10 07:00:00
9,1581314400000,4.8535,4.8937,4.8535,4.8937,140.0,2020-02-10 06:00:00
10,1581310800000,4.9116,4.9116,4.808,4.8532,507.46,2020-02-10 05:00:00
11,1581307200000,4.8304,4.8896,4.7965,4.8896,2138.14,2020-02-10 04:00:00
12,1581303600000,4.9212,4.9212,4.8549,4.8892,360.79,2020-02-10 03:00:00
13,1581300000000,4.956,4.956,4.956,4.956,18.37,2020-02-10 02:00:00
14,1581296400000,4.9677,4.9808,4.9364,4.9364,150.1,2020-02-10 01:00:00
15,1581292800000,5.0218,5.0502,5.0,5.0,445.38,2020-02-10 00:00:00
16,1581289200000,4.977,4.9951,4.9768,4.9842,1348.66,2020-02-09 23:00:00
17,1581285600000,4.9613,4.9862,4.9613,4.9862,10.0,2020-02-09 22:00:00
18,1581282000000,4.94,4.947,4.94,4.947,65.49,2020-02-09 21:00:00
19,1581278400000,4.9315,4.9315,4.9122,4.9122,91.39,2020-02-09 20:00:00
20,1581274800000,4.9239,4.9591,4.9239,4.9455,155.06,2020-02-09 19:00:00
21,1581271200000,4.9367,4.9367,4.9192,4.9192,135.29,2020-02-09 18:00:00
22,1581267600000,4.9869,4.9869,4.9448,4.9448,206.82,2020-02-09 17:00:00
23,1581264000000,4.9372,4.9372,4.9372,4.9372,21.23,2020-02-09 16:00:00
24,1581260400000,4.8604,4.901,4.8305,4.901,885.58,2020-02-09 15:00:00
25,1581256800000,4.9095,4.9095,4.879,4.879,33.81,2020-02-09 14:00:00
26,1581253200000,4.9436,4.9436,4.9279,4.9279,330.27,2020-02-09 13:00:00
27,1581249600000,4.9906,4.9906,4.9591,4.9591,37.89,2020-02-09 12:00:00
28,1581246000000,4.9355,4.95,4.9355,4.95,172.18,2020-02-09 11:00:00
