,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.9218,4.9557,4.9136,4.9144,13884.55,2020-02-10 15:00:00
1,1581343200000,4.8469,4.9165,4.8335,4.9157,1737.13,2020-02-10 14:00:00
2,1581339600000,4.8218,4.8384,4.8189,4.8384,1052.57,2020-02-10 13:00:00
3,1581336000000,4.7637,4.8111,4.7632,4.8111,19312.77,2020-02-10 12:00:00
4,1581332400000,4.7802,4.7802,4.748,4.7761,970.98,2020-02-10 11:00:00
5,1581328800000,4.7787,4.7996,4.7691,4.7891,6113.01,2020-02-10 10:00:00
6,1581325200000,4.7972,4.818,4.7318,4.7837,2504.95,2020-02-10 09:00:00
7,1581321600000,4.8734,4.88,4.795,4.7952,4058.42,2020-02-10 08:00:00
8,1581318000000,4.8623,4.896,4.8559,4.8733,2689.92,2020-02-10 07:00:00
9,1581314400000,4.865,4.9152,4.843,4.8578,1780.59,2020-02-10 06:00:00
10,1581310800000,4.9,4.9113,4.795,4.8291,678.62,2020-02-10 05:00:00
11,1581307200000,4.8563,4.865,4.7893,4.865,6162.42,2020-02-10 04:00:00
12,1581303600000,4.9445,4.9445,4.8553,4.8771,19620.58,2020-02-10 03:00:00
13,1581300000000,4.9279,4.9592,4.9244,4.9506,10258.74,2020-02-10 02:00:00
14,1581296400000,4.975,4.975,4.9232,4.9378,484.89,2020-02-10 01:00:00
15,1581292800000,5.0168,5.0519,4.9889,5.0026,3133.47,2020-02-10 00:00:00
16,1581289200000,4.9768,5.0145,4.9768,5.0145,6088.7,2020-02-09 23:00:00
17,1581285600000,4.9171,4.9888,4.9171,4.9888,1393.77,2020-02-09 22:00:00
18,1581282000000,4.9015,4.9412,4.9015,4.9258,413.01,2020-02-09 21:00:00
19,1581278400000,4.9315,4.9315,4.9073,4.9073,641.95,2020-02-09 20:00:00
20,1581274800000,4.9459,4.956,4.9459,4.956,130.32,2020-02-09 19:00:00
21,1581271200000,4.9468,4.9468,4.9215,4.946,885.46,2020-02-09 18:00:00
22,1581267600000,4.9642,4.9819,4.9468,4.9468,960.22,2020-02-09 17:00:00
23,1581264000000,4.9555,4.9888,4.951,4.9537,6289.81,2020-02-09 16:00:00
24,1581260400000,4.9053,4.9444,4.8366,4.9444,5905.49,2020-02-09 15:00:00
25,1581256800000,4.9397,4.9446,4.8193,4.8999,9727.2,2020-02-09 14:00:00
26,1581253200000,4.9685,4.9689,4.9255,4.9426,2202.44,2020-02-09 13:00:00
27,1581249600000,4.9906,4.9963,4.951,4.9679,369.5,2020-02-09 12:00:00
28,1581246000000,4.9603,4.9775,4.9306,4.9676,2567.64,2020-02-09 11:00:00
29,1581242400000,4.9507,4.9603,4.938,4.9603,164.73,2020-02-09 10:00:00
30,1581238800000,4.9521,4.9839,4.9415,4.9463,1300.17,2020-02-09 09:00:00
31,1581235200000,5.0184,5.0255,4.9611,4.9611,5039.35,2020-02-09 08:00:00
32,1581231600000,4.94,5.0487,4.94,5.0487,4265.83,2020-02-09 07:00:00
33,1581228000000,4.9359,4.9508,4.9359,4.9456,238.97,2020-02-09 06:00:00
34,1581224400000,4.9364,4.95,4.9094,4.95,2380.17,2020-02-09 05:00:00
35,1581220800000,4.9395,4.9403,4.9098,4.9098,1544.18,2020-02-09 04:00:00
36,1581217200000,4.9188,4.951,4.8997,4.9402,5699.52,2020-02-09 03:00:00
37,1581210000000,4.8454,4.9261,4.8454,4.9261,4485.38,2020-02-09 01:00:00
