,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,4.9168,4.9578,4.9094,4.9315,259789.69,2020-02-10 15:00:00
1,1581343200000,4.8308,4.9204,4.8236,4.9172,377762.35,2020-02-10 14:00:00
2,1581339600000,4.8239,4.85,4.8102,4.8312,496896.21,2020-02-10 13:00:00
3,1581336000000,4.7857,4.8247,4.7648,4.822,304768.89,2020-02-10 12:00:00
4,1581332400000,4.8001,4.8055,4.7489,4.7859,325156.56,2020-02-10 11:00:00
5,1581328800000,4.79,4.8183,4.7623,4.8001,425999.21,2020-02-10 10:00:00
6,1581325200000,4.8078,4.8137,4.7373,4.7901,837082.84,2020-02-10 09:00:00
7,1581321600000,4.8631,4.875,4.7861,4.8084,563923.23,2020-02-10 08:00:00
8,1581318000000,4.8684,4.8955,4.8444,4.8643,302156.17,2020-02-10 07:00:00
9,1581314400000,4.8284,4.9188,4.814,4.8696,776228.94,2020-02-10 06:00:00
10,1581310800000,4.8761,4.9186,4.7674,4.8284,489090.91,2020-02-10 05:00:00
11,1581307200000,4.8711,4.8938,4.801,4.8774,591866.64,2020-02-10 04:00:00
12,1581303600000,4.9527,4.9527,4.8472,4.8706,967233.97,2020-02-10 03:00:00
13,1581300000000,4.9344,4.9669,4.918,4.9526,268849.15,2020-02-10 02:00:00
14,1581296400000,4.9967,4.9978,4.9123,4.9359,388762.84,2020-02-10 01:00:00
15,1581292800000,5.0068,5.045,4.9822,4.9999,349156.93,2020-02-10 00:00:00
16,1581289200000,4.9825,5.0143,4.9711,5.0111,231268.28,2020-02-09 23:00:00
17,1581285600000,4.9237,4.9897,4.923,4.9816,120858.6,2020-02-09 22:00:00
18,1581282000000,4.91,4.9458,4.9039,4.9236,101987.15,2020-02-09 21:00:00
19,1581278400000,4.9466,4.9501,4.891,4.9125,140638.65,2020-02-09 20:00:00
20,1581274800000,4.9332,4.959,4.9282,4.9437,82993.14,2020-02-09 19:00:00
21,1581271200000,4.9356,4.9493,4.9152,4.929,245382.59,2020-02-09 18:00:00
22,1581267600000,4.9501,4.987,4.9346,4.9357,280769.59,2020-02-09 17:00:00
23,1581264000000,4.9358,4.9844,4.9327,4.9531,298528.41,2020-02-09 16:00:00
24,1581260400000,4.9014,4.9481,4.835,4.9354,658791.09,2020-02-09 15:00:00
25,1581256800000,4.9279,4.9591,4.863,4.9009,531518.61,2020-02-09 14:00:00
26,1581253200000,4.958,4.9721,4.918,4.9286,293096.86,2020-02-09 13:00:00
27,1581249600000,4.9675,5.01,4.9464,4.9548,408838.37,2020-02-09 12:00:00
28,1581246000000,4.9797,4.9868,4.9291,4.9675,336123.59,2020-02-09 11:00:00
29,1581242400000,4.9474,4.985,4.926,4.9816,303484.3,2020-02-09 10:00:00
30,1581238800000,4.9749,5.0005,4.9391,4.9478,422432.82,2020-02-09 09:00:00
31,1581235200000,5.0129,5.0257,4.957,4.9775,699328.94,2020-02-09 08:00:00
32,1581231600000,4.9318,5.0463,4.9296,5.0153,1051293.06,2020-02-09 07:00:00
33,1581228000000,4.9467,4.949,4.9269,4.9321,149474.24,2020-02-09 06:00:00
34,1581224400000,4.9295,4.95,4.902,4.9488,258293.28,2020-02-09 05:00:00
35,1581220800000,4.9417,4.9475,4.9045,4.9272,350861.35,2020-02-09 04:00:00
36,1581217200000,4.9024,4.9532,4.898,4.9417,733891.61,2020-02-09 03:00:00
37,1581210000000,4.8456,4.9068,4.8178,4.9003,332200.39,2020-02-09 01:00:00
38,1581206400000,4.7635,4.8541,4.7606,4.8434,228481.53,2020-02-09 00:00:00
39,1581202800000,4.7873,4.7982,4.762,4.762,49956.08,2020-02-08 23:00:00
40,1581199200000,4.7834,4.7913,4.757,4.7885,93065.96,2020-02-08 22:00:00
41,1581195600000,4.7972,4.8153,4.772,4.7841,89598.6,2020-02-08 21:00:00
42,1581192000000,4.8141,4.8141,4.7939,4.7988,80792.86,2020-02-08 20:00:00
43,1581188400000,4.8001,4.821,4.796,4.814,101476.39,2020-02-08 19:00:00
44,1581184800000,4.7842,4.8012,4.7716,4.7967,99765.06,2020-02-08 18:00:00
45,1581181200000,4.801,4.8185,4.7642,4.7808,227542.61,2020-02-08 17:00:00
46,1581177600000,4.7677,4.804,4.756,4.8007,295175.42,2020-02-08 16:00:00
