,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.4763,0.4763,0.4695,0.4706,771.25,2020-02-10 15:00:00
1,1581343200000,0.4743,0.481,0.4724,0.4776,842.1,2020-02-10 14:00:00
2,1581339600000,0.482,0.482,0.4688,0.4724,1959.65,2020-02-10 13:00:00
3,1581336000000,0.4859,0.4921,0.4793,0.485,3189.27,2020-02-10 12:00:00
4,1581332400000,0.4797,0.4884,0.4778,0.4854,1271.66,2020-02-10 11:00:00
5,1581328800000,0.4799,0.4883,0.4778,0.4798,619.58,2020-02-10 10:00:00
6,1581325200000,0.4669,0.4804,0.4669,0.4789,2994.15,2020-02-10 09:00:00
7,1581321600000,0.4735,0.4735,0.4538,0.4654,1170.88,2020-02-10 08:00:00
8,1581318000000,0.4686,0.4827,0.4662,0.4744,907.23,2020-02-10 07:00:00
9,1581314400000,0.4891,0.4891,0.4638,0.4686,3272.06,2020-02-10 06:00:00
10,1581310800000,0.4816,0.4883,0.4805,0.4883,88.04,2020-02-10 05:00:00
11,1581307200000,0.4827,0.4848,0.4798,0.4848,36.74,2020-02-10 04:00:00
12,1581303600000,0.4799,0.4822,0.4775,0.4809,81.44,2020-02-10 03:00:00
13,1581300000000,0.4782,0.4844,0.4768,0.4804,310.74,2020-02-10 02:00:00
14,1581296400000,0.4795,0.4795,0.4758,0.4762,224.48,2020-02-10 01:00:00
15,1581292800000,0.4809,0.483,0.4745,0.4791,700.5,2020-02-10 00:00:00
16,1581289200000,0.4903,0.493,0.4798,0.4799,355.51,2020-02-09 23:00:00
17,1581285600000,0.4817,0.4903,0.4817,0.4903,359.52,2020-02-09 22:00:00
18,1581282000000,0.4829,0.4834,0.4784,0.4828,116.54,2020-02-09 21:00:00
19,1581278400000,0.4829,0.484,0.4812,0.4824,261.16,2020-02-09 20:00:00
20,1581274800000,0.4896,0.49,0.4816,0.4823,354.48,2020-02-09 19:00:00
21,1581271200000,0.4838,0.4898,0.482,0.4886,401.11,2020-02-09 18:00:00
22,1581267600000,0.4871,0.4873,0.4794,0.4819,722.37,2020-02-09 17:00:00
23,1581264000000,0.4976,0.4979,0.4819,0.4873,2819.16,2020-02-09 16:00:00
24,1581260400000,0.5018,0.505,0.4946,0.4979,1261.93,2020-02-09 15:00:00
25,1581256800000,0.5092,0.5106,0.5015,0.5015,213.27,2020-02-09 14:00:00
26,1581253200000,0.5098,0.5113,0.5053,0.5053,370.64,2020-02-09 13:00:00
27,1581249600000,0.5091,0.5136,0.509,0.511,1805.15,2020-02-09 12:00:00
28,1581246000000,0.5124,0.5134,0.5096,0.5106,182.08,2020-02-09 11:00:00
29,1581242400000,0.5113,0.5153,0.5113,0.5146,80.53,2020-02-09 10:00:00
30,1581238800000,0.5111,0.5139,0.5077,0.5095,425.04,2020-02-09 09:00:00
