,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,223.22,224.89,223.22,223.87,304.38404,2020-02-10 15:00:00
1,1581343200000,219.23,223.98,219.01,223.33,497.54892,2020-02-10 14:00:00
2,1581339600000,220.0,220.52,219.22,219.39,228.99809,2020-02-10 13:00:00
3,1581336000000,218.1,219.97,217.21,219.97,108.41135,2020-02-10 12:00:00
4,1581332400000,219.98,219.98,216.74,218.05,245.32229,2020-02-10 11:00:00
5,1581328800000,218.9,220.27,217.94,219.77,89.0012,2020-02-10 10:00:00
6,1581325200000,221.22,221.22,216.67,218.59,463.85774,2020-02-10 09:00:00
7,1581321600000,223.71,223.87,220.14,221.42,331.57605,2020-02-10 08:00:00
8,1581318000000,223.26,224.48,222.93,223.87,201.24886,2020-02-10 07:00:00
9,1581314400000,220.76,224.89,220.76,223.26,477.40909,2020-02-10 06:00:00
10,1581310800000,224.28,225.35,219.45,220.61,472.00402,2020-02-10 05:00:00
11,1581307200000,225.3,225.3,222.07,224.46,194.76308,2020-02-10 04:00:00
12,1581303600000,226.62,226.66,224.8,225.67,157.21151,2020-02-10 03:00:00
13,1581300000000,227.0,227.39,225.71,226.67,74.69853,2020-02-10 02:00:00
14,1581296400000,228.8,228.91,226.93,227.14,145.5578,2020-02-10 01:00:00
15,1581292800000,228.79,229.64,227.7,228.97,531.17532,2020-02-10 00:00:00
16,1581289200000,227.91,228.79,227.64,228.79,207.14112,2020-02-09 23:00:00
17,1581285600000,225.51,227.75,225.51,227.75,47.13664,2020-02-09 22:00:00
18,1581282000000,224.69,225.91,224.69,225.3,41.74692,2020-02-09 21:00:00
19,1581278400000,226.54,226.64,224.28,224.89,440.76038,2020-02-09 20:00:00
20,1581274800000,226.12,227.66,226.12,226.73,122.20165,2020-02-09 19:00:00
21,1581271200000,226.93,226.93,225.84,226.32,93.64432,2020-02-09 18:00:00
22,1581267600000,227.55,228.97,226.66,226.66,459.9196,2020-02-09 17:00:00
23,1581264000000,227.14,228.09,226.25,227.61,104.16587,2020-02-09 16:00:00
24,1581260400000,226.53,227.24,224.04,226.93,260.96333,2020-02-09 15:00:00
25,1581256800000,227.14,228.31,225.43,226.32,183.09648,2020-02-09 14:00:00
26,1581253200000,228.69,228.92,226.73,227.34,170.12621,2020-02-09 13:00:00
27,1581249600000,228.36,229.19,228.36,228.57,267.84,2020-02-09 12:00:00
28,1581246000000,228.77,229.48,227.95,228.1,96.80073,2020-02-09 11:00:00
29,1581242400000,227.76,229.04,226.93,228.87,69.26844,2020-02-09 10:00:00
30,1581238800000,228.78,229.51,227.39,227.84,145.05787,2020-02-09 09:00:00
31,1581235200000,229.59,230.2,228.7,228.97,196.6517,2020-02-09 08:00:00
32,1581231600000,228.36,230.67,228.36,229.94,172.09787,2020-02-09 07:00:00
33,1581228000000,228.47,228.97,228.11,228.49,128.17654,2020-02-09 06:00:00
34,1581224400000,227.56,228.6,226.53,228.43,142.63078,2020-02-09 05:00:00
35,1581220800000,228.77,229.0,227.24,227.6,246.68953,2020-02-09 04:00:00
36,1581217200000,226.49,228.97,226.49,228.61,270.66121,2020-02-09 03:00:00
37,1581210000000,226.54,226.6,225.5,226.32,119.84971,2020-02-09 01:00:00
38,1581206400000,223.1,226.93,223.06,226.73,115.8967,2020-02-09 00:00:00
39,1581202800000,224.48,224.89,223.14,223.31,58.97887,2020-02-08 23:00:00
40,1581199200000,223.01,224.28,222.05,224.08,89.31427,2020-02-08 22:00:00
41,1581195600000,223.67,224.28,222.8,223.04,353.9458,2020-02-08 21:00:00
42,1581192000000,224.76,224.76,223.42,223.5,150.35563,2020-02-08 20:00:00
43,1581188400000,223.39,225.1,223.39,224.89,157.17131,2020-02-08 19:00:00
44,1581184800000,224.28,224.69,222.3,223.21,139.00448,2020-02-08 18:00:00
45,1581181200000,225.3,225.52,223.28,224.12,188.81465,2020-02-08 17:00:00
46,1581177600000,225.21,225.91,223.94,225.51,70.06306,2020-02-08 16:00:00
47,1581174000000,226.93,227.17,224.61,225.1,330.81414,2020-02-08 15:00:00
