,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,223.17,224.9,223.12,224.48,437.23191,2020-02-10 15:00:00
1,1581343200000,219.41,223.65,219.18,223.24,921.30562,2020-02-10 14:00:00
2,1581339600000,219.57,220.38,219.06,219.41,672.5534,2020-02-10 13:00:00
3,1581336000000,218.3,219.82,217.31,219.73,279.35173,2020-02-10 12:00:00
4,1581332400000,219.47,219.81,217.05,217.91,203.97147,2020-02-10 11:00:00
5,1581328800000,218.94,220.24,218.08,220.12,229.8835,2020-02-10 10:00:00
6,1581325200000,221.13,221.13,216.46,218.94,2278.51204,2020-02-10 09:00:00
7,1581321600000,223.83,223.83,220.06,221.15,1831.32979,2020-02-10 08:00:00
8,1581318000000,223.16,224.56,222.97,224.02,1511.30077,2020-02-10 07:00:00
9,1581314400000,220.8,224.78,220.39,223.13,1155.06029,2020-02-10 06:00:00
10,1581310800000,224.3,225.22,219.5,220.46,489.39589,2020-02-10 05:00:00
11,1581307200000,225.47,225.47,221.79,224.47,254.1953,2020-02-10 04:00:00
12,1581303600000,226.41,226.42,224.82,225.31,200.56882,2020-02-10 03:00:00
13,1581300000000,226.91,226.93,225.8,225.98,235.23557,2020-02-10 02:00:00
14,1581296400000,228.97,228.97,226.76,226.76,121.45909,2020-02-10 01:00:00
15,1581292800000,228.69,229.6,227.51,228.6,663.3018,2020-02-10 00:00:00
16,1581289200000,227.83,228.78,227.43,228.78,568.40643,2020-02-09 23:00:00
17,1581285600000,225.59,227.92,225.59,227.92,120.05403,2020-02-09 22:00:00
18,1581282000000,224.67,225.94,224.67,225.06,164.83576,2020-02-09 21:00:00
19,1581278400000,226.76,226.76,224.0,224.78,299.04944,2020-02-09 20:00:00
20,1581274800000,226.13,227.25,226.1,226.76,239.53355,2020-02-09 19:00:00
21,1581271200000,226.72,226.78,225.82,226.01,548.68242,2020-02-09 18:00:00
22,1581267600000,227.81,228.31,226.82,226.82,398.85166,2020-02-09 17:00:00
23,1581264000000,227.04,227.97,226.21,227.91,651.10184,2020-02-09 16:00:00
24,1581260400000,226.56,227.4,224.21,227.02,848.38024,2020-02-09 15:00:00
25,1581256800000,226.98,228.17,225.29,226.1,348.95399,2020-02-09 14:00:00
26,1581253200000,228.86,228.93,226.83,227.59,385.94673,2020-02-09 13:00:00
27,1581249600000,228.54,228.99,228.34,228.75,357.135,2020-02-09 12:00:00
28,1581246000000,228.74,229.48,227.79,227.95,578.7612,2020-02-09 11:00:00
29,1581242400000,227.98,229.0,227.04,228.74,542.67735,2020-02-09 10:00:00
30,1581238800000,228.86,229.12,227.73,228.05,262.11353,2020-02-09 09:00:00
31,1581235200000,229.77,230.3,228.55,228.67,714.09982,2020-02-09 08:00:00
32,1581231600000,228.57,230.86,228.37,229.77,593.0974,2020-02-09 07:00:00
33,1581228000000,228.66,229.14,228.18,228.6,692.99791,2020-02-09 06:00:00
34,1581224400000,227.69,228.68,226.63,228.57,245.83208,2020-02-09 05:00:00
35,1581220800000,228.69,229.0,227.38,227.92,712.03011,2020-02-09 04:00:00
36,1581217200000,226.39,229.05,226.09,228.69,602.56095,2020-02-09 03:00:00
37,1581210000000,226.51,226.53,225.53,226.23,734.76865,2020-02-09 01:00:00
38,1581206400000,223.09,226.82,223.09,226.61,689.35371,2020-02-09 00:00:00
39,1581202800000,224.47,224.82,223.29,223.29,229.93581,2020-02-08 23:00:00
40,1581199200000,223.12,224.07,222.12,223.98,588.87568,2020-02-08 22:00:00
41,1581195600000,223.73,224.17,222.98,222.98,366.11756,2020-02-08 21:00:00
42,1581192000000,224.72,224.72,223.5,223.66,229.14864,2020-02-08 20:00:00
43,1581188400000,223.45,225.04,223.3,224.93,386.99758,2020-02-08 19:00:00
44,1581184800000,224.17,224.5,222.58,223.18,338.7762,2020-02-08 18:00:00
45,1581181200000,225.29,225.41,223.47,223.72,317.04135,2020-02-08 17:00:00
46,1581177600000,225.42,225.91,223.98,225.47,243.01308,2020-02-08 16:00:00
47,1581174000000,226.93,227.18,224.71,224.71,260.79167,2020-02-08 15:00:00
48,1581170400000,225.59,227.08,225.48,226.6,331.69712,2020-02-08 14:00:00
49,1581166800000,226.04,227.76,223.62,225.77,707.27047,2020-02-08 13:00:00
50,1581163200000,226.26,226.94,225.31,225.81,814.60756,2020-02-08 12:00:00
51,1581159600000,225.06,226.4,224.99,226.06,205.62563,2020-02-08 11:00:00
52,1581156000000,224.61,227.51,224.61,225.96,802.74479,2020-02-08 10:00:00
53,1581152400000,225.08,226.0,223.1,224.0,1095.65073,2020-02-08 09:00:00
54,1581148800000,220.52,226.25,220.49,225.23,598.27458,2020-02-08 08:00:00
55,1581145200000,220.17,220.57,219.91,220.06,259.49617,2020-02-08 07:00:00
56,1581141600000,221.18,221.51,219.78,220.22,195.75139,2020-02-08 06:00:00
57,1581138000000,219.89,221.42,218.81,220.34,388.41677,2020-02-08 05:00:00
58,1581134400000,217.16,220.58,216.95,219.6,705.11803,2020-02-08 04:00:00
59,1581130800000,216.1,217.47,212.96,217.07,708.07095,2020-02-08 03:00:00
60,1581127200000,220.78,220.78,214.65,216.0,656.18894,2020-02-08 02:00:00
61,1581123600000,220.99,221.1,219.45,220.83,594.67241,2020-02-08 01:00:00
62,1581120000000,223.33,224.4,220.81,220.96,772.20403,2020-02-08 00:00:00
63,1581116400000,221.85,224.31,221.42,223.23,962.45253,2020-02-07 23:00:00
64,1581112800000,219.58,222.0,219.54,222.0,255.34375,2020-02-07 22:00:00
65,1581109200000,218.64,220.1,218.34,219.61,1445.89108,2020-02-07 21:00:00
66,1581105600000,221.22,221.22,219.0,219.32,784.34783,2020-02-07 20:00:00
67,1581102000000,221.85,221.94,220.72,221.2,262.06995,2020-02-07 19:00:00
68,1581098400000,220.33,222.0,220.32,221.93,213.64301,2020-02-07 18:00:00
69,1581094800000,221.45,221.69,220.5,220.5,434.63729,2020-02-07 17:00:00
70,1581091200000,221.67,222.57,219.47,221.18,1228.5705,2020-02-07 16:00:00
