,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,223.28,225.0,223.2,224.5,763.68844,2020-02-10 15:00:00
1,1581343200000,219.35,223.89,219.0,223.08,416.57616,2020-02-10 14:00:00
2,1581339600000,219.85,220.31,219.22,219.38,299.76871,2020-02-10 13:00:00
3,1581336000000,218.01,219.97,217.21,219.91,555.47929,2020-02-10 12:00:00
4,1581332400000,220.04,220.14,216.95,218.02,696.76814,2020-02-10 11:00:00
5,1581328800000,218.95,220.26,217.95,219.77,789.3231,2020-02-10 10:00:00
6,1581325200000,221.0,221.0,216.48,218.95,1288.88237,2020-02-10 09:00:00
7,1581321600000,224.09,224.09,220.2,221.5,670.47843,2020-02-10 08:00:00
8,1581318000000,223.34,224.52,223.04,224.04,389.85875,2020-02-10 07:00:00
9,1581314400000,220.64,224.93,220.26,223.0,897.11121,2020-02-10 06:00:00
10,1581310800000,224.59,225.32,219.52,220.01,796.98249,2020-02-10 05:00:00
11,1581307200000,225.52,225.63,221.97,224.59,649.60658,2020-02-10 04:00:00
12,1581303600000,226.57,226.57,224.83,225.58,495.60739,2020-02-10 03:00:00
13,1581300000000,226.97,227.4,225.66,226.88,135.58442,2020-02-10 02:00:00
14,1581296400000,229.11,229.11,226.87,227.21,453.70137,2020-02-10 01:00:00
15,1581292800000,228.57,229.63,227.76,228.78,326.28901,2020-02-10 00:00:00
16,1581289200000,227.85,229.0,227.51,228.83,723.67432,2020-02-09 23:00:00
17,1581285600000,225.56,227.89,225.36,227.78,299.18688,2020-02-09 22:00:00
18,1581282000000,224.8,225.93,224.8,225.31,290.66425,2020-02-09 21:00:00
19,1581278400000,226.52,226.52,224.08,224.8,576.18067,2020-02-09 20:00:00
20,1581274800000,225.83,227.21,225.83,226.77,119.38417,2020-02-09 19:00:00
21,1581271200000,226.81,226.81,225.75,225.75,213.52533,2020-02-09 18:00:00
22,1581267600000,227.54,228.42,226.8,226.8,356.34362,2020-02-09 17:00:00
23,1581264000000,227.07,228.09,226.17,227.77,243.82532,2020-02-09 16:00:00
24,1581260400000,226.26,227.29,224.26,227.08,366.06681,2020-02-09 15:00:00
25,1581256800000,227.22,228.2,225.22,226.0,484.4469,2020-02-09 14:00:00
26,1581253200000,228.7,228.91,226.88,227.27,238.77499,2020-02-09 13:00:00
27,1581249600000,228.42,229.09,228.36,228.53,61.94375,2020-02-09 12:00:00
28,1581246000000,228.84,229.49,227.84,228.1,299.28374,2020-02-09 11:00:00
29,1581242400000,227.64,228.83,226.86,228.71,116.48559,2020-02-09 10:00:00
30,1581238800000,228.82,229.25,227.41,227.81,305.44778,2020-02-09 09:00:00
31,1581235200000,229.44,230.26,228.67,229.09,217.73489,2020-02-09 08:00:00
32,1581231600000,228.65,230.79,228.3,229.55,662.57944,2020-02-09 07:00:00
33,1581228000000,228.71,229.13,228.18,228.91,180.14614,2020-02-09 06:00:00
34,1581224400000,227.64,228.69,226.69,228.69,75.65418,2020-02-09 05:00:00
35,1581220800000,228.79,229.27,227.33,227.56,873.3002,2020-02-09 04:00:00
36,1581217200000,226.44,229.0,226.44,228.7,668.36524,2020-02-09 03:00:00
37,1581210000000,226.7,226.79,225.6,226.41,202.14174,2020-02-09 01:00:00
38,1581206400000,223.15,226.8,223.15,226.73,157.8106,2020-02-09 00:00:00
39,1581202800000,224.4,225.12,223.2,223.2,131.51112,2020-02-08 23:00:00
40,1581199200000,222.94,224.11,221.9,224.11,660.81366,2020-02-08 22:00:00
41,1581195600000,223.62,224.3,222.83,223.25,425.01888,2020-02-08 21:00:00
42,1581192000000,224.92,225.01,223.51,223.56,143.2973,2020-02-08 20:00:00
43,1581188400000,223.39,225.24,223.39,224.85,84.02499,2020-02-08 19:00:00
44,1581184800000,224.66,224.66,222.22,223.22,201.55604,2020-02-08 18:00:00
45,1581181200000,225.19,225.45,223.2,224.11,237.08648,2020-02-08 17:00:00
46,1581177600000,225.81,225.91,224.08,225.43,133.51344,2020-02-08 16:00:00
47,1581174000000,227.0,227.4,224.64,224.64,490.01551,2020-02-08 15:00:00
48,1581170400000,225.6,227.0,225.19,226.86,500.20484,2020-02-08 14:00:00
49,1581166800000,225.69,227.77,223.68,225.63,692.42655,2020-02-08 13:00:00
50,1581163200000,226.19,226.85,225.29,225.82,494.61017,2020-02-08 12:00:00
51,1581159600000,225.19,226.72,224.95,226.16,340.0408,2020-02-08 11:00:00
52,1581156000000,224.41,227.51,224.41,225.5,642.31348,2020-02-08 10:00:00
53,1581152400000,225.5,226.57,222.64,224.04,345.91375,2020-02-08 09:00:00
54,1581148800000,220.37,226.24,220.37,225.12,855.39001,2020-02-08 08:00:00
