,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,223.41,225.12,223.16,224.32,18120.52629,2020-02-10 15:00:00
1,1581343200000,219.6,223.8,219.06,223.41,28865.57978,2020-02-10 14:00:00
2,1581339600000,220.01,220.7,219.19,219.57,17527.86009,2020-02-10 13:00:00
3,1581336000000,218.58,220.15,217.6,219.95,20354.78117,2020-02-10 12:00:00
4,1581332400000,220.21,220.26,217.08,218.65,19250.63128,2020-02-10 11:00:00
5,1581328800000,219.13,220.46,218.14,220.16,23979.22532,2020-02-10 10:00:00
6,1581325200000,220.93,221.04,216.37,219.13,55779.70992,2020-02-10 09:00:00
7,1581321600000,223.64,223.87,219.71,220.94,33711.12805,2020-02-10 08:00:00
8,1581318000000,223.23,224.35,222.8,223.64,12500.29474,2020-02-10 07:00:00
9,1581314400000,220.83,225.16,220.33,223.22,38716.04459,2020-02-10 06:00:00
10,1581310800000,224.44,225.46,218.69,220.83,31461.33333,2020-02-10 05:00:00
11,1581307200000,225.41,225.76,222.0,224.43,29928.45685,2020-02-10 04:00:00
12,1581303600000,226.7,226.75,224.72,225.41,14705.5725,2020-02-10 03:00:00
13,1581300000000,226.92,227.35,225.62,226.71,14930.73453,2020-02-10 02:00:00
14,1581296400000,228.86,228.9,226.7,226.96,9036.26318,2020-02-10 01:00:00
15,1581292800000,228.53,229.4,227.32,228.86,17317.68611,2020-02-10 00:00:00
16,1581289200000,227.87,228.85,227.44,228.49,14507.28974,2020-02-09 23:00:00
17,1581285600000,225.49,227.92,225.49,227.89,8153.57785,2020-02-09 22:00:00
18,1581282000000,224.83,225.98,224.65,225.49,7274.04855,2020-02-09 21:00:00
19,1581278400000,226.78,226.85,224.19,224.84,11772.56905,2020-02-09 20:00:00
20,1581274800000,226.14,227.3,226.0,226.76,5979.73615,2020-02-09 19:00:00
21,1581271200000,226.56,226.9,225.68,226.13,8072.57827,2020-02-09 18:00:00
22,1581267600000,227.82,228.36,226.53,226.56,12051.5648,2020-02-09 17:00:00
23,1581264000000,226.83,228.16,226.0,227.83,19411.15049,2020-02-09 16:00:00
24,1581260400000,226.14,227.32,224.0,226.84,29847.81887,2020-02-09 15:00:00
25,1581256800000,227.21,228.18,225.27,226.18,17489.14238,2020-02-09 14:00:00
26,1581253200000,228.46,228.89,226.67,227.21,12933.72356,2020-02-09 13:00:00
27,1581249600000,228.1,229.13,228.09,228.45,8796.70955,2020-02-09 12:00:00
28,1581246000000,228.9,229.38,227.77,228.1,10693.20259,2020-02-09 11:00:00
29,1581242400000,227.9,229.05,226.82,228.9,11516.3007,2020-02-09 10:00:00
30,1581238800000,228.93,229.35,227.4,227.9,17568.66852,2020-02-09 09:00:00
31,1581235200000,229.66,230.18,228.45,228.99,21665.02896,2020-02-09 08:00:00
32,1581231600000,228.29,230.65,228.09,229.66,22112.8118,2020-02-09 07:00:00
33,1581228000000,228.4,228.93,227.85,228.3,11695.7067,2020-02-09 06:00:00
34,1581224400000,227.68,228.55,226.41,228.4,14493.58723,2020-02-09 05:00:00
35,1581220800000,228.56,229.0,227.18,227.72,18498.35134,2020-02-09 04:00:00
36,1581217200000,225.98,228.63,225.93,228.53,36470.59365,2020-02-09 03:00:00
37,1581210000000,226.51,226.52,225.02,225.98,11014.53774,2020-02-09 01:00:00
38,1581206400000,223.01,226.75,222.86,226.52,18317.5455,2020-02-09 00:00:00
39,1581202800000,223.93,224.9,223.01,223.05,6867.58482,2020-02-08 23:00:00
40,1581199200000,222.83,224.23,222.0,223.96,14746.54146,2020-02-08 22:00:00
41,1581195600000,223.42,224.31,222.56,222.83,10452.77355,2020-02-08 21:00:00
42,1581192000000,224.8,224.86,223.34,223.46,5416.58283,2020-02-08 20:00:00
43,1581188400000,223.25,225.14,223.21,224.8,9013.47869,2020-02-08 19:00:00
44,1581184800000,224.19,224.73,222.12,223.26,16351.46972,2020-02-08 18:00:00
45,1581181200000,225.36,225.5,223.22,224.19,15618.18956,2020-02-08 17:00:00
46,1581177600000,225.07,225.98,223.88,225.45,19591.26197,2020-02-08 16:00:00
47,1581174000000,226.82,227.13,224.4,225.1,19604.17588,2020-02-08 15:00:00
48,1581170400000,225.75,226.97,225.4,226.79,20447.60757,2020-02-08 14:00:00
49,1581166800000,225.69,227.75,223.57,225.74,33629.68296,2020-02-08 13:00:00
50,1581163200000,226.24,226.93,225.26,225.69,17422.77073,2020-02-08 12:00:00
51,1581159600000,225.27,226.74,224.74,226.18,20017.61234,2020-02-08 11:00:00
52,1581156000000,224.64,227.61,224.63,225.24,31279.08771,2020-02-08 10:00:00
53,1581152400000,225.11,226.56,222.61,224.6,34022.26628,2020-02-08 09:00:00
54,1581148800000,220.42,226.5,220.39,225.12,55821.1077,2020-02-08 08:00:00
55,1581145200000,220.29,221.0,220.0,220.45,11558.2187,2020-02-08 07:00:00
56,1581141600000,220.43,221.78,219.75,220.29,16349.98791,2020-02-08 06:00:00
57,1581138000000,219.97,221.71,218.75,220.43,24671.17556,2020-02-08 05:00:00
58,1581134400000,217.35,220.75,217.15,220.02,29457.57385,2020-02-08 04:00:00
59,1581130800000,216.6,217.82,213.22,217.32,45856.66345,2020-02-08 03:00:00
60,1581127200000,221.35,221.86,215.12,216.6,45079.60825,2020-02-08 02:00:00
61,1581123600000,221.19,221.55,219.59,221.36,20251.68108,2020-02-08 01:00:00
62,1581120000000,223.36,224.6,220.86,221.19,25024.77208,2020-02-08 00:00:00
63,1581116400000,222.26,224.26,221.64,223.33,14936.83753,2020-02-07 23:00:00
64,1581112800000,219.91,222.55,219.9,222.27,10383.98092,2020-02-07 22:00:00
65,1581109200000,219.13,220.77,218.64,219.91,13572.61441,2020-02-07 21:00:00
66,1581105600000,221.48,221.8,219.05,219.14,21309.12405,2020-02-07 20:00:00
