,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.04706,0.04749,0.04681,0.04745,1124801.0,2020-02-10 15:00:00
1,1581343200000,0.04665,0.04716,0.0466,0.0469,2878069.6,2020-02-10 14:00:00
2,1581339600000,0.04648,0.04716,0.04645,0.04681,985919.7,2020-02-10 13:00:00
3,1581336000000,0.04581,0.04648,0.04559,0.04647,1390056.8,2020-02-10 12:00:00
4,1581332400000,0.04636,0.04644,0.0456,0.0459,328028.2,2020-02-10 11:00:00
5,1581328800000,0.04583,0.04666,0.04561,0.04636,1257177.1,2020-02-10 10:00:00
6,1581325200000,0.04636,0.0475,0.04474,0.04582,4439560.8,2020-02-10 09:00:00
7,1581321600000,0.0474,0.04748,0.04566,0.0464,4417384.2,2020-02-10 08:00:00
8,1581318000000,0.04677,0.04743,0.04677,0.04726,980042.1,2020-02-10 07:00:00
9,1581314400000,0.04616,0.0476,0.04611,0.04675,6528065.4,2020-02-10 06:00:00
10,1581310800000,0.04714,0.04768,0.0461,0.04618,3282279.7,2020-02-10 05:00:00
11,1581307200000,0.04795,0.048,0.04702,0.04716,4540583.9,2020-02-10 04:00:00
12,1581303600000,0.04839,0.04854,0.04735,0.04791,2868220.3,2020-02-10 03:00:00
13,1581300000000,0.04906,0.04907,0.0475,0.04839,2585477.1,2020-02-10 02:00:00
14,1581296400000,0.04932,0.04947,0.04874,0.04906,1396430.9,2020-02-10 01:00:00
15,1581292800000,0.04945,0.04951,0.04867,0.04932,1307185.3,2020-02-10 00:00:00
16,1581289200000,0.04927,0.05,0.04924,0.04946,906768.3,2020-02-09 23:00:00
17,1581285600000,0.04935,0.04988,0.0492,0.04927,1052142.1,2020-02-09 22:00:00
18,1581282000000,0.04903,0.04963,0.04897,0.04919,543751.4,2020-02-09 21:00:00
19,1581278400000,0.0489,0.04956,0.04874,0.04894,808271.2,2020-02-09 20:00:00
20,1581274800000,0.04888,0.0492,0.04841,0.0489,756783.5,2020-02-09 19:00:00
21,1581271200000,0.04887,0.04909,0.0486,0.04889,434481.2,2020-02-09 18:00:00
22,1581267600000,0.04855,0.0493,0.04825,0.04887,1411283.9,2020-02-09 17:00:00
23,1581264000000,0.04843,0.04889,0.04809,0.04854,2273698.2,2020-02-09 16:00:00
24,1581260400000,0.0478,0.0489,0.04732,0.04863,2486308.1,2020-02-09 15:00:00
25,1581256800000,0.04684,0.04891,0.04684,0.04766,3405941.7,2020-02-09 14:00:00
26,1581253200000,0.04722,0.04735,0.04687,0.04688,703147.6,2020-02-09 13:00:00
27,1581249600000,0.04682,0.04732,0.04681,0.0472,1360601.6,2020-02-09 12:00:00
28,1581246000000,0.04675,0.04717,0.04663,0.04681,1323697.4,2020-02-09 11:00:00
29,1581242400000,0.04721,0.04722,0.04596,0.04672,3914471.0,2020-02-09 10:00:00
30,1581238800000,0.0473,0.04756,0.04711,0.04721,673851.3,2020-02-09 09:00:00
31,1581235200000,0.04689,0.04764,0.04683,0.04728,3621255.8,2020-02-09 08:00:00
32,1581231600000,0.04779,0.04788,0.04684,0.04689,3264747.3,2020-02-09 07:00:00
33,1581228000000,0.04655,0.04792,0.0465,0.0478,3491393.2,2020-02-09 06:00:00
34,1581224400000,0.04546,0.0468,0.04544,0.04653,2129967.8,2020-02-09 05:00:00
