,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.006305,0.006384,0.006302,0.006306,202.06,2020-02-10 15:00:00
1,1581343200000,0.006343,0.006539,0.006309,0.006311,2161.14,2020-02-10 14:00:00
2,1581339600000,0.006795,0.006795,0.006246,0.006303,6986.1,2020-02-10 13:00:00
3,1581336000000,0.006397,0.006877,0.006135,0.006754,14608.91,2020-02-10 12:00:00
4,1581332400000,0.006074,0.006399,0.006056,0.006346,4672.27,2020-02-10 11:00:00
5,1581328800000,0.00595,0.00633,0.0059,0.006097,3432.91,2020-02-10 10:00:00
6,1581325200000,0.005916,0.00598,0.005822,0.0059,1403.81,2020-02-10 09:00:00
7,1581321600000,0.005965,0.006015,0.005889,0.005889,429.35,2020-02-10 08:00:00
8,1581318000000,0.006055,0.006055,0.005914,0.006,1165.21,2020-02-10 07:00:00
9,1581314400000,0.00599,0.00615,0.005902,0.006015,8526.21,2020-02-10 06:00:00
10,1581310800000,0.005946,0.006425,0.005819,0.006009,5475.12,2020-02-10 05:00:00
11,1581307200000,0.005935,0.005935,0.005846,0.005933,12.15,2020-02-10 04:00:00
12,1581303600000,0.005974,0.005974,0.005848,0.005848,169.53,2020-02-10 03:00:00
13,1581300000000,0.005971,0.006014,0.00589,0.00596,1397.94,2020-02-10 02:00:00
14,1581296400000,0.005854,0.005971,0.005854,0.005971,167.6,2020-02-10 01:00:00
15,1581292800000,0.005816,0.005996,0.005816,0.005903,1605.33,2020-02-10 00:00:00
16,1581289200000,0.005794,0.005864,0.005785,0.005864,50.1,2020-02-09 23:00:00
17,1581285600000,0.005995,0.005996,0.005779,0.005779,202.1,2020-02-09 22:00:00
18,1581282000000,0.005834,0.005979,0.005735,0.005979,1643.75,2020-02-09 21:00:00
19,1581278400000,0.005836,0.00585,0.00572,0.005737,2245.53,2020-02-09 20:00:00
20,1581274800000,0.005862,0.005889,0.00575,0.00575,577.53,2020-02-09 19:00:00
21,1581271200000,0.005886,0.0062,0.005782,0.005873,6506.47,2020-02-09 18:00:00
22,1581267600000,0.005771,0.005949,0.00571,0.005949,3810.37,2020-02-09 17:00:00
23,1581264000000,0.005615,0.005889,0.0056,0.005858,715.66,2020-02-09 16:00:00
24,1581260400000,0.005763,0.005829,0.005564,0.005615,3702.58,2020-02-09 15:00:00
25,1581256800000,0.005335,0.005808,0.005335,0.005763,5921.23,2020-02-09 14:00:00
26,1581253200000,0.005343,0.005343,0.005335,0.005335,164.84,2020-02-09 13:00:00
27,1581249600000,0.005244,0.005414,0.005244,0.005404,835.3,2020-02-09 12:00:00
28,1581246000000,0.005175,0.005241,0.005175,0.005241,444.07,2020-02-09 11:00:00
29,1581242400000,0.005225,0.005225,0.005225,0.005225,1.13,2020-02-09 10:00:00
30,1581238800000,0.005232,0.005233,0.005232,0.005233,1.83,2020-02-09 09:00:00
31,1581235200000,0.00523,0.005233,0.00523,0.005233,1.9,2020-02-09 08:00:00
32,1581231600000,0.005206,0.005218,0.005206,0.005218,19.74,2020-02-09 07:00:00
33,1581228000000,0.00519,0.005281,0.005144,0.005195,182.37,2020-02-09 06:00:00
34,1581224400000,0.005152,0.00519,0.005131,0.00519,1400.5,2020-02-09 05:00:00
35,1581220800000,0.005109,0.005109,0.005065,0.005065,625.81,2020-02-09 04:00:00
36,1581217200000,0.005071,0.005151,0.005013,0.005109,2050.35,2020-02-09 03:00:00
37,1581210000000,0.005196,0.005196,0.005072,0.005114,1045.51,2020-02-09 01:00:00
38,1581206400000,0.0052,0.0052,0.005196,0.005196,438.27,2020-02-09 00:00:00
39,1581202800000,0.0052,0.005276,0.0052,0.005276,115.48,2020-02-08 23:00:00
40,1581199200000,0.005179,0.005269,0.005162,0.005247,119.23,2020-02-08 22:00:00
41,1581195600000,0.005278,0.005299,0.005174,0.005174,3445.88,2020-02-08 21:00:00
42,1581192000000,0.005295,0.005301,0.005202,0.005202,32.43,2020-02-08 20:00:00
43,1581188400000,0.005345,0.005345,0.005252,0.005252,1021.88,2020-02-08 19:00:00
44,1581184800000,0.005252,0.005252,0.005252,0.005252,0.0,2020-02-08 18:00:00
45,1581181200000,0.00528,0.00528,0.0052,0.005252,639.46,2020-02-08 17:00:00
46,1581177600000,0.005354,0.005358,0.00528,0.00528,292.61,2020-02-08 16:00:00
47,1581174000000,0.005288,0.005288,0.005261,0.005279,348.1,2020-02-08 15:00:00
48,1581170400000,0.005252,0.005288,0.00522,0.005288,220.02,2020-02-08 14:00:00
49,1581166800000,0.005279,0.005331,0.005252,0.005252,470.11,2020-02-08 13:00:00
50,1581163200000,0.005358,0.005358,0.005358,0.005358,0.67,2020-02-08 12:00:00
51,1581159600000,0.005364,0.005364,0.005337,0.005363,9.72,2020-02-08 11:00:00
52,1581156000000,0.005345,0.005371,0.005272,0.005298,93.37,2020-02-08 10:00:00
53,1581152400000,0.00532,0.005372,0.005298,0.005372,274.41,2020-02-08 09:00:00
54,1581148800000,0.00535,0.005421,0.005294,0.005294,1293.28,2020-02-08 08:00:00
55,1581145200000,0.00537,0.00537,0.00537,0.00537,0.0,2020-02-08 07:00:00
56,1581141600000,0.005344,0.00537,0.005344,0.00537,32.71,2020-02-08 06:00:00
57,1581138000000,0.00544,0.00544,0.00544,0.00544,0.55,2020-02-08 05:00:00
58,1581134400000,0.0053,0.00538,0.005294,0.00538,93.6,2020-02-08 04:00:00
59,1581130800000,0.005325,0.005336,0.005294,0.005294,193.07,2020-02-08 03:00:00
60,1581127200000,0.005393,0.005393,0.005393,0.005393,8.9,2020-02-08 02:00:00
61,1581123600000,0.005431,0.005431,0.005325,0.005325,616.21,2020-02-08 01:00:00
62,1581120000000,0.005458,0.005528,0.005455,0.005521,63.2,2020-02-08 00:00:00
63,1581116400000,0.005511,0.005511,0.005477,0.005477,110.53,2020-02-07 23:00:00
64,1581112800000,0.005697,0.005697,0.005539,0.005539,281.8,2020-02-07 22:00:00
65,1581109200000,0.005562,0.005562,0.005561,0.005561,47.51,2020-02-07 21:00:00
66,1581105600000,0.005663,0.005683,0.005596,0.005596,269.58,2020-02-07 20:00:00
67,1581102000000,0.005647,0.005647,0.005595,0.005595,59.7,2020-02-07 19:00:00
68,1581098400000,0.005609,0.00566,0.005609,0.00566,255.67,2020-02-07 18:00:00
69,1581094800000,0.005574,0.005574,0.00553,0.00553,53.41,2020-02-07 17:00:00
70,1581091200000,0.005608,0.005608,0.005492,0.005492,418.92,2020-02-07 16:00:00
71,1581087600000,0.005524,0.005606,0.005524,0.005606,36.47,2020-02-07 15:00:00
72,1581084000000,0.005551,0.005551,0.00552,0.00552,30.04,2020-02-07 14:00:00
73,1581080400000,0.005537,0.005618,0.005532,0.005585,853.68,2020-02-07 13:00:00
74,1581076800000,0.005492,0.005538,0.005418,0.005534,906.0,2020-02-07 12:00:00
75,1581073200000,0.005542,0.005582,0.005403,0.005411,1588.04,2020-02-07 11:00:00
76,1581069600000,0.005634,0.005713,0.005549,0.005549,213.98,2020-02-07 10:00:00
77,1581066000000,0.005633,0.005702,0.005633,0.005702,199.32,2020-02-07 09:00:00
78,1581062400000,0.005624,0.005624,0.005624,0.005624,0.0,2020-02-07 08:00:00
79,1581058800000,0.005624,0.005624,0.005624,0.005624,177.41,2020-02-07 07:00:00
80,1581055200000,0.005581,0.005613,0.005581,0.005613,56.35,2020-02-07 06:00:00
81,1581051600000,0.005501,0.005501,0.0055,0.0055,393.26,2020-02-07 05:00:00
82,1581048000000,0.005581,0.005582,0.005581,0.005582,11.43,2020-02-07 04:00:00
83,1581044400000,0.005512,0.005512,0.0055,0.0055,55.83,2020-02-07 03:00:00
84,1581040800000,0.005583,0.005583,0.005583,0.005583,1097.0,2020-02-07 02:00:00
85,1581037200000,0.005561,0.005583,0.005561,0.005583,27.51,2020-02-07 01:00:00
86,1581033600000,0.005701,0.005701,0.00557,0.005576,455.64,2020-02-07 00:00:00
87,1581030000000,0.005624,0.005624,0.005624,0.005624,0.0,2020-02-06 23:00:00
88,1581026400000,0.005624,0.005624,0.005624,0.005624,0.0,2020-02-06 22:00:00
89,1581022800000,0.005701,0.005701,0.005624,0.005624,20.28,2020-02-06 21:00:00
90,1581019200000,0.005674,0.005701,0.005669,0.005701,341.06,2020-02-06 20:00:00
91,1581015600000,0.005573,0.005674,0.00557,0.005673,1762.32,2020-02-06 19:00:00
92,1581012000000,0.00564,0.00568,0.005596,0.00568,188.03,2020-02-06 18:00:00
93,1581008400000,0.005685,0.005718,0.005614,0.005718,119.8,2020-02-06 17:00:00
94,1581004800000,0.005666,0.005666,0.005564,0.005647,94.5,2020-02-06 16:00:00
95,1581001200000,0.005639,0.005723,0.005546,0.005546,1644.98,2020-02-06 15:00:00
96,1580997600000,0.0056,0.005622,0.005541,0.005622,54.76,2020-02-06 14:00:00
97,1580994000000,0.005605,0.005647,0.005506,0.005518,2465.33,2020-02-06 13:00:00
98,1580990400000,0.005672,0.00577,0.00552,0.005523,3079.89,2020-02-06 12:00:00
99,1580986800000,0.005691,0.005742,0.005669,0.005671,131.53,2020-02-06 11:00:00
100,1580983200000,0.005556,0.005826,0.005547,0.005682,2523.61,2020-02-06 10:00:00
101,1580979600000,0.005635,0.005649,0.005531,0.005531,2570.39,2020-02-06 09:00:00
102,1580976000000,0.005535,0.005611,0.00553,0.005611,105.87,2020-02-06 08:00:00
103,1580972400000,0.005619,0.005648,0.005531,0.005531,1177.18,2020-02-06 07:00:00
104,1580968800000,0.005583,0.005612,0.005542,0.005561,945.89,2020-02-06 06:00:00
105,1580965200000,0.005554,0.005579,0.005554,0.005579,631.76,2020-02-06 05:00:00
106,1580961600000,0.005554,0.005554,0.005554,0.005554,2.31,2020-02-06 04:00:00
107,1580958000000,0.005505,0.005546,0.005461,0.005546,667.29,2020-02-06 03:00:00
108,1580954400000,0.005552,0.005555,0.005552,0.005555,27.69,2020-02-06 02:00:00
109,1580950800000,0.005552,0.005552,0.005552,0.005552,0.65,2020-02-06 01:00:00
110,1580947200000,0.005497,0.005552,0.005497,0.005552,404.09,2020-02-06 00:00:00
111,1580943600000,0.005483,0.005497,0.005483,0.005497,1.88,2020-02-05 23:00:00
112,1580940000000,0.0054,0.005483,0.0054,0.005442,443.72,2020-02-05 22:00:00
113,1580936400000,0.0054,0.0054,0.0054,0.0054,683.35,2020-02-05 21:00:00
114,1580932800000,0.005469,0.005483,0.005411,0.005483,1110.53,2020-02-05 20:00:00
115,1580929200000,0.005402,0.00547,0.005396,0.00547,147.04,2020-02-05 19:00:00
116,1580925600000,0.005584,0.005584,0.005317,0.005456,1085.77,2020-02-05 18:00:00
117,1580922000000,0.00555,0.00557,0.005491,0.005568,1975.15,2020-02-05 17:00:00
118,1580918400000,0.005644,0.005653,0.005565,0.005565,1482.27,2020-02-05 16:00:00
119,1580914800000,0.005593,0.005657,0.005571,0.005657,1127.4,2020-02-05 15:00:00
120,1580911200000,0.005582,0.005686,0.005545,0.005678,1686.85,2020-02-05 14:00:00
121,1580907600000,0.005576,0.005589,0.005576,0.005589,2.23,2020-02-05 13:00:00
122,1580904000000,0.005514,0.005576,0.005468,0.005576,1741.18,2020-02-05 12:00:00
123,1580900400000,0.00564,0.005663,0.005514,0.0056,4574.21,2020-02-05 11:00:00
124,1580896800000,0.005853,0.005877,0.0056,0.005621,3043.44,2020-02-05 10:00:00
125,1580893200000,0.00583,0.005838,0.005825,0.005838,891.03,2020-02-05 09:00:00
126,1580889600000,0.00583,0.00583,0.00583,0.00583,0.0,2020-02-05 08:00:00
127,1580886000000,0.005826,0.00583,0.005826,0.00583,3.01,2020-02-05 07:00:00
128,1580882400000,0.005783,0.005817,0.005761,0.005817,342.84,2020-02-05 06:00:00
129,1580878800000,0.00589,0.00589,0.00589,0.00589,0.56,2020-02-05 05:00:00
130,1580875200000,0.005899,0.0059,0.005898,0.005898,1.68,2020-02-05 04:00:00
131,1580871600000,0.0059,0.0059,0.005897,0.005897,10.79,2020-02-05 03:00:00
132,1580868000000,0.005873,0.005931,0.005873,0.0059,332.91,2020-02-05 02:00:00
133,1580864400000,0.005923,0.005923,0.005873,0.005873,57.93,2020-02-05 01:00:00
134,1580860800000,0.005949,0.005949,0.005947,0.005947,196.17,2020-02-05 00:00:00
135,1580857200000,0.005958,0.005958,0.005958,0.005958,25.18,2020-02-04 23:00:00
136,1580853600000,0.005916,0.005964,0.005916,0.005963,3366.1,2020-02-04 22:00:00
137,1580850000000,0.005914,0.005916,0.005823,0.00591,152.96,2020-02-04 21:00:00
138,1580846400000,0.006015,0.006179,0.005805,0.005916,3946.67,2020-02-04 20:00:00
139,1580842800000,0.005901,0.005995,0.005901,0.005995,217.26,2020-02-04 19:00:00
140,1580839200000,0.005931,0.005978,0.005891,0.005918,204.17,2020-02-04 18:00:00
141,1580835600000,0.005916,0.006015,0.005887,0.005979,4686.01,2020-02-04 17:00:00
142,1580832000000,0.005882,0.005911,0.005817,0.005911,139.29,2020-02-04 16:00:00
143,1580828400000,0.005874,0.005874,0.00579,0.005863,184.64,2020-02-04 15:00:00
144,1580824800000,0.005825,0.005829,0.005788,0.00579,1247.31,2020-02-04 14:00:00
145,1580821200000,0.00572,0.005826,0.005641,0.005825,763.99,2020-02-04 13:00:00
146,1580817600000,0.005692,0.00572,0.005692,0.00572,11.28,2020-02-04 12:00:00
147,1580814000000,0.00564,0.00564,0.0056,0.005608,2312.71,2020-02-04 11:00:00
148,1580810400000,0.005651,0.005651,0.005651,0.005651,5.24,2020-02-04 10:00:00
149,1580806800000,0.005722,0.005764,0.005664,0.005664,21.79,2020-02-04 09:00:00
150,1580803200000,0.005792,0.005878,0.005628,0.005638,1043.24,2020-02-04 08:00:00
151,1580799600000,0.00577,0.00577,0.00569,0.00573,346.86,2020-02-04 07:00:00
152,1580796000000,0.005813,0.005826,0.005698,0.005806,70.59,2020-02-04 06:00:00
153,1580792400000,0.005799,0.005813,0.005799,0.005813,728.76,2020-02-04 05:00:00
154,1580788800000,0.005796,0.005799,0.005783,0.005799,221.53,2020-02-04 04:00:00
155,1580785200000,0.005796,0.005796,0.005796,0.005796,0.0,2020-02-04 03:00:00
156,1580781600000,0.005776,0.005796,0.005776,0.005796,1.89,2020-02-04 02:00:00
157,1580778000000,0.005702,0.005702,0.005691,0.005691,3.99,2020-02-04 01:00:00
158,1580774400000,0.005692,0.005692,0.00569,0.00569,20.52,2020-02-04 00:00:00
159,1580770800000,0.00571,0.00571,0.00571,0.00571,7.36,2020-02-03 23:00:00
160,1580767200000,0.005711,0.005787,0.005711,0.005787,54.79,2020-02-03 22:00:00
161,1580763600000,0.0058,0.0058,0.005798,0.005798,141.59,2020-02-03 21:00:00
162,1580760000000,0.005755,0.005813,0.00569,0.0058,446.9,2020-02-03 20:00:00
163,1580756400000,0.005756,0.005756,0.005755,0.005755,890.65,2020-02-03 19:00:00
164,1580752800000,0.00577,0.005813,0.005758,0.005813,846.3,2020-02-03 18:00:00
165,1580749200000,0.00577,0.00577,0.00577,0.00577,67.06,2020-02-03 17:00:00
166,1580745600000,0.00576,0.005768,0.00576,0.005768,1.05,2020-02-03 16:00:00
167,1580742000000,0.005663,0.005773,0.005663,0.005773,366.39,2020-02-03 15:00:00
168,1580738400000,0.005715,0.005752,0.005693,0.005718,808.89,2020-02-03 14:00:00
169,1580734800000,0.005662,0.005715,0.005662,0.005715,18.37,2020-02-03 13:00:00
170,1580731200000,0.005599,0.005662,0.005589,0.005662,183.17,2020-02-03 12:00:00
171,1580727600000,0.005597,0.005599,0.005597,0.005599,104.72,2020-02-03 11:00:00
172,1580724000000,0.005655,0.005677,0.005595,0.005677,1452.81,2020-02-03 10:00:00
173,1580720400000,0.005655,0.005655,0.005655,0.005655,0.57,2020-02-03 09:00:00
174,1580716800000,0.005654,0.005654,0.005654,0.005654,0.66,2020-02-03 08:00:00
175,1580713200000,0.005563,0.005633,0.005563,0.005633,67.4,2020-02-03 07:00:00
176,1580709600000,0.005615,0.005634,0.00555,0.00555,186.59,2020-02-03 06:00:00
177,1580706000000,0.005634,0.005655,0.005634,0.005655,2.23,2020-02-03 05:00:00
178,1580702400000,0.005552,0.005552,0.00555,0.005551,97.37,2020-02-03 04:00:00
179,1580698800000,0.00555,0.00555,0.00555,0.00555,0.0,2020-02-03 03:00:00
180,1580695200000,0.005553,0.005553,0.00555,0.00555,199.89,2020-02-03 02:00:00
181,1580691600000,0.005552,0.005552,0.00555,0.00555,245.61,2020-02-03 01:00:00
182,1580688000000,0.005591,0.005634,0.005591,0.005634,44.72,2020-02-03 00:00:00
183,1580684400000,0.005647,0.005654,0.005621,0.005621,13.99,2020-02-02 23:00:00
184,1580680800000,0.005611,0.005647,0.005561,0.005647,775.89,2020-02-02 22:00:00
185,1580677200000,0.005561,0.005561,0.005561,0.005561,7.94,2020-02-02 21:00:00
186,1580673600000,0.005616,0.005617,0.005598,0.005617,566.66,2020-02-02 20:00:00
187,1580670000000,0.005623,0.005623,0.005589,0.00562,38.38,2020-02-02 19:00:00
188,1580666400000,0.005652,0.005652,0.005511,0.00554,201.63,2020-02-02 18:00:00
189,1580662800000,0.005757,0.005757,0.005564,0.005655,1730.49,2020-02-02 17:00:00
190,1580659200000,0.005804,0.005804,0.005672,0.005757,1279.25,2020-02-02 16:00:00
191,1580655600000,0.005727,0.006056,0.005727,0.005804,4287.47,2020-02-02 15:00:00
192,1580652000000,0.005557,0.00594,0.005557,0.005724,3235.61,2020-02-02 14:00:00
193,1580648400000,0.005615,0.005615,0.005508,0.005508,43.12,2020-02-02 13:00:00
194,1580644800000,0.005614,0.005616,0.005609,0.005609,38.43,2020-02-02 12:00:00
195,1580641200000,0.005511,0.005593,0.005511,0.005593,21.17,2020-02-02 11:00:00
196,1580637600000,0.005648,0.005648,0.00556,0.00556,590.0,2020-02-02 10:00:00
197,1580634000000,0.005586,0.005678,0.005566,0.005566,887.61,2020-02-02 09:00:00
198,1580630400000,0.0055,0.005576,0.00545,0.005573,1002.38,2020-02-02 08:00:00
199,1580626800000,0.005511,0.005511,0.0055,0.0055,742.48,2020-02-02 07:00:00
200,1580623200000,0.005581,0.005658,0.005516,0.005516,191.25,2020-02-02 06:00:00
201,1580619600000,0.005683,0.005683,0.005683,0.005683,0.0,2020-02-02 05:00:00
202,1580616000000,0.005683,0.005683,0.005683,0.005683,7.0,2020-02-02 04:00:00
203,1580612400000,0.005674,0.005674,0.005674,0.005674,10.0,2020-02-02 03:00:00
204,1580608800000,0.0056,0.0056,0.0056,0.0056,0.0,2020-02-02 02:00:00
205,1580605200000,0.0056,0.0056,0.0056,0.0056,22.39,2020-02-02 01:00:00
206,1580601600000,0.0056,0.0056,0.0056,0.0056,0.61,2020-02-02 00:00:00
207,1580598000000,0.00559,0.005659,0.00559,0.005659,56.09,2020-02-01 23:00:00
208,1580594400000,0.00567,0.005672,0.00567,0.005672,1.13,2020-02-01 22:00:00
209,1580590800000,0.005662,0.005662,0.005662,0.005662,0.0,2020-02-01 21:00:00
210,1580587200000,0.005618,0.005685,0.005582,0.005662,98.93,2020-02-01 20:00:00
211,1580583600000,0.005676,0.005676,0.005649,0.005649,95.26,2020-02-01 19:00:00
212,1580580000000,0.005659,0.005683,0.005577,0.005677,117.37,2020-02-01 18:00:00
213,1580576400000,0.005658,0.005658,0.005576,0.005576,362.94,2020-02-01 17:00:00
214,1580572800000,0.005689,0.00569,0.00558,0.00558,579.92,2020-02-01 16:00:00
215,1580569200000,0.005608,0.005678,0.005576,0.005669,1390.48,2020-02-01 15:00:00
216,1580565600000,0.005718,0.005718,0.005632,0.005632,97.76,2020-02-01 14:00:00
217,1580562000000,0.005718,0.005718,0.005718,0.005718,0.0,2020-02-01 13:00:00
218,1580558400000,0.005715,0.005718,0.005715,0.005718,27.15,2020-02-01 12:00:00
219,1580554800000,0.005711,0.005715,0.005628,0.005715,4027.7,2020-02-01 11:00:00
220,1580551200000,0.005712,0.005712,0.005628,0.005711,4.39,2020-02-01 10:00:00
221,1580547600000,0.005713,0.005713,0.005697,0.005713,2.22,2020-02-01 09:00:00
222,1580544000000,0.005691,0.005713,0.00567,0.005713,27.67,2020-02-01 08:00:00
223,1580540400000,0.005711,0.005711,0.005589,0.005685,253.92,2020-02-01 07:00:00
224,1580536800000,0.005713,0.005713,0.005712,0.005712,2.91,2020-02-01 06:00:00
225,1580533200000,0.005714,0.005714,0.005713,0.005713,1.13,2020-02-01 05:00:00
226,1580529600000,0.005702,0.005714,0.005701,0.005714,6.79,2020-02-01 04:00:00
227,1580526000000,0.005667,0.005714,0.005573,0.005708,1257.38,2020-02-01 03:00:00
228,1580522400000,0.0056,0.005667,0.005599,0.005667,41.65,2020-02-01 02:00:00
229,1580518800000,0.005714,0.005714,0.005714,0.005714,0.63,2020-02-01 01:00:00
230,1580515200000,0.005711,0.005711,0.005711,0.005711,0.0,2020-02-01 00:00:00
231,1580511600000,0.005681,0.005711,0.005606,0.005711,45.6,2020-01-31 23:00:00
232,1580508000000,0.005681,0.005681,0.005681,0.005681,0.58,2020-01-31 22:00:00
233,1580504400000,0.005667,0.00568,0.005661,0.005679,70.24,2020-01-31 21:00:00
234,1580500800000,0.005711,0.005711,0.005576,0.005668,201.49,2020-01-31 20:00:00
235,1580497200000,0.005714,0.005714,0.005714,0.005714,590.51,2020-01-31 19:00:00
236,1580493600000,0.005709,0.005714,0.005665,0.005714,1588.47,2020-01-31 18:00:00
237,1580490000000,0.005705,0.005705,0.005705,0.005705,0.6,2020-01-31 17:00:00
238,1580486400000,0.005669,0.005692,0.005669,0.005692,1.16,2020-01-31 16:00:00
239,1580482800000,0.005713,0.005713,0.005587,0.005587,197.79,2020-01-31 15:00:00
240,1580479200000,0.005663,0.005663,0.005663,0.005663,0.0,2020-01-31 14:00:00
241,1580475600000,0.005651,0.005663,0.005651,0.005663,68.1,2020-01-31 13:00:00
242,1580472000000,0.005595,0.005626,0.005595,0.005626,107.31,2020-01-31 12:00:00
243,1580468400000,0.005595,0.005595,0.005595,0.005595,0.5,2020-01-31 11:00:00
244,1580464800000,0.005604,0.005604,0.005592,0.005592,1.64,2020-01-31 10:00:00
245,1580461200000,0.005522,0.005522,0.005522,0.005522,4.09,2020-01-31 09:00:00
246,1580457600000,0.005606,0.005608,0.005606,0.005607,1.84,2020-01-31 08:00:00
