,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.0002263,0.0002288,0.0002263,0.0002277,4440.56,2020-02-10 15:00:00
1,1581343200000,0.0002236,0.0002269,0.0002226,0.0002263,5111.19,2020-02-10 14:00:00
2,1581339600000,0.0002209,0.0002253,0.0002205,0.0002227,16535.76,2020-02-10 13:00:00
3,1581336000000,0.0002182,0.0002208,0.0002161,0.00022,10703.91,2020-02-10 12:00:00
4,1581332400000,0.0002201,0.0002204,0.0002166,0.0002183,13787.44,2020-02-10 11:00:00
5,1581328800000,0.0002201,0.0002212,0.0002183,0.0002212,5648.43,2020-02-10 10:00:00
6,1581325200000,0.000222,0.0002223,0.0002165,0.0002201,14954.76,2020-02-10 09:00:00
7,1581321600000,0.0002237,0.000224,0.0002201,0.0002227,8208.06,2020-02-10 08:00:00
8,1581318000000,0.0002242,0.0002244,0.0002226,0.0002242,10023.96,2020-02-10 07:00:00
9,1581314400000,0.0002265,0.0002268,0.0002237,0.0002246,9493.1,2020-02-10 06:00:00
10,1581310800000,0.000225,0.0002291,0.0002248,0.0002266,8972.51,2020-02-10 05:00:00
11,1581307200000,0.0002266,0.0002279,0.0002221,0.000225,13850.92,2020-02-10 04:00:00
12,1581303600000,0.0002293,0.0002296,0.0002253,0.000227,7546.04,2020-02-10 03:00:00
13,1581300000000,0.000231,0.0002311,0.0002278,0.0002295,4173.43,2020-02-10 02:00:00
14,1581296400000,0.0002305,0.0002312,0.0002303,0.0002306,484.78,2020-02-10 01:00:00
15,1581292800000,0.0002301,0.0002311,0.0002294,0.0002305,1702.28,2020-02-10 00:00:00
16,1581289200000,0.0002303,0.000231,0.0002293,0.0002295,2636.78,2020-02-09 23:00:00
17,1581285600000,0.0002312,0.0002312,0.0002295,0.0002296,1372.91,2020-02-09 22:00:00
18,1581282000000,0.0002308,0.0002313,0.0002296,0.0002313,1067.56,2020-02-09 21:00:00
19,1581278400000,0.0002292,0.0002308,0.0002291,0.0002308,480.09,2020-02-09 20:00:00
20,1581274800000,0.0002312,0.0002312,0.0002289,0.0002294,533.9,2020-02-09 19:00:00
21,1581271200000,0.0002316,0.0002321,0.0002305,0.0002307,2056.86,2020-02-09 18:00:00
22,1581267600000,0.0002305,0.0002314,0.0002299,0.0002312,6231.23,2020-02-09 17:00:00
23,1581264000000,0.0002254,0.000233,0.0002254,0.0002304,16166.55,2020-02-09 16:00:00
24,1581260400000,0.0002271,0.0002277,0.0002195,0.0002255,23838.45,2020-02-09 15:00:00
25,1581256800000,0.0002284,0.0002302,0.0002262,0.0002262,12599.07,2020-02-09 14:00:00
26,1581253200000,0.0002325,0.0002325,0.0002274,0.0002284,15146.46,2020-02-09 13:00:00
27,1581249600000,0.0002323,0.0002337,0.000231,0.0002321,6407.5,2020-02-09 12:00:00
28,1581246000000,0.0002336,0.0002343,0.0002311,0.0002324,6976.87,2020-02-09 11:00:00
29,1581242400000,0.000233,0.0002342,0.0002319,0.0002336,4951.28,2020-02-09 10:00:00
30,1581238800000,0.0002318,0.0002341,0.0002312,0.0002328,5383.07,2020-02-09 09:00:00
31,1581235200000,0.0002349,0.0002355,0.0002311,0.0002311,4910.84,2020-02-09 08:00:00
32,1581231600000,0.0002368,0.0002368,0.0002348,0.0002354,5431.77,2020-02-09 07:00:00
33,1581228000000,0.0002356,0.0002374,0.0002352,0.000237,1230.8,2020-02-09 06:00:00
34,1581224400000,0.0002365,0.0002381,0.0002349,0.0002354,2379.9,2020-02-09 05:00:00
35,1581220800000,0.0002349,0.0002395,0.0002327,0.0002359,14975.62,2020-02-09 04:00:00
36,1581217200000,0.000234,0.0002351,0.0002283,0.0002346,18670.27,2020-02-09 03:00:00
