,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.010079,0.010104,0.010079,0.010104,35.28,2020-02-10 15:00:00
1,1581343200000,0.010078,0.010079,0.00999,0.010079,134.82,2020-02-10 14:00:00
2,1581339600000,0.009887,0.010069,0.009872,0.010069,577.56,2020-02-10 13:00:00
3,1581336000000,0.009737,0.009897,0.009717,0.00989,276.78,2020-02-10 12:00:00
4,1581332400000,0.00993,0.00993,0.009735,0.009845,241.16,2020-02-10 11:00:00
5,1581328800000,0.00992,0.009942,0.009791,0.009791,2978.24,2020-02-10 10:00:00
6,1581325200000,0.010049,0.010049,0.009759,0.009924,566.74,2020-02-10 09:00:00
7,1581321600000,0.010035,0.010058,0.009875,0.009987,276.21,2020-02-10 08:00:00
8,1581318000000,0.00997,0.010017,0.009944,0.010017,62.36,2020-02-10 07:00:00
9,1581314400000,0.010088,0.010162,0.009977,0.010141,322.8,2020-02-10 06:00:00
10,1581310800000,0.010141,0.010257,0.010088,0.010088,188.92,2020-02-10 05:00:00
11,1581307200000,0.010199,0.010199,0.010004,0.010151,822.83,2020-02-10 04:00:00
12,1581303600000,0.01031,0.01031,0.010098,0.010176,209.1,2020-02-10 03:00:00
13,1581300000000,0.010371,0.010371,0.01034,0.01034,8.0,2020-02-10 02:00:00
14,1581296400000,0.01037,0.010371,0.010363,0.010363,0.97,2020-02-10 01:00:00
15,1581292800000,0.010269,0.010363,0.010266,0.010363,127.79,2020-02-10 00:00:00
16,1581289200000,0.010296,0.010296,0.010296,0.010296,0.0,2020-02-09 23:00:00
17,1581285600000,0.010277,0.010296,0.010277,0.010296,26.79,2020-02-09 22:00:00
18,1581282000000,0.010276,0.010395,0.010276,0.01037,39.02,2020-02-09 21:00:00
19,1581278400000,0.010347,0.010382,0.010347,0.010382,11.51,2020-02-09 20:00:00
20,1581274800000,0.010214,0.010214,0.010195,0.010195,11.75,2020-02-09 19:00:00
21,1581271200000,0.010344,0.01037,0.010261,0.01037,517.24,2020-02-09 18:00:00
22,1581267600000,0.010344,0.010344,0.010338,0.010338,8.72,2020-02-09 17:00:00
23,1581264000000,0.00999,0.010344,0.00999,0.010216,2649.24,2020-02-09 16:00:00
24,1581260400000,0.010066,0.010121,0.009827,0.010103,952.47,2020-02-09 15:00:00
25,1581256800000,0.010218,0.010218,0.010218,0.010218,0.35,2020-02-09 14:00:00
26,1581253200000,0.010355,0.010355,0.010085,0.010195,147.92,2020-02-09 13:00:00
27,1581249600000,0.010258,0.010258,0.010258,0.010258,64.4,2020-02-09 12:00:00
28,1581246000000,0.010284,0.010421,0.010258,0.010258,156.51,2020-02-09 11:00:00
29,1581242400000,0.01036,0.01036,0.010335,0.010335,50.98,2020-02-09 10:00:00
30,1581238800000,0.010199,0.010326,0.010197,0.010326,250.43,2020-02-09 09:00:00
31,1581235200000,0.010312,0.010312,0.010199,0.010199,100.57,2020-02-09 08:00:00
32,1581231600000,0.010515,0.010515,0.010515,0.010515,0.0,2020-02-09 07:00:00
33,1581228000000,0.010529,0.010587,0.010515,0.010515,39.55,2020-02-09 06:00:00
34,1581224400000,0.010537,0.010607,0.010423,0.010423,16.44,2020-02-09 05:00:00
35,1581220800000,0.010344,0.010621,0.010331,0.010331,448.6,2020-02-09 04:00:00
36,1581217200000,0.010205,0.010284,0.010046,0.010284,954.34,2020-02-09 03:00:00
37,1581210000000,0.010233,0.010381,0.010233,0.010381,316.68,2020-02-09 01:00:00
38,1581206400000,0.010282,0.010282,0.010194,0.010231,1.03,2020-02-09 00:00:00
39,1581202800000,0.010156,0.010321,0.010077,0.010266,549.27,2020-02-08 23:00:00
40,1581199200000,0.010362,0.010362,0.010309,0.010326,2.53,2020-02-08 22:00:00
41,1581195600000,0.010344,0.010344,0.010171,0.010288,192.56,2020-02-08 21:00:00
42,1581192000000,0.0102,0.0102,0.0102,0.0102,12.0,2020-02-08 20:00:00
43,1581188400000,0.010326,0.010409,0.010168,0.0102,8.54,2020-02-08 19:00:00
44,1581184800000,0.010186,0.010409,0.010186,0.010347,21.98,2020-02-08 18:00:00
45,1581181200000,0.010287,0.010291,0.010287,0.010291,13.84,2020-02-08 17:00:00
46,1581177600000,0.010305,0.010356,0.010186,0.010186,106.98,2020-02-08 16:00:00
47,1581174000000,0.010197,0.010423,0.010142,0.010357,748.19,2020-02-08 15:00:00
48,1581170400000,0.010132,0.010308,0.010062,0.010161,1048.49,2020-02-08 14:00:00
49,1581166800000,0.010193,0.010309,0.010009,0.010082,861.06,2020-02-08 13:00:00
50,1581163200000,0.010222,0.010287,0.010219,0.010245,87.24,2020-02-08 12:00:00
51,1581159600000,0.010026,0.010119,0.00997,0.010119,51.49,2020-02-08 11:00:00
52,1581156000000,0.010066,0.010176,0.009997,0.010078,181.2,2020-02-08 10:00:00
53,1581152400000,0.010249,0.010249,0.01008,0.010179,260.78,2020-02-08 09:00:00
54,1581148800000,0.010091,0.010388,0.010077,0.010146,1179.61,2020-02-08 08:00:00
55,1581145200000,0.010041,0.010091,0.009915,0.010091,244.19,2020-02-08 07:00:00
56,1581141600000,0.01015,0.01015,0.009957,0.009957,124.46,2020-02-08 06:00:00
57,1581138000000,0.010299,0.010299,0.009958,0.010181,217.81,2020-02-08 05:00:00
58,1581134400000,0.010196,0.010436,0.01018,0.010279,318.42,2020-02-08 04:00:00
59,1581130800000,0.010339,0.010359,0.00969,0.010335,3818.78,2020-02-08 03:00:00
60,1581127200000,0.010641,0.010756,0.010234,0.010234,693.37,2020-02-08 02:00:00
61,1581123600000,0.010663,0.010782,0.01054,0.010641,1274.53,2020-02-08 01:00:00
