,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,2.2358,2.2729,2.2356,2.2425,1569.66,2020-02-10 15:00:00
1,1581343200000,2.1914,2.2419,2.1779,2.2317,6105.88,2020-02-10 14:00:00
2,1581339600000,2.17,2.2055,2.1676,2.1902,3834.65,2020-02-10 13:00:00
3,1581336000000,2.1358,2.17,2.1096,2.1661,5160.28,2020-02-10 12:00:00
4,1581332400000,2.1682,2.1758,2.1197,2.1356,5546.4,2020-02-10 11:00:00
5,1581328800000,2.1552,2.1801,2.1432,2.171,2664.79,2020-02-10 10:00:00
6,1581325200000,2.2005,2.2005,2.1212,2.1501,10266.01,2020-02-10 09:00:00
7,1581321600000,2.2257,2.2285,2.179,2.2009,6430.36,2020-02-10 08:00:00
8,1581318000000,2.2294,2.2424,2.211,2.2262,7252.0,2020-02-10 07:00:00
9,1581314400000,2.2129,2.2674,2.211,2.2308,3900.53,2020-02-10 06:00:00
10,1581310800000,2.2655,2.2992,2.205,2.2109,4571.71,2020-02-10 05:00:00
11,1581307200000,2.2882,2.2986,2.2309,2.2672,4263.7,2020-02-10 04:00:00
12,1581303600000,2.3182,2.3182,2.2663,2.2879,14055.69,2020-02-10 03:00:00
13,1581300000000,2.34,2.3402,2.3045,2.3176,4684.82,2020-02-10 02:00:00
14,1581296400000,2.3426,2.3486,2.335,2.3399,1812.2,2020-02-10 01:00:00
15,1581292800000,2.3303,2.3558,2.3303,2.3427,2941.26,2020-02-10 00:00:00
16,1581289200000,2.3271,2.3401,2.3271,2.3307,2089.15,2020-02-09 23:00:00
17,1581285600000,2.3235,2.3304,2.3177,2.3267,2193.44,2020-02-09 22:00:00
18,1581282000000,2.3163,2.3244,2.3077,2.3232,1781.44,2020-02-09 21:00:00
19,1581278400000,2.3144,2.3263,2.3002,2.3159,1506.49,2020-02-09 20:00:00
20,1581274800000,2.3272,2.3288,2.3084,2.3149,1820.14,2020-02-09 19:00:00
21,1581271200000,2.3375,2.3446,2.3254,2.3273,4358.66,2020-02-09 18:00:00
