,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.01665,0.01679,0.01645,0.01645,1588.8,2020-02-10 15:00:00
1,1581343200000,0.01621,0.01665,0.01617,0.01665,14663.1,2020-02-10 14:00:00
2,1581339600000,0.01629,0.01672,0.0161,0.01613,37431.9,2020-02-10 13:00:00
3,1581336000000,0.01644,0.01654,0.01627,0.0163,2881.1,2020-02-10 12:00:00
4,1581332400000,0.01663,0.01666,0.01633,0.01645,14043.2,2020-02-10 11:00:00
5,1581328800000,0.01673,0.01704,0.01668,0.01668,17555.3,2020-02-10 10:00:00
6,1581325200000,0.01665,0.01683,0.01634,0.01656,22902.7,2020-02-10 09:00:00
7,1581321600000,0.0171,0.0171,0.01621,0.01656,42566.3,2020-02-10 08:00:00
8,1581318000000,0.01717,0.0173,0.01698,0.01722,3587.8,2020-02-10 07:00:00
9,1581314400000,0.01756,0.0178,0.017,0.01722,47581.8,2020-02-10 06:00:00
10,1581310800000,0.01828,0.01834,0.01741,0.01754,30491.5,2020-02-10 05:00:00
11,1581307200000,0.01835,0.01835,0.01804,0.01816,6872.4,2020-02-10 04:00:00
12,1581303600000,0.0185,0.01854,0.01837,0.0184,3542.0,2020-02-10 03:00:00
13,1581300000000,0.01815,0.01873,0.01815,0.01851,15723.4,2020-02-10 02:00:00
14,1581296400000,0.01818,0.01837,0.01807,0.01815,5168.0,2020-02-10 01:00:00
15,1581292800000,0.01791,0.01836,0.01781,0.01807,30280.5,2020-02-10 00:00:00
16,1581289200000,0.01838,0.01841,0.01797,0.01806,16453.7,2020-02-09 23:00:00
17,1581285600000,0.01836,0.01849,0.01822,0.01825,3816.6,2020-02-09 22:00:00
18,1581282000000,0.01862,0.0188,0.01826,0.01835,34973.5,2020-02-09 21:00:00
19,1581278400000,0.01919,0.01922,0.01861,0.01874,20620.4,2020-02-09 20:00:00
20,1581274800000,0.01885,0.01941,0.01871,0.01914,28885.0,2020-02-09 19:00:00
21,1581271200000,0.01825,0.01898,0.01825,0.01886,18193.9,2020-02-09 18:00:00
22,1581267600000,0.01817,0.01839,0.01785,0.01823,12824.2,2020-02-09 17:00:00
23,1581264000000,0.01831,0.01851,0.01806,0.01817,12587.1,2020-02-09 16:00:00
24,1581260400000,0.01899,0.01906,0.01838,0.01849,7677.9,2020-02-09 15:00:00
