,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.834e-05,1.845e-05,1.834e-05,1.835e-05,22624.0,2020-02-10 15:00:00
1,1581343200000,1.828e-05,1.845e-05,1.825e-05,1.844e-05,115907.0,2020-02-10 14:00:00
2,1581339600000,1.828e-05,1.837e-05,1.824e-05,1.836e-05,108082.0,2020-02-10 13:00:00
3,1581336000000,1.81e-05,1.833e-05,1.796e-05,1.82e-05,122546.0,2020-02-10 12:00:00
4,1581332400000,1.81e-05,1.82e-05,1.8e-05,1.8e-05,63626.0,2020-02-10 11:00:00
5,1581328800000,1.807e-05,1.825e-05,1.794e-05,1.804e-05,363105.0,2020-02-10 10:00:00
6,1581325200000,1.828e-05,1.837e-05,1.794e-05,1.807e-05,137360.0,2020-02-10 09:00:00
7,1581321600000,1.86e-05,1.862e-05,1.833e-05,1.833e-05,56048.0,2020-02-10 08:00:00
8,1581318000000,1.839e-05,1.86e-05,1.83e-05,1.86e-05,70502.0,2020-02-10 07:00:00
9,1581314400000,1.842e-05,1.842e-05,1.828e-05,1.831e-05,128947.0,2020-02-10 06:00:00
10,1581310800000,1.821e-05,1.85e-05,1.821e-05,1.841e-05,268256.0,2020-02-10 05:00:00
11,1581307200000,1.828e-05,1.831e-05,1.817e-05,1.827e-05,98371.0,2020-02-10 04:00:00
12,1581303600000,1.833e-05,1.84e-05,1.826e-05,1.826e-05,13421.0,2020-02-10 03:00:00
13,1581300000000,1.827e-05,1.84e-05,1.823e-05,1.833e-05,389601.0,2020-02-10 02:00:00
14,1581296400000,1.818e-05,1.827e-05,1.815e-05,1.827e-05,68638.0,2020-02-10 01:00:00
15,1581292800000,1.826e-05,1.833e-05,1.811e-05,1.817e-05,118282.0,2020-02-10 00:00:00
16,1581289200000,1.833e-05,1.837e-05,1.821e-05,1.827e-05,46703.0,2020-02-09 23:00:00
17,1581285600000,1.848e-05,1.855e-05,1.827e-05,1.835e-05,68735.0,2020-02-09 22:00:00
18,1581282000000,1.852e-05,1.855e-05,1.841e-05,1.853e-05,290880.0,2020-02-09 21:00:00
19,1581278400000,1.852e-05,1.858e-05,1.841e-05,1.854e-05,61910.0,2020-02-09 20:00:00
20,1581274800000,1.86e-05,1.864e-05,1.85e-05,1.852e-05,33390.0,2020-02-09 19:00:00
21,1581271200000,1.855e-05,1.864e-05,1.845e-05,1.864e-05,126680.0,2020-02-09 18:00:00
22,1581267600000,1.842e-05,1.857e-05,1.84e-05,1.856e-05,284228.0,2020-02-09 17:00:00
23,1581264000000,1.821e-05,1.848e-05,1.821e-05,1.835e-05,381552.0,2020-02-09 16:00:00
24,1581260400000,1.832e-05,1.833e-05,1.819e-05,1.821e-05,60893.0,2020-02-09 15:00:00
25,1581256800000,1.834e-05,1.843e-05,1.824e-05,1.825e-05,74446.0,2020-02-09 14:00:00
26,1581253200000,1.839e-05,1.848e-05,1.828e-05,1.834e-05,72303.0,2020-02-09 13:00:00
27,1581249600000,1.832e-05,1.839e-05,1.826e-05,1.839e-05,41410.0,2020-02-09 12:00:00
28,1581246000000,1.816e-05,1.832e-05,1.816e-05,1.832e-05,37871.0,2020-02-09 11:00:00
29,1581242400000,1.82e-05,1.828e-05,1.812e-05,1.827e-05,51244.0,2020-02-09 10:00:00
