,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.007425,0.007516,0.007413,0.007486,15148390.0,2020-02-10 15:00:00
1,1581343200000,0.007277,0.007446,0.007259,0.007425,38448114.0,2020-02-10 14:00:00
2,1581339600000,0.00727,0.007367,0.007218,0.007277,82709545.0,2020-02-10 13:00:00
3,1581336000000,0.007129,0.007272,0.007076,0.007264,35227669.0,2020-02-10 12:00:00
4,1581332400000,0.007186,0.007189,0.007034,0.007129,24814485.0,2020-02-10 11:00:00
5,1581328800000,0.007125,0.007211,0.007103,0.007186,14830599.0,2020-02-10 10:00:00
6,1581325200000,0.007174,0.0072,0.007027,0.007125,39904083.0,2020-02-10 09:00:00
7,1581321600000,0.007366,0.007366,0.007168,0.00718,38733703.0,2020-02-10 08:00:00
8,1581318000000,0.007329,0.007379,0.007328,0.007365,11636852.0,2020-02-10 07:00:00
9,1581314400000,0.00721,0.007451,0.00721,0.007329,69914020.0,2020-02-10 06:00:00
10,1581310800000,0.007504,0.007571,0.007187,0.007209,48650605.0,2020-02-10 05:00:00
11,1581307200000,0.007482,0.007524,0.007414,0.007504,24553138.0,2020-02-10 04:00:00
12,1581303600000,0.007489,0.007528,0.007434,0.007477,34229205.0,2020-02-10 03:00:00
13,1581300000000,0.007515,0.007546,0.007458,0.007487,24163376.0,2020-02-10 02:00:00
14,1581296400000,0.007572,0.007579,0.007458,0.007518,20575392.0,2020-02-10 01:00:00
15,1581292800000,0.007598,0.007634,0.007533,0.007577,28384353.0,2020-02-10 00:00:00
16,1581289200000,0.007559,0.007607,0.007498,0.007598,32069679.0,2020-02-09 23:00:00
17,1581285600000,0.00755,0.00758,0.007547,0.007557,3820710.0,2020-02-09 22:00:00
18,1581282000000,0.007507,0.007577,0.007507,0.007548,4128596.0,2020-02-09 21:00:00
19,1581278400000,0.007519,0.007524,0.007404,0.007512,19815403.0,2020-02-09 20:00:00
20,1581274800000,0.007558,0.007582,0.007518,0.007519,17742267.0,2020-02-09 19:00:00
21,1581271200000,0.007522,0.007575,0.007468,0.007551,18572504.0,2020-02-09 18:00:00
22,1581267600000,0.007473,0.007574,0.007466,0.00752,31110014.0,2020-02-09 17:00:00
23,1581264000000,0.00746,0.007493,0.007407,0.007476,12505062.0,2020-02-09 16:00:00
24,1581260400000,0.007319,0.007492,0.007193,0.007454,60847955.0,2020-02-09 15:00:00
25,1581256800000,0.007276,0.007456,0.007249,0.007319,66244885.0,2020-02-09 14:00:00
26,1581253200000,0.007434,0.007434,0.007262,0.007275,31578341.0,2020-02-09 13:00:00
27,1581249600000,0.007391,0.007489,0.007391,0.007435,26103284.0,2020-02-09 12:00:00
28,1581246000000,0.007345,0.007393,0.007283,0.007393,27776646.0,2020-02-09 11:00:00
29,1581242400000,0.007287,0.00735,0.007283,0.007347,8498656.0,2020-02-09 10:00:00
30,1581238800000,0.007378,0.007432,0.007279,0.007287,36683312.0,2020-02-09 09:00:00
31,1581235200000,0.007394,0.007451,0.007365,0.007382,15845230.0,2020-02-09 08:00:00
32,1581231600000,0.007344,0.007509,0.007339,0.007395,35848221.0,2020-02-09 07:00:00
33,1581228000000,0.00755,0.00757,0.007341,0.007343,76718754.0,2020-02-09 06:00:00
34,1581224400000,0.007236,0.007564,0.007158,0.00755,55138952.0,2020-02-09 05:00:00
35,1581220800000,0.007171,0.007274,0.007164,0.007229,34684790.0,2020-02-09 04:00:00
36,1581217200000,0.007171,0.007182,0.007035,0.007171,27168527.0,2020-02-09 03:00:00
