,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.31,0.3114,0.3088,0.3097,408420.23,2020-02-10 15:00:00
1,1581343200000,0.3054,0.3114,0.3035,0.31,785918.87,2020-02-10 14:00:00
2,1581339600000,0.3058,0.3079,0.3042,0.3059,432464.79,2020-02-10 13:00:00
3,1581336000000,0.3038,0.3065,0.3028,0.3057,562455.67,2020-02-10 12:00:00
4,1581332400000,0.3055,0.306,0.3025,0.304,309977.29,2020-02-10 11:00:00
5,1581328800000,0.3051,0.3067,0.3013,0.3054,929965.4,2020-02-10 10:00:00
6,1581325200000,0.3084,0.3085,0.3013,0.3051,1271682.15,2020-02-10 09:00:00
7,1581321600000,0.3153,0.3153,0.3077,0.3085,491105.14,2020-02-10 08:00:00
8,1581318000000,0.3134,0.3159,0.3121,0.3151,609624.32,2020-02-10 07:00:00
9,1581314400000,0.3178,0.3212,0.302,0.3131,1975967.86,2020-02-10 06:00:00
10,1581310800000,0.3249,0.329,0.316,0.3161,1337819.85,2020-02-10 05:00:00
11,1581307200000,0.3257,0.3272,0.3203,0.3249,633958.72,2020-02-10 04:00:00
12,1581303600000,0.3281,0.3308,0.3245,0.3257,576393.92,2020-02-10 03:00:00
13,1581300000000,0.3265,0.3288,0.3251,0.328,507612.63,2020-02-10 02:00:00
14,1581296400000,0.328,0.332,0.3232,0.3265,968521.08,2020-02-10 01:00:00
15,1581292800000,0.3224,0.3295,0.3218,0.3275,835341.49,2020-02-10 00:00:00
16,1581289200000,0.3195,0.3238,0.3154,0.3226,1280721.67,2020-02-09 23:00:00
17,1581285600000,0.3167,0.3206,0.316,0.3195,617491.11,2020-02-09 22:00:00
18,1581282000000,0.3132,0.3168,0.3127,0.3168,156277.56,2020-02-09 21:00:00
19,1581278400000,0.3139,0.3146,0.3132,0.3137,247119.96,2020-02-09 20:00:00
20,1581274800000,0.3134,0.3154,0.3129,0.3141,381274.4,2020-02-09 19:00:00
21,1581271200000,0.3151,0.3154,0.3122,0.3134,329534.48,2020-02-09 18:00:00
22,1581267600000,0.3125,0.3161,0.3122,0.3151,526535.26,2020-02-09 17:00:00
23,1581264000000,0.312,0.3142,0.3113,0.3124,325215.35,2020-02-09 16:00:00
24,1581260400000,0.3118,0.3133,0.31,0.3121,454725.95,2020-02-09 15:00:00
25,1581256800000,0.3121,0.3144,0.3115,0.3116,311733.63,2020-02-09 14:00:00
26,1581253200000,0.3124,0.3136,0.3113,0.3119,405738.05,2020-02-09 13:00:00
27,1581249600000,0.3145,0.315,0.3118,0.3125,258754.18,2020-02-09 12:00:00
28,1581246000000,0.3133,0.3157,0.3131,0.3132,316332.92,2020-02-09 11:00:00
29,1581242400000,0.3117,0.3142,0.3109,0.3131,440469.28,2020-02-09 10:00:00
30,1581238800000,0.3164,0.3169,0.3104,0.3118,1045840.08,2020-02-09 09:00:00
31,1581235200000,0.3192,0.3196,0.315,0.3163,513091.15,2020-02-09 08:00:00
32,1581231600000,0.3193,0.3203,0.3173,0.3193,959837.08,2020-02-09 07:00:00
33,1581228000000,0.3169,0.3217,0.3161,0.3196,740225.54,2020-02-09 06:00:00
34,1581224400000,0.3153,0.3179,0.3135,0.3168,665464.87,2020-02-09 05:00:00
35,1581220800000,0.3193,0.3209,0.3143,0.3152,1029684.32,2020-02-09 04:00:00
36,1581217200000,0.312,0.3196,0.3116,0.3184,1028122.56,2020-02-09 03:00:00
37,1581210000000,0.3113,0.3125,0.3103,0.3117,207906.58,2020-02-09 01:00:00
38,1581206400000,0.3073,0.3144,0.307,0.3114,917270.1,2020-02-09 00:00:00
39,1581202800000,0.3076,0.308,0.3051,0.3073,682376.17,2020-02-08 23:00:00
40,1581199200000,0.3081,0.3086,0.3069,0.3076,315561.25,2020-02-08 22:00:00
41,1581195600000,0.3091,0.3113,0.3068,0.3089,588939.07,2020-02-08 21:00:00
42,1581192000000,0.3108,0.3115,0.309,0.3092,431021.45,2020-02-08 20:00:00
