,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,0.04661,0.04661,0.04617,0.04622,517.2,2020-02-10 15:00:00
1,1581343200000,0.04632,0.04692,0.04619,0.04661,712.3,2020-02-10 14:00:00
2,1581339600000,0.04721,0.04721,0.04628,0.04628,1425.5,2020-02-10 13:00:00
3,1581336000000,0.04732,0.04732,0.04681,0.04729,1137.4,2020-02-10 12:00:00
4,1581332400000,0.04673,0.04752,0.04655,0.04732,1333.4,2020-02-10 11:00:00
5,1581328800000,0.04692,0.04775,0.04668,0.04693,2759.2,2020-02-10 10:00:00
6,1581325200000,0.04616,0.04733,0.04616,0.0468,5792.1,2020-02-10 09:00:00
7,1581321600000,0.04693,0.04693,0.04516,0.04588,5751.7,2020-02-10 08:00:00
8,1581318000000,0.04723,0.04734,0.0468,0.04709,1448.4,2020-02-10 07:00:00
9,1581314400000,0.04957,0.04957,0.047,0.04735,6504.2,2020-02-10 06:00:00
10,1581310800000,0.04919,0.04973,0.04913,0.04973,846.7,2020-02-10 05:00:00
11,1581307200000,0.04973,0.0498,0.04928,0.04928,528.5,2020-02-10 04:00:00
12,1581303600000,0.04973,0.05003,0.04948,0.05003,2513.3,2020-02-10 03:00:00
13,1581300000000,0.04956,0.0501,0.04947,0.0501,719.9,2020-02-10 02:00:00
14,1581296400000,0.04911,0.04958,0.04881,0.04958,1202.3,2020-02-10 01:00:00
15,1581292800000,0.04918,0.04958,0.04881,0.04903,590.4,2020-02-10 00:00:00
16,1581289200000,0.04997,0.04997,0.04899,0.04902,1391.8,2020-02-09 23:00:00
17,1581285600000,0.04936,0.04997,0.04936,0.04997,500.7,2020-02-09 22:00:00
18,1581282000000,0.04919,0.04978,0.04913,0.04923,1788.7,2020-02-09 21:00:00
19,1581278400000,0.04953,0.04971,0.04919,0.04919,549.8,2020-02-09 20:00:00
20,1581274800000,0.05009,0.05024,0.04943,0.0496,1356.2,2020-02-09 19:00:00
21,1581271200000,0.04979,0.05035,0.04979,0.05015,826.7,2020-02-09 18:00:00
22,1581267600000,0.05041,0.05041,0.04947,0.04961,1942.6,2020-02-09 17:00:00
23,1581264000000,0.05173,0.05206,0.05021,0.05054,2651.5,2020-02-09 16:00:00
24,1581260400000,0.05185,0.05259,0.05175,0.05197,2829.6,2020-02-09 15:00:00
25,1581256800000,0.05155,0.0518,0.05087,0.0518,1979.2,2020-02-09 14:00:00
26,1581253200000,0.05094,0.05139,0.05085,0.05139,169.0,2020-02-09 13:00:00
27,1581249600000,0.05151,0.05151,0.051,0.051,70.9,2020-02-09 12:00:00
28,1581246000000,0.05145,0.05151,0.05094,0.05151,379.9,2020-02-09 11:00:00
29,1581242400000,0.05078,0.05138,0.05068,0.05138,1740.7,2020-02-09 10:00:00
30,1581238800000,0.05042,0.05078,0.05019,0.05056,1209.3,2020-02-09 09:00:00
31,1581235200000,0.05,0.05077,0.04995,0.05071,1028.6,2020-02-09 08:00:00
32,1581231600000,0.04971,0.05,0.04941,0.05,933.2,2020-02-09 07:00:00
33,1581228000000,0.04985,0.0499,0.04954,0.04984,654.4,2020-02-09 06:00:00
34,1581224400000,0.04979,0.05032,0.04958,0.04984,823.5,2020-02-09 05:00:00
35,1581220800000,0.04974,0.05018,0.04943,0.04979,2238.0,2020-02-09 04:00:00
36,1581217200000,0.05281,0.05281,0.04984,0.04984,7483.6,2020-02-09 03:00:00
37,1581210000000,0.05314,0.05314,0.05281,0.05281,380.5,2020-02-09 01:00:00
38,1581206400000,0.05264,0.05365,0.05252,0.05325,4235.2,2020-02-09 00:00:00
39,1581202800000,0.05309,0.05319,0.05264,0.05304,1230.6,2020-02-08 23:00:00
40,1581199200000,0.05391,0.05406,0.05309,0.05309,2453.6,2020-02-08 22:00:00
41,1581195600000,0.0539,0.05428,0.05387,0.05391,266.0,2020-02-08 21:00:00
42,1581192000000,0.05402,0.05412,0.0539,0.05393,619.3,2020-02-08 20:00:00
43,1581188400000,0.05397,0.0562,0.05395,0.05404,10347.4,2020-02-08 19:00:00
44,1581184800000,0.05465,0.05485,0.05409,0.05413,157.3,2020-02-08 18:00:00
45,1581181200000,0.05398,0.05459,0.05368,0.05449,5370.4,2020-02-08 17:00:00
46,1581177600000,0.05483,0.05483,0.05398,0.05398,745.6,2020-02-08 16:00:00
47,1581174000000,0.05503,0.05519,0.05466,0.0549,949.5,2020-02-08 15:00:00
48,1581170400000,0.05409,0.05511,0.05409,0.05492,359.5,2020-02-08 14:00:00
49,1581166800000,0.05459,0.05465,0.05414,0.05414,360.1,2020-02-08 13:00:00
50,1581163200000,0.05498,0.05498,0.05468,0.05495,234.1,2020-02-08 12:00:00
51,1581159600000,0.05419,0.055,0.05413,0.055,3008.9,2020-02-08 11:00:00
52,1581156000000,0.05434,0.05434,0.05404,0.05414,228.4,2020-02-08 10:00:00
53,1581152400000,0.05373,0.05456,0.05373,0.05434,2761.3,2020-02-08 09:00:00
54,1581148800000,0.05442,0.05447,0.05379,0.05379,763.1,2020-02-08 08:00:00
55,1581145200000,0.0543,0.05439,0.05412,0.05418,385.2,2020-02-08 07:00:00
56,1581141600000,0.05388,0.05428,0.05359,0.05428,323.9,2020-02-08 06:00:00
57,1581138000000,0.05412,0.05412,0.05322,0.0539,1324.5,2020-02-08 05:00:00
58,1581134400000,0.05433,0.05445,0.05367,0.05417,2945.1,2020-02-08 04:00:00
59,1581130800000,0.05449,0.05485,0.05425,0.05461,339.7,2020-02-08 03:00:00
60,1581127200000,0.05447,0.05496,0.05422,0.05435,4289.3,2020-02-08 02:00:00
61,1581123600000,0.05693,0.05787,0.05426,0.05428,14540.0,2020-02-08 01:00:00
62,1581120000000,0.05616,0.05693,0.05602,0.05693,1237.9,2020-02-08 00:00:00
63,1581116400000,0.05661,0.05666,0.0558,0.056,1047.6,2020-02-07 23:00:00
64,1581112800000,0.05696,0.05718,0.05654,0.05677,473.6,2020-02-07 22:00:00
65,1581109200000,0.05669,0.05699,0.05659,0.05696,470.1,2020-02-07 21:00:00
66,1581105600000,0.05583,0.0566,0.05583,0.05654,478.6,2020-02-07 20:00:00
67,1581102000000,0.05702,0.05727,0.05586,0.05586,1717.6,2020-02-07 19:00:00
68,1581098400000,0.05686,0.05715,0.05671,0.057,361.4,2020-02-07 18:00:00
