,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,1.1653,1.1674,1.1595,1.1627,3458.05,2020-02-10 15:00:00
1,1581343200000,1.1521,1.1672,1.1517,1.1653,16868.57,2020-02-10 14:00:00
2,1581339600000,1.1686,1.1748,1.152,1.152,24782.05,2020-02-10 13:00:00
3,1581336000000,1.1527,1.175,1.1479,1.1685,23017.8,2020-02-10 12:00:00
4,1581332400000,1.1459,1.1562,1.1455,1.1561,15670.91,2020-02-10 11:00:00
5,1581328800000,1.1423,1.1559,1.1418,1.1452,18673.8,2020-02-10 10:00:00
6,1581325200000,1.15,1.1534,1.1401,1.1417,25454.81,2020-02-10 09:00:00
7,1581321600000,1.1632,1.17,1.1401,1.1483,70564.04,2020-02-10 08:00:00
8,1581318000000,1.1633,1.1737,1.1631,1.1633,8429.59,2020-02-10 07:00:00
9,1581314400000,1.1592,1.1752,1.1582,1.1633,23441.41,2020-02-10 06:00:00
10,1581310800000,1.172,1.182,1.1578,1.1578,43424.52,2020-02-10 05:00:00
11,1581307200000,1.1885,1.1909,1.1716,1.172,42940.91,2020-02-10 04:00:00
12,1581303600000,1.1896,1.1947,1.1885,1.1885,12511.41,2020-02-10 03:00:00
13,1581300000000,1.1899,1.1989,1.1857,1.1896,8116.42,2020-02-10 02:00:00
14,1581296400000,1.1855,1.1989,1.1852,1.1899,13279.84,2020-02-10 01:00:00
15,1581292800000,1.1918,1.1991,1.1835,1.1855,19158.08,2020-02-10 00:00:00
16,1581289200000,1.1893,1.1947,1.1858,1.1898,18209.19,2020-02-09 23:00:00
17,1581285600000,1.1801,1.1893,1.1799,1.1893,11268.54,2020-02-09 22:00:00
18,1581282000000,1.171,1.1918,1.1705,1.1801,26445.03,2020-02-09 21:00:00
19,1581278400000,1.1792,1.1841,1.171,1.1711,11495.94,2020-02-09 20:00:00
20,1581274800000,1.1816,1.1856,1.1779,1.179,21649.52,2020-02-09 19:00:00
21,1581271200000,1.1856,1.19,1.1803,1.1811,14117.55,2020-02-09 18:00:00
22,1581267600000,1.2001,1.2005,1.1769,1.1856,30491.43,2020-02-09 17:00:00
23,1581264000000,1.2091,1.222,1.2,1.2001,61829.44,2020-02-09 16:00:00
24,1581260400000,1.1846,1.211,1.1846,1.2106,48705.9,2020-02-09 15:00:00
25,1581256800000,1.1786,1.1898,1.1715,1.1847,31736.7,2020-02-09 14:00:00
26,1581253200000,1.1736,1.1821,1.1713,1.1821,13869.36,2020-02-09 13:00:00
27,1581249600000,1.1776,1.1826,1.1714,1.1736,16169.09,2020-02-09 12:00:00
28,1581246000000,1.1806,1.1841,1.1702,1.1769,15827.16,2020-02-09 11:00:00
29,1581242400000,1.159,1.1814,1.1584,1.1806,57921.12,2020-02-09 10:00:00
30,1581238800000,1.1602,1.1615,1.1578,1.159,13711.24,2020-02-09 09:00:00
31,1581235200000,1.1615,1.1694,1.1581,1.16,17756.78,2020-02-09 08:00:00
32,1581231600000,1.1602,1.17,1.1602,1.1615,23531.23,2020-02-09 07:00:00
33,1581228000000,1.1623,1.1671,1.1575,1.1601,12208.03,2020-02-09 06:00:00
34,1581224400000,1.1581,1.1647,1.1553,1.16,10559.31,2020-02-09 05:00:00
35,1581220800000,1.1631,1.1688,1.1581,1.1581,14797.49,2020-02-09 04:00:00
36,1581217200000,1.1683,1.1752,1.1536,1.1622,22797.17,2020-02-09 03:00:00
37,1581210000000,1.1748,1.1766,1.1681,1.1684,14981.86,2020-02-09 01:00:00
38,1581206400000,1.152,1.1861,1.1517,1.1748,24363.78,2020-02-09 00:00:00
39,1581202800000,1.1543,1.165,1.1518,1.152,19159.4,2020-02-08 23:00:00
40,1581199200000,1.1723,1.1728,1.1517,1.1594,21299.4,2020-02-08 22:00:00
41,1581195600000,1.174,1.178,1.1714,1.1726,18413.21,2020-02-08 21:00:00
42,1581192000000,1.1714,1.178,1.1714,1.1763,17645.09,2020-02-08 20:00:00
43,1581188400000,1.1713,1.196,1.1713,1.173,28275.59,2020-02-08 19:00:00
44,1581184800000,1.1777,1.1814,1.1703,1.1713,11318.66,2020-02-08 18:00:00
45,1581181200000,1.1769,1.1968,1.168,1.1777,21063.15,2020-02-08 17:00:00
46,1581177600000,1.1884,1.1944,1.1743,1.177,25456.54,2020-02-08 16:00:00
47,1581174000000,1.1993,1.205,1.1874,1.1883,18358.37,2020-02-08 15:00:00
