,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,8.27e-05,8.37e-05,8.25e-05,8.27e-05,93092.41,2020-02-10 15:00:00
1,1581343200000,8.05e-05,8.29e-05,7.96e-05,8.27e-05,249949.58,2020-02-10 14:00:00
2,1581339600000,7.96e-05,8.06e-05,7.93e-05,8.04e-05,84426.76,2020-02-10 13:00:00
3,1581336000000,7.76e-05,8.02e-05,7.71e-05,7.97e-05,36822.55,2020-02-10 12:00:00
4,1581332400000,7.78e-05,7.79e-05,7.72e-05,7.76e-05,4496.86,2020-02-10 11:00:00
5,1581328800000,7.81e-05,7.81e-05,7.74e-05,7.78e-05,10082.74,2020-02-10 10:00:00
6,1581325200000,7.9e-05,7.93e-05,7.65e-05,7.83e-05,53790.47,2020-02-10 09:00:00
7,1581321600000,8.01e-05,8.02e-05,7.83e-05,7.89e-05,32463.72,2020-02-10 08:00:00
8,1581318000000,7.99e-05,8.07e-05,7.96e-05,8.02e-05,41232.01,2020-02-10 07:00:00
9,1581314400000,7.81e-05,8.02e-05,7.65e-05,7.97e-05,80226.37,2020-02-10 06:00:00
10,1581310800000,7.89e-05,7.93e-05,7.8e-05,7.8e-05,11656.84,2020-02-10 05:00:00
11,1581307200000,7.87e-05,7.92e-05,7.84e-05,7.92e-05,8981.82,2020-02-10 04:00:00
12,1581303600000,7.97e-05,7.97e-05,7.88e-05,7.88e-05,4665.97,2020-02-10 03:00:00
13,1581300000000,7.85e-05,8e-05,7.83e-05,7.94e-05,32565.09,2020-02-10 02:00:00
14,1581296400000,7.78e-05,7.89e-05,7.78e-05,7.88e-05,23423.7,2020-02-10 01:00:00
15,1581292800000,7.79e-05,7.82e-05,7.71e-05,7.78e-05,25764.23,2020-02-10 00:00:00
16,1581289200000,7.87e-05,7.89e-05,7.79e-05,7.8e-05,22602.09,2020-02-09 23:00:00
17,1581285600000,7.86e-05,7.9e-05,7.82e-05,7.87e-05,7299.05,2020-02-09 22:00:00
18,1581282000000,7.83e-05,7.94e-05,7.83e-05,7.86e-05,23483.66,2020-02-09 21:00:00
19,1581278400000,7.89e-05,7.91e-05,7.77e-05,7.82e-05,23930.87,2020-02-09 20:00:00
20,1581274800000,7.7e-05,7.89e-05,7.7e-05,7.89e-05,27544.83,2020-02-09 19:00:00
21,1581271200000,7.71e-05,7.74e-05,7.69e-05,7.7e-05,6136.84,2020-02-09 18:00:00
22,1581267600000,7.65e-05,7.74e-05,7.6e-05,7.72e-05,37826.7,2020-02-09 17:00:00
23,1581264000000,7.72e-05,7.76e-05,7.64e-05,7.64e-05,20457.31,2020-02-09 16:00:00
24,1581260400000,7.53e-05,7.82e-05,7.46e-05,7.72e-05,156273.84,2020-02-09 15:00:00
25,1581256800000,7.47e-05,7.57e-05,7.45e-05,7.53e-05,13099.27,2020-02-09 14:00:00
26,1581253200000,7.46e-05,7.51e-05,7.42e-05,7.5e-05,12569.82,2020-02-09 13:00:00
