,Time,Open,High,Low,Close,Volume,Date
0,1581346800000,3.37e-06,3.37e-06,3.34e-06,3.35e-06,360463.0,2020-02-10 15:00:00
1,1581343200000,3.36e-06,3.39e-06,3.36e-06,3.37e-06,404473.0,2020-02-10 14:00:00
2,1581339600000,3.32e-06,3.38e-06,3.31e-06,3.37e-06,467758.0,2020-02-10 13:00:00
3,1581336000000,3.36e-06,3.36e-06,3.32e-06,3.32e-06,527477.0,2020-02-10 12:00:00
4,1581332400000,3.35e-06,3.39e-06,3.35e-06,3.35e-06,744224.0,2020-02-10 11:00:00
5,1581328800000,3.36e-06,3.36e-06,3.34e-06,3.35e-06,279014.0,2020-02-10 10:00:00
6,1581325200000,3.35e-06,3.37e-06,3.32e-06,3.36e-06,648802.0,2020-02-10 09:00:00
7,1581321600000,3.29e-06,3.35e-06,3.28e-06,3.35e-06,1536876.0,2020-02-10 08:00:00
8,1581318000000,3.25e-06,3.29e-06,3.24e-06,3.29e-06,289658.0,2020-02-10 07:00:00
9,1581314400000,3.26e-06,3.3e-06,3.24e-06,3.25e-06,456060.0,2020-02-10 06:00:00
10,1581310800000,3.25e-06,3.26e-06,3.23e-06,3.26e-06,283960.0,2020-02-10 05:00:00
11,1581307200000,3.24e-06,3.26e-06,3.22e-06,3.26e-06,366026.0,2020-02-10 04:00:00
12,1581303600000,3.25e-06,3.26e-06,3.24e-06,3.24e-06,213287.0,2020-02-10 03:00:00
13,1581300000000,3.24e-06,3.25e-06,3.24e-06,3.24e-06,84738.0,2020-02-10 02:00:00
14,1581296400000,3.24e-06,3.25e-06,3.22e-06,3.24e-06,218619.0,2020-02-10 01:00:00
15,1581292800000,3.24e-06,3.26e-06,3.22e-06,3.24e-06,338355.0,2020-02-10 00:00:00
16,1581289200000,3.25e-06,3.25e-06,3.22e-06,3.23e-06,265965.0,2020-02-09 23:00:00
17,1581285600000,3.3e-06,3.31e-06,3.23e-06,3.25e-06,498494.0,2020-02-09 22:00:00
18,1581282000000,3.32e-06,3.35e-06,3.28e-06,3.3e-06,1187112.0,2020-02-09 21:00:00
19,1581278400000,3.23e-06,3.34e-06,3.22e-06,3.32e-06,2233077.0,2020-02-09 20:00:00
20,1581274800000,3.25e-06,3.26e-06,3.23e-06,3.23e-06,391339.0,2020-02-09 19:00:00
21,1581271200000,3.2e-06,3.25e-06,3.2e-06,3.25e-06,350647.0,2020-02-09 18:00:00
22,1581267600000,3.2e-06,3.22e-06,3.18e-06,3.19e-06,712944.0,2020-02-09 17:00:00
23,1581264000000,3.21e-06,3.23e-06,3.19e-06,3.2e-06,388744.0,2020-02-09 16:00:00
24,1581260400000,3.21e-06,3.25e-06,3.19e-06,3.21e-06,667732.0,2020-02-09 15:00:00
25,1581256800000,3.21e-06,3.21e-06,3.19e-06,3.2e-06,491823.0,2020-02-09 14:00:00
26,1581253200000,3.22e-06,3.23e-06,3.2e-06,3.21e-06,270202.0,2020-02-09 13:00:00
27,1581249600000,3.19e-06,3.23e-06,3.17e-06,3.23e-06,438971.0,2020-02-09 12:00:00
28,1581246000000,3.21e-06,3.21e-06,3.18e-06,3.19e-06,337021.0,2020-02-09 11:00:00
29,1581242400000,3.24e-06,3.24e-06,3.21e-06,3.21e-06,403725.0,2020-02-09 10:00:00
